Created as New Dataset,Sample 445 By YargerLab Date Thursday, February 27 2025
cm-1,%T
4000.00,96.39
3999.00,96.38
3998.00,96.38
3997.00,96.39
3996.00,96.39
3995.00,96.40
3994.00,96.40
3993.00,96.41
3992.00,96.41
3991.00,96.40
3990.00,96.40
3989.00,96.39
3988.00,96.39
3987.00,96.38
3986.00,96.38
3985.00,96.38
3984.00,96.38
3983.00,96.37
3982.00,96.37
3981.00,96.37
3980.00,96.37
3979.00,96.37
3978.00,96.37
3977.00,96.37
3976.00,96.37
3975.00,96.38
3974.00,96.38
3973.00,96.38
3972.00,96.39
3971.00,96.39
3970.00,96.39
3969.00,96.40
3968.00,96.40
3967.00,96.40
3966.00,96.39
3965.00,96.38
3964.00,96.37
3963.00,96.38
3962.00,96.39
3961.00,96.40
3960.00,96.41
3959.00,96.41
3958.00,96.41
3957.00,96.41
3956.00,96.41
3955.00,96.41
3954.00,96.41
3953.00,96.41
3952.00,96.41
3951.00,96.41
3950.00,96.41
3949.00,96.41
3948.00,96.41
3947.00,96.40
3946.00,96.40
3945.00,96.39
3944.00,96.39
3943.00,96.38
3942.00,96.38
3941.00,96.38
3940.00,96.39
3939.00,96.39
3938.00,96.40
3937.00,96.40
3936.00,96.40
3935.00,96.39
3934.00,96.39
3933.00,96.38
3932.00,96.39
3931.00,96.39
3930.00,96.39
3929.00,96.38
3928.00,96.39
3927.00,96.39
3926.00,96.39
3925.00,96.39
3924.00,96.40
3923.00,96.40
3922.00,96.41
3921.00,96.41
3920.00,96.41
3919.00,96.41
3918.00,96.40
3917.00,96.39
3916.00,96.39
3915.00,96.39
3914.00,96.40
3913.00,96.41
3912.00,96.41
3911.00,96.41
3910.00,96.41
3909.00,96.40
3908.00,96.40
3907.00,96.40
3906.00,96.40
3905.00,96.40
3904.00,96.40
3903.00,96.40
3902.00,96.40
3901.00,96.40
3900.00,96.40
3899.00,96.41
3898.00,96.42
3897.00,96.43
3896.00,96.42
3895.00,96.42
3894.00,96.41
3893.00,96.41
3892.00,96.40
3891.00,96.40
3890.00,96.41
3889.00,96.41
3888.00,96.41
3887.00,96.42
3886.00,96.42
3885.00,96.42
3884.00,96.42
3883.00,96.43
3882.00,96.43
3881.00,96.44
3880.00,96.44
3879.00,96.44
3878.00,96.44
3877.00,96.44
3876.00,96.44
3875.00,96.44
3874.00,96.44
3873.00,96.44
3872.00,96.44
3871.00,96.44
3870.00,96.44
3869.00,96.44
3868.00,96.44
3867.00,96.44
3866.00,96.44
3865.00,96.44
3864.00,96.43
3863.00,96.42
3862.00,96.42
3861.00,96.42
3860.00,96.42
3859.00,96.41
3858.00,96.41
3857.00,96.41
3856.00,96.41
3855.00,96.42
3854.00,96.42
3853.00,96.41
3852.00,96.41
3851.00,96.41
3850.00,96.42
3849.00,96.42
3848.00,96.43
3847.00,96.44
3846.00,96.45
3845.00,96.46
3844.00,96.47
3843.00,96.47
3842.00,96.47
3841.00,96.47
3840.00,96.46
3839.00,96.45
3838.00,96.44
3837.00,96.44
3836.00,96.44
3835.00,96.44
3834.00,96.44
3833.00,96.44
3832.00,96.44
3831.00,96.44
3830.00,96.45
3829.00,96.45
3828.00,96.46
3827.00,96.46
3826.00,96.47
3825.00,96.47
3824.00,96.47
3823.00,96.47
3822.00,96.48
3821.00,96.47
3820.00,96.46
3819.00,96.45
3818.00,96.45
3817.00,96.45
3816.00,96.46
3815.00,96.47
3814.00,96.47
3813.00,96.48
3812.00,96.48
3811.00,96.48
3810.00,96.47
3809.00,96.47
3808.00,96.47
3807.00,96.47
3806.00,96.47
3805.00,96.47
3804.00,96.47
3803.00,96.48
3802.00,96.48
3801.00,96.48
3800.00,96.48
3799.00,96.48
3798.00,96.48
3797.00,96.49
3796.00,96.49
3795.00,96.50
3794.00,96.50
3793.00,96.51
3792.00,96.51
3791.00,96.51
3790.00,96.51
3789.00,96.50
3788.00,96.50
3787.00,96.50
3786.00,96.50
3785.00,96.50
3784.00,96.51
3783.00,96.51
3782.00,96.51
3781.00,96.51
3780.00,96.50
3779.00,96.49
3778.00,96.49
3777.00,96.49
3776.00,96.49
3775.00,96.49
3774.00,96.50
3773.00,96.51
3772.00,96.52
3771.00,96.53
3770.00,96.53
3769.00,96.52
3768.00,96.51
3767.00,96.51
3766.00,96.51
3765.00,96.51
3764.00,96.51
3763.00,96.50
3762.00,96.50
3761.00,96.50
3760.00,96.50
3759.00,96.51
3758.00,96.51
3757.00,96.51
3756.00,96.50
3755.00,96.49
3754.00,96.49
3753.00,96.50
3752.00,96.50
3751.00,96.50
3750.00,96.50
3749.00,96.50
3748.00,96.49
3747.00,96.48
3746.00,96.48
3745.00,96.48
3744.00,96.48
3743.00,96.48
3742.00,96.50
3741.00,96.51
3740.00,96.53
3739.00,96.54
3738.00,96.54
3737.00,96.54
3736.00,96.54
3735.00,96.54
3734.00,96.55
3733.00,96.57
3732.00,96.58
3731.00,96.58
3730.00,96.58
3729.00,96.58
3728.00,96.58
3727.00,96.58
3726.00,96.57
3725.00,96.57
3724.00,96.57
3723.00,96.57
3722.00,96.57
3721.00,96.58
3720.00,96.58
3719.00,96.59
3718.00,96.59
3717.00,96.59
3716.00,96.59
3715.00,96.58
3714.00,96.58
3713.00,96.58
3712.00,96.59
3711.00,96.59
3710.00,96.60
3709.00,96.60
3708.00,96.60
3707.00,96.61
3706.00,96.61
3705.00,96.62
3704.00,96.62
3703.00,96.63
3702.00,96.63
3701.00,96.64
3700.00,96.64
3699.00,96.63
3698.00,96.63
3697.00,96.63
3696.00,96.62
3695.00,96.62
3694.00,96.62
3693.00,96.62
3692.00,96.62
3691.00,96.62
3690.00,96.62
3689.00,96.62
3688.00,96.62
3687.00,96.62
3686.00,96.62
3685.00,96.64
3684.00,96.65
3683.00,96.67
3682.00,96.68
3681.00,96.68
3680.00,96.67
3679.00,96.66
3678.00,96.66
3677.00,96.66
3676.00,96.66
3675.00,96.66
3674.00,96.66
3673.00,96.67
3672.00,96.68
3671.00,96.69
3670.00,96.69
3669.00,96.69
3668.00,96.69
3667.00,96.69
3666.00,96.70
3665.00,96.71
3664.00,96.72
