   0.00000000 -1973.18831566 
  10.28571429 -1973.18762883 
  20.57142857 -1973.18533164 
  30.85714286 -1973.18149840 
  41.14285714 -1973.18066872 
  51.42857143 -1973.18075835 
  61.71428571 -1973.18032156 
  72.00000000 -1973.17952062 
  82.28571429 -1973.17854977 
  92.57142857 -1973.17761183 
 102.85714286 -1973.17683819 
 113.14285714 -1973.17616167 
 123.42857143 -1973.17574136 
 133.71428571 -1973.17620367 
 144.00000000 -1973.17981886 
 154.28571429 -1973.18350197 
 164.57142857 -1973.18608653 
 174.85714286 -1973.18731296 
 185.14285714 -1973.18713278 
 195.42857143 -1973.18558813 
 205.71428571 -1973.18276648 
 216.00000000 -1973.17887921 
 226.28571429 -1973.17558354 
 236.57142857 -1973.17551010 
 246.85714286 -1973.17610902 
 257.14285714 -1973.17683861 
 267.42857143 -1973.17762534 
 277.71428571 -1973.17847809 
 288.00000000 -1973.17939937 
 298.28571429 -1973.18022035 
 308.57142857 -1973.18079921 
 318.85714286 -1973.18112444 
 329.14285714 -1973.18172982 
 339.42857143 -1973.18491077 
 349.71428571 -1973.18738389 
 360.00000000 -1973.18831003 
