# Scan of Total Energy
# X-Axis:  Scan Coordinate
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
        0.0065022462    -1973.0875568700
       30.0065022462    -1973.0821475700
       60.0065022462    -1973.0765240800
       90.0065022462    -1973.0769989400
      120.0065022462    -1973.0795603700
      150.0065022462    -1973.0819972100
      180.0065022462    -1973.0836489600
      210.0065022462    -1973.0821466300
      240.0065022462    -1973.0797751400
      270.0065022462    -1973.0770898200
      300.0065022462    -1973.0766141100
      330.0065022462    -1973.0821464700
      360.0065022462    -1973.0875652100
