# Scan of Total Energy
# X-Axis:  Scan Coordinate
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
        0.0094897236     -436.8962938300
        5.0094897236     -436.8962671650
       10.0094897236     -436.8961776480
       15.0094897236     -436.8960167050
       20.0094897236     -436.8957773960
       25.0094897236     -436.8954472810
       30.0094897236     -436.8950216400
       35.0094897236     -436.8945037290
       40.0094897236     -436.8938875810
       45.0094897236     -436.8931796970
       50.0094897236     -436.8924107070
       55.0094897236     -436.8915924920
       60.0094897236     -436.8907575510
       65.0094897236     -436.8899509750
       70.0094897236     -436.8891916560
       75.0094897236     -436.8885468150
       80.0094897236     -436.8880377300
       85.0094897236     -436.8877156080
       90.0094897236     -436.8876208200
       95.0094897236     -436.8877161010
      100.0094897236     -436.8880410610
      105.0094897236     -436.8885548210
      110.0094897236     -436.8892068530
      115.0094897236     -436.8899722910
      120.0094897236     -436.8907824550
      125.0094897236     -436.8916166690
      130.0094897236     -436.8924314600
      135.0094897236     -436.8931972780
      140.0094897236     -436.8938998640
      145.0094897236     -436.8945113730
      150.0094897236     -436.8950259100
      155.0094897236     -436.8954491420
      160.0094897236     -436.8957780440
      165.0094897236     -436.8960168730
      170.0094897236     -436.8961777090
      175.0094897236     -436.8962675220
      180.0094897236     -436.8962938350
