# Scan of Total Energy
# X-Axis:  Scan Coordinate
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
        0.0142721343     -436.8932081350
        5.0142721343     -436.8931776580
       10.0142721343     -436.8930767020
       15.0142721343     -436.8929002770
       20.0142721343     -436.8926404930
       25.0142721343     -436.8922875280
       30.0142721343     -436.8918377170
       35.0142721343     -436.8912946870
       40.0142721343     -436.8906576360
       45.0142721343     -436.8899353860
       50.0142721343     -436.8891560410
       55.0142721343     -436.8883364980
       60.0142721343     -436.8875049930
       65.0142721343     -436.8866990250
       70.0142721343     -436.8859456230
       75.0142721343     -436.8853091780
       80.0142721343     -436.8848093580
       85.0142721343     -436.8844834940
       90.0142721343     -436.8843795550
       95.0142721343     -436.8844841450
      100.0142721343     -436.8848126550
      105.0142721343     -436.8853175140
      110.0142721343     -436.8859605410
      115.0142721343     -436.8867205090
      120.0142721343     -436.8875303030
      125.0142721343     -436.8883614510
      130.0142721343     -436.8891779220
      135.0142721343     -436.8899543870
      140.0142721343     -436.8906718850
      145.0142721343     -436.8913037280
      150.0142721343     -436.8918428750
      155.0142721343     -436.8922900080
      160.0142721343     -436.8926416060
      165.0142721343     -436.8929005610
      170.0142721343     -436.8930767670
      175.0142721343     -436.8931779430
      180.0142721343     -436.8932080860
