# Scan of Total Energy
# X-Axis:  Scan Coordinate
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
        0.0078260235     -436.8973099000
        5.0078260235     -436.8972833950
       10.0078260235     -436.8971973940
       15.0078260235     -436.8970410660
       20.0078260235     -436.8968083550
       25.0078260235     -436.8964850950
       30.0078260235     -436.8960670300
       35.0078260235     -436.8955565290
       40.0078260235     -436.8949464980
       45.0078260235     -436.8942445210
       50.0078260235     -436.8934776330
       55.0078260235     -436.8926574770
       60.0078260235     -436.8918199000
       65.0078260235     -436.8910135080
       70.0078260235     -436.8902523810
       75.0078260235     -436.8896027720
       80.0078260235     -436.8890899310
       85.0078260235     -436.8887724450
       90.0078260235     -436.8886823480
       95.0078260235     -436.8887729380
      100.0078260235     -436.8890932200
      105.0078260235     -436.8896108300
      110.0078260235     -436.8902679080
      115.0078260235     -436.8910346700
      120.0078260235     -436.8918446820
      125.0078260235     -436.8926816600
      130.0078260235     -436.8934983730
      135.0078260235     -436.8942615000
      140.0078260235     -436.8949582610
      145.0078260235     -436.8955636610
      150.0078260235     -436.8960710680
      155.0078260235     -436.8964868700
      160.0078260235     -436.8968088270
      165.0078260235     -436.8970412530
      170.0078260235     -436.8971973850
      175.0078260235     -436.8972837100
      180.0078260235     -436.8973098400
