# Scan of Total Energy
# X-Axis:  Scan Coordinate
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
        0.0054213137     -436.7322557780
        5.0054213137     -436.7322216010
       10.0054213137     -436.7321177880
       15.0054213137     -436.7319392610
       20.0054213137     -436.7316875460
       25.0054213137     -436.7313356360
       30.0054213137     -436.7308888080
       35.0054213137     -436.7303447780
       40.0054213137     -436.7297133260
       45.0054213137     -436.7290001110
       50.0054213137     -436.7282416980
       55.0054213137     -436.7274515730
       60.0054213137     -436.7266586180
       65.0054213137     -436.7258933310
       70.0054213137     -436.7251869380
       75.0054213137     -436.7245739040
       80.0054213137     -436.7240925480
       85.0054213137     -436.7237781620
       90.0054213137     -436.7236662830
       95.0054213137     -436.7237786840
      100.0054213137     -436.7240957400
      105.0054213137     -436.7245823170
      110.0054213137     -436.7252018000
      115.0054213137     -436.7259141790
      120.0054213137     -436.7266832990
      125.0054213137     -436.7274772950
      130.0054213137     -436.7282659020
      135.0054213137     -436.7290206570
      140.0054213137     -436.7297290000
      145.0054213137     -436.7303558070
      150.0054213137     -436.7308954860
      155.0054213137     -436.7313392240
      160.0054213137     -436.7316889630
      165.0054213137     -436.7319398490
      170.0054213137     -436.7321179140
      175.0054213137     -436.7322216360
      180.0054213137     -436.7322557770
