# Scan of Total Energy
# X-Axis:  Scan Coordinate
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
        0.0112558572     -436.8952255950
        5.0112558572     -436.8951980790
       10.0112558572     -436.8951047170
       15.0112558572     -436.8949387040
       20.0112558572     -436.8946925370
       25.0112558572     -436.8943548040
       30.0112558572     -436.8939210330
       35.0112558572     -436.8933948870
       40.0112558572     -436.8927719700
       45.0112558572     -436.8920588680
       50.0112558572     -436.8912870900
       55.0112558572     -436.8904696240
       60.0112558572     -436.8896367030
       65.0112558572     -436.8888302580
       70.0112558572     -436.8880732900
       75.0112558572     -436.8874325570
       80.0112558572     -436.8869272510
       85.0112558572     -436.8866025290
       90.0112558572     -436.8865039020
       95.0112558572     -436.8866030840
      100.0112558572     -436.8869305920
      105.0112558572     -436.8874409460
      110.0112558572     -436.8880882330
      115.0112558572     -436.8888517480
      120.0112558572     -436.8896617830
      125.0112558572     -436.8904940140
      130.0112558572     -436.8913080340
      135.0112558572     -436.8920769120
      140.0112558572     -436.8927849070
      145.0112558572     -436.8934028520
      150.0112558572     -436.8939256200
      155.0112558572     -436.8943567970
      160.0112558572     -436.8946933260
      165.0112558572     -436.8949388650
      170.0112558572     -436.8951047290
      175.0112558572     -436.8951984000
      180.0112558572     -436.8952255840
