# Scan of Total Energy
# X-Axis:  Scan Coordinate
# Y-Axis:  Total Energy (KCal/Mol)
#                  X                   Y
       17.5391696930  -764974.7448600765
       47.5391696930  -764972.4100227287
       77.5391696930  -764970.3457925780
      107.5391696930  -764969.1420913050
      137.5391696930  -764969.3048798194
      167.5391696930  -764975.0990578136
      197.5391696930  -764974.9928894814
      227.5391696930  -764974.6033064835
      257.5391696930  -764972.6526618272
      287.5391696930  -764972.9900611351
      317.5391696930  -764974.6004011144
      347.5391696930  -764976.8277774601
      377.5391696930  -764976.7712827799
