# Scan of Total Energy
# X-Axis:  Scan Coordinate
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
        0.0000000000    -1219.7803148800
        5.0000000000    -1219.7803667700
       10.0000000000    -1219.7805338900
       15.0000000000    -1219.7807664200
       20.0000000000    -1219.7810239400
       25.0000000000    -1219.7812494200
       30.0000000000    -1219.7813908800
       35.0000000000    -1219.7814092900
       40.0000000000    -1219.7812746000
       45.0000000000    -1219.7809737500
       50.0000000000    -1219.7805134400
       55.0000000000    -1219.7799258800
       60.0000000000    -1219.7792770600
       65.0000000000    -1219.7786427900
       70.0000000000    -1219.7780716400
       75.0000000000    -1219.7775757900
       80.0000000000    -1219.7771776500
       85.0000000000    -1219.7768465900
       90.0000000000    -1219.7769780000
       95.0000000000    -1219.7768650200
      100.0000000000    -1219.7769138100
      105.0000000000    -1219.7771908900
      110.0000000000    -1219.7775949800
      115.0000000000    -1219.7781272000
      120.0000000000    -1219.7787831400
      125.0000000000    -1219.7793949700
      130.0000000000    -1219.7799440500
      135.0000000000    -1219.7803519200
      140.0000000000    -1219.7805914300
      145.0000000000    -1219.7806532900
      150.0000000000    -1219.7805376900
      155.0000000000    -1219.7802578700
      160.0000000000    -1219.7798504000
      165.0000000000    -1219.7808414300
      170.0000000000    -1219.7805775300
      175.0000000000    -1219.7803798100
      180.0000000000    -1219.7803149300
