# Scan of Total Energy
# X-Axis:  Scan Coordinate
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
        0.0074470401     -436.8974974010
        5.0074470401     -436.8974708410
       10.0074470401     -436.8973854720
       15.0074470401     -436.8972299790
       20.0074470401     -436.8969985190
       25.0074470401     -436.8966764710
       30.0074470401     -436.8962597940
       35.0074470401     -436.8957506140
       40.0074470401     -436.8951416860
       45.0074470401     -436.8944409540
       50.0074470401     -436.8936744110
       55.0074470401     -436.8928537580
       60.0074470401     -436.8920156190
       65.0074470401     -436.8912093200
       70.0074470401     -436.8904479390
       75.0074470401     -436.8897973610
       80.0074470401     -436.8892838640
       85.0074470401     -436.8889675360
       90.0074470401     -436.8888784320
       95.0074470401     -436.8889680340
      100.0074470401     -436.8892871360
      105.0074470401     -436.8898062230
      110.0074470401     -436.8904635420
      115.0074470401     -436.8912304580
      120.0074470401     -436.8920403350
      125.0074470401     -436.8928779410
      130.0074470401     -436.8936951640
      135.0074470401     -436.8944578990
      140.0074470401     -436.8951534060
      145.0074470401     -436.8957577540
      150.0074470401     -436.8962637820
      155.0074470401     -436.8966782640
      160.0074470401     -436.8969991080
      165.0074470401     -436.8972301450
      170.0074470401     -436.8973853700
      175.0074470401     -436.8974711000
      180.0074470401     -436.8974973460
