# Scan of Total Energy
# X-Axis:  Scan Coordinate
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
        0.0083088839     -436.8970411970
        5.0083088839     -436.8970147210
       10.0083088839     -436.8969278050
       15.0083088839     -436.8967702730
       20.0083088839     -436.8965357920
       25.0083088839     -436.8962107640
       30.0083088839     -436.8957907070
       35.0083088839     -436.8952782860
       40.0083088839     -436.8946666560
       45.0083088839     -436.8939629960
       50.0083088839     -436.8931955920
       55.0083088839     -436.8923760710
       60.0083088839     -436.8915392600
       65.0083088839     -436.8907327730
       70.0083088839     -436.8899720540
       75.0083088839     -436.8893237900
       80.0083088839     -436.8888119190
       85.0083088839     -436.8884929570
       90.0083088839     -436.8884015010
       95.0083088839     -436.8884934390
      100.0083088839     -436.8888152240
      105.0083088839     -436.8893318990
      110.0083088839     -436.8899874860
      115.0083088839     -436.8907539720
      120.0083088839     -436.8915640640
      125.0083088839     -436.8924002020
      130.0083088839     -436.8932163260
      135.0083088839     -436.8939801180
      140.0083088839     -436.8946785800
      145.0083088839     -436.8952854590
      150.0083088839     -436.8957948160
      155.0083088839     -436.8962125230
      160.0083088839     -436.8965363940
      165.0083088839     -436.8967702310
      170.0083088839     -436.8969277920
      175.0083088839     -436.8970150550
      180.0083088839     -436.8970411970
