Frequency (Hz)	Level (dB)
195.144653	-78.711533
195.817566	-80.002739
196.490479	-78.494148
197.163391	-78.441139
197.836304	-80.041443
198.509216	-78.628517
199.182129	-79.011192
199.855042	-79.351822
200.527954	-79.818275
201.200867	-78.919090
201.873779	-79.430458
202.546692	-78.899269
203.219604	-79.815605
203.892517	-80.486572
204.565430	-80.470016
205.238342	-80.469978
205.911255	-80.739677
206.584167	-79.979179
207.257080	-81.072975
207.929993	-80.428467
208.602905	-78.785072
209.275818	-80.297989
209.948730	-81.112915
210.621643	-79.816048
211.294556	-79.172272
211.967468	-80.300385
212.640381	-80.485756
213.313293	-79.232788
213.986206	-80.622940
214.659119	-80.805527
215.332031	-80.114571
216.004944	-79.978180
216.677856	-79.574982
217.350769	-79.893127
218.023682	-80.001930
218.696594	-79.848183
219.369507	-79.287643
220.042419	-80.774200
220.715332	-80.362923
221.388245	-80.319962
222.061157	-80.483879
222.734070	-80.464546
223.406982	-79.680542
224.079895	-80.615585
224.752808	-81.195786
225.425720	-80.213234
226.098633	-80.647377
226.771545	-79.599258
227.444458	-79.740356
228.117371	-79.340187
228.790283	-79.181976
229.463196	-80.075684
230.136108	-79.126793
230.809021	-79.561729
231.481934	-79.962219
232.154846	-79.611191
232.827759	-79.524704
233.500671	-80.231422
234.173584	-80.255402
234.846497	-79.561348
235.519409	-80.572922
236.192322	-80.051567
236.865234	-78.334839
237.538147	-78.873810
238.211060	-79.216797
238.883972	-80.199600
239.556885	-79.699905
240.229797	-79.492546
240.902710	-80.359917
241.575623	-80.194756
242.248535	-77.830864
242.921448	-78.657104
243.594360	-78.191330
244.267273	-78.470261
244.940186	-78.437164
245.613098	-78.715828
246.286011	-79.296066
246.958923	-81.243317
247.631836	-78.592598
248.304749	-78.445747
248.977661	-79.903847
249.650574	-78.852501
250.323486	-78.181450
250.996399	-78.277603
251.669312	-79.152054
252.342224	-79.733116
253.015137	-78.717804
253.688049	-78.914352
254.360962	-77.491661
255.033875	-78.264977
255.706787	-77.991829
256.379700	-78.100945
257.052612	-76.984276
257.725525	-77.741623
258.398438	-77.186432
259.071350	-77.153908
259.744263	-77.457130
260.417175	-77.334427
261.090088	-76.542641
261.763000	-77.033913
262.435913	-77.551003
263.108826	-76.937202
263.781738	-76.303886
264.454651	-76.732689
265.127563	-76.020920
265.800476	-76.722946
266.473389	-76.408890
267.146301	-77.272957
267.819214	-76.195976
