Frequency (Hz)	Level (dB)
141.601562	-79.402519
142.089844	-79.629059
142.578125	-79.909554
143.066406	-78.826431
143.554688	-78.516579
144.042969	-77.994568
144.531250	-79.347565
145.019531	-77.880859
145.507812	-79.302811
145.996094	-78.236816
146.484375	-79.073189
146.972656	-80.927231
147.460938	-78.912155
147.949219	-78.566917
148.437500	-79.241547
148.925781	-78.915932
149.414062	-78.170967
149.902344	-78.562172
150.390625	-79.175980
150.878906	-78.831192
151.367188	-79.867912
151.855469	-80.117912
152.343750	-80.145668
152.832031	-78.274879
153.320312	-80.364685
153.808594	-79.047920
154.296875	-80.807175
154.785156	-79.007645
155.273438	-78.486206
155.761719	-79.384453
156.250000	-78.309052
156.738281	-80.587822
157.226562	-79.686935
157.714844	-79.951828
158.203125	-79.777008
158.691406	-78.964867
159.179688	-79.262718
159.667969	-79.480591
160.156250	-77.648842
160.644531	-77.600067
161.132812	-79.851578
161.621094	-79.031746
162.109375	-77.218674
162.597656	-76.212700
163.085938	-80.826027
163.574219	-79.856834
164.062500	-78.653511
164.550781	-78.014709
165.039062	-77.889832
165.527344	-79.160141
166.015625	-76.354904
166.503906	-76.023827
166.992188	-75.271751
167.480469	-76.883179
167.968750	-76.536949
168.457031	-77.590294
168.945312	-78.511177
169.433594	-77.947899
169.921875	-78.029907
170.410156	-75.351860
170.898438	-77.416992
171.386719	-77.807159
171.875000	-77.056618
172.363281	-75.074997
172.851562	-75.755508
173.339844	-75.480255
173.828125	-77.510429
174.316406	-75.570343
174.804688	-75.430328
175.292969	-76.016083
175.781250	-75.505333
176.269531	-75.180870
176.757812	-75.025284
177.246094	-74.706566
177.734375	-74.349442
178.222656	-74.179489
178.710938	-74.816444
179.199219	-74.166565
179.687500	-73.734032
180.175781	-72.843628
180.664062	-74.777672
181.152344	-74.913689
181.640625	-75.726578
182.128906	-74.622536
182.617188	-72.969795
183.105469	-74.120239
183.593750	-73.980423
184.082031	-73.151093
184.570312	-72.231392
185.058594	-73.209129
185.546875	-72.544731
186.035156	-73.096169
186.523438	-73.120354
187.011719	-74.506149
187.500000	-75.832993
187.988281	-71.212021
188.476562	-71.461250
188.964844	-71.520348
189.453125	-72.916199
189.941406	-69.398399
190.429688	-70.564621
190.917969	-70.439415
191.406250	-72.122887
191.894531	-70.051231
192.382812	-68.853966
192.871094	-69.913818
193.359375	-69.972824
193.847656	-69.091911
194.335938	-68.546906
194.824219	-67.494476
195.312500	-66.430794
195.800781	-69.065231
196.289062	-69.797043
196.777344	-68.948288
197.265625	-69.572998
197.753906	-68.800812
198.242188	-68.574661
198.730469	-67.367119
199.218750	-66.307297
199.707031	-67.353653
200.195312	-66.781441
200.683594	-65.570084
201.171875	-66.114388
201.660156	-67.679626
202.148438	-63.992489
202.636719	-62.983097
203.125000	-65.208763
203.613281	-65.486305
204.101562	-64.004440
204.589844	-64.170639
205.078125	-64.288918
205.566406	-63.921947
206.054688	-63.313736
206.542969	-61.081646
207.031250	-62.681927
207.519531	-65.569000
208.007812	-62.689861
208.496094	-63.743919
208.984375	-63.318954
209.472656	-63.600044
209.960938	-62.743786
210.449219	-63.750019
210.937500	-62.960064
211.425781	-62.041969
211.914062	-62.727169
212.402344	-61.907310
212.890625	-63.202518
213.378906	-60.045082
213.867188	-61.223812
214.355469	-63.446728
214.843750	-63.392666
215.332031	-61.904648
215.820312	-64.897240
216.308594	-64.149094
216.796875	-63.465900
217.285156	-61.833237
217.773438	-65.815399
218.261719	-65.475471
218.750000	-65.904839
219.238281	-66.415520
219.726562	-65.546440
220.214844	-64.449333
220.703125	-65.433823
221.191406	-65.907700
221.679688	-67.060280
222.167969	-68.164619
222.656250	-68.774590
223.144531	-67.566849
223.632812	-66.074638
224.121094	-67.041878
224.609375	-67.874763
225.097656	-69.314247
225.585938	-68.558502
226.074219	-68.604156
226.562500	-69.481621
227.050781	-69.603065
227.539062	-68.225670
228.027344	-70.497749
228.515625	-70.265549
229.003906	-70.690529
229.492188	-69.595528
229.980469	-69.908798
230.468750	-69.779747
230.957031	-71.030785
231.445312	-70.352448
231.933594	-69.035278
232.421875	-69.877487
232.910156	-70.850021
233.398438	-69.669762
233.886719	-70.082939
234.375000	-69.940262
234.863281	-72.148514
235.351562	-72.419159
235.839844	-71.679108
236.328125	-72.352554
236.816406	-72.980919
237.304688	-71.884979
237.792969	-72.923500
238.281250	-74.078110
238.769531	-73.255432
239.257812	-71.950996
239.746094	-72.496017
240.234375	-72.535057
