Timestamp,Date,Time,TC1_Temp_C,TC2_Temp_C,Env_Temp_C,Flow_LPM,Gas_Temp_C,Pressure_kPa,Humidity_%
1773202736808,3/10/2026,9:18:56 PM,22.703125,22.5078125,25.06,,24.365,97.576,30.184
1773202736979,3/10/2026,9:18:56 PM,22.703125,22.5078125,25.06,,24.34,97.574,30.2
1773202737304,3/10/2026,9:18:57 PM,22.7265625,22.5234375,25.06,,24.34,97.574,30.2
1773202738809,3/10/2026,9:18:58 PM,22.796875,22.4375,25.06,,24.325,97.576,30.167
1773202738978,3/10/2026,9:18:58 PM,22.796875,22.4375,25.06,,24.325,97.576,30.167
1773202739376,3/10/2026,9:18:59 PM,22.765625,22.5078125,25.06,,24.31,97.576,30.178
1773202740800,3/10/2026,9:19:00 PM,22.8125,22.4609375,25.06,,24.305,97.577,30.195
1773202740977,3/10/2026,9:19:00 PM,22.8125,22.4609375,25.06,,24.305,97.577,30.195
1773202741434,3/10/2026,9:19:01 PM,22.75,22.4609375,25.06,,24.35,97.578,30.167
1773202742809,3/10/2026,9:19:02 PM,22.75,22.46875,25.06,,24.315,97.579,30.178
1773202742979,3/10/2026,9:19:02 PM,22.75,22.4921875,25.06,,24.315,97.579,30.178
1773202743503,3/10/2026,9:19:03 PM,22.7734375,22.4921875,25.06,,24.325,97.578,30.184
1773202744803,3/10/2026,9:19:04 PM,22.8125,22.3671875,25.06,,24.41,97.58,30.2
1773202744972,3/10/2026,9:19:04 PM,22.7890625,22.3671875,25.06,,24.41,97.58,30.2
1773202745558,3/10/2026,9:19:05 PM,22.7890625,22.46875,25.06,,24.35,97.582,30.178
1773202746810,3/10/2026,9:19:06 PM,22.7890625,22.4453125,25.06,,24.33,97.582,30.189
1773202746979,3/10/2026,9:19:06 PM,22.7890625,22.4453125,25.06,,24.29,97.581,30.211
1773202747626,3/10/2026,9:19:07 PM,22.7734375,22.53125,25.06,,24.29,97.581,30.211
1773202748802,3/10/2026,9:19:08 PM,22.7265625,22.4453125,25.06,,24.34,97.577,30.195
1773202748976,3/10/2026,9:19:08 PM,22.7265625,22.4453125,25.06,,24.34,97.577,30.195
1773202749696,3/10/2026,9:19:09 PM,22.703125,22.5234375,25.06,,24.395,97.577,30.195
1773202750802,3/10/2026,9:19:10 PM,22.7734375,22.4609375,25.06,,24.31,97.574,30.206
1773202750980,3/10/2026,9:19:10 PM,22.7734375,22.5078125,25.06,,24.31,97.574,30.206
1773202751605,3/10/2026,9:19:11 PM,22.7890625,22.4453125,25.07,,24.38,97.576,30.206
1773202751756,3/10/2026,9:19:11 PM,22.7890625,22.4453125,25.07,,24.38,97.576,30.206
1773202752801,3/10/2026,9:19:12 PM,22.8515625,22.40625,25.07,,24.39,97.577,30.201
1773202752981,3/10/2026,9:19:12 PM,22.7265625,22.40625,25.07,,24.39,97.577,30.201
