Frequency (Hz)	Level (dB)
195.144653	-74.412315
195.817566	-74.273834
196.490479	-73.857506
197.163391	-73.796417
197.836304	-73.382919
198.509216	-73.417343
199.182129	-72.963127
199.855042	-72.802895
200.527954	-72.936378
201.200867	-72.522148
201.873779	-72.634941
202.546692	-72.519005
203.219604	-72.426659
203.892517	-72.345322
204.565430	-72.344742
205.238342	-72.357368
205.911255	-72.345184
206.584167	-72.291573
207.257080	-72.232658
207.929993	-72.072983
208.602905	-71.818718
209.275818	-71.758659
209.948730	-71.373497
210.621643	-71.040611
211.294556	-70.731186
211.967468	-70.586090
212.640381	-70.202362
213.313293	-70.120300
213.986206	-70.014687
214.659119	-69.839233
215.332031	-69.853798
216.004944	-69.573853
216.677856	-69.629875
217.350769	-69.465736
218.023682	-68.955154
218.696594	-68.697746
219.369507	-68.294876
220.042419	-67.901627
220.715332	-67.470459
221.388245	-67.235390
222.061157	-67.021942
222.734070	-66.727936
223.406982	-66.464165
224.079895	-66.225967
224.752808	-66.163696
225.425720	-66.032585
226.098633	-65.773582
226.771545	-65.455032
227.444458	-65.447426
228.117371	-65.071877
228.790283	-64.991364
229.463196	-64.504509
230.136108	-63.994492
230.809021	-63.641975
231.481934	-63.282207
232.154846	-63.032879
232.827759	-62.307430
233.500671	-62.018665
234.173584	-61.771633
234.846497	-61.462387
235.519409	-61.348549
236.192322	-61.165443
236.865234	-60.712429
237.538147	-60.022346
238.211060	-60.146236
238.883972	-59.987637
239.556885	-59.779373
240.229797	-59.619236
240.902710	-59.501812
241.575623	-59.505764
242.248535	-59.581757
242.921448	-59.752899
243.594360	-59.985985
244.267273	-60.276714
244.940186	-60.412365
245.613098	-60.562725
246.286011	-60.810951
246.958923	-61.104866
247.631836	-61.414429
248.304749	-61.875473
248.977661	-62.062832
249.650574	-62.370281
250.323486	-62.779839
250.996399	-63.041946
251.669312	-63.348320
252.342224	-63.784145
253.015137	-63.986183
253.688049	-64.340462
254.360962	-64.668907
255.033875	-64.963928
255.706787	-65.260323
256.379700	-65.591301
257.052612	-65.818451
257.725525	-65.991753
258.398438	-66.330246
259.071350	-66.637657
259.744263	-66.882622
260.417175	-67.083221
