Frequency (Hz)	Level (dB)
141.601562	-38.008095
142.089844	-36.623924
142.578125	-35.301678
143.066406	-36.747562
143.554688	-39.186527
144.042969	-35.409969
144.531250	-38.203136
145.019531	-38.301991
145.507812	-34.477856
145.996094	-35.574646
146.484375	-35.753521
146.972656	-39.004509
147.460938	-37.642448
147.949219	-35.485138
148.437500	-37.690987
148.925781	-34.204422
149.414062	-34.352623
149.902344	-35.152973
150.390625	-36.741707
150.878906	-37.583851
151.367188	-34.561810
151.855469	-37.521259
152.343750	-35.644512
152.832031	-37.045925
153.320312	-35.991547
153.808594	-36.087479
154.296875	-38.062889
154.785156	-37.710541
155.273438	-37.491245
155.761719	-36.694893
156.250000	-38.011974
156.738281	-38.413933
157.226562	-35.813438
157.714844	-38.907619
158.203125	-37.397362
158.691406	-35.978321
159.179688	-35.390789
159.667969	-38.365623
160.156250	-37.933353
160.644531	-36.841938
161.132812	-39.366276
161.621094	-40.631329
162.109375	-37.202370
162.597656	-41.529057
163.085938	-38.915569
163.574219	-37.139679
164.062500	-34.650547
164.550781	-36.743446
165.039062	-36.877220
165.527344	-37.116898
166.015625	-40.402725
166.503906	-38.873833
166.992188	-35.691559
167.480469	-36.842834
167.968750	-36.297684
168.457031	-36.863155
168.945312	-38.271248
169.433594	-38.256069
169.921875	-34.955078
170.410156	-34.952789
170.898438	-36.352409
171.386719	-36.611038
171.875000	-35.434071
172.363281	-34.584297
172.851562	-34.622849
173.339844	-38.299477
173.828125	-36.199757
174.316406	-37.516167
174.804688	-36.989910
175.292969	-37.628986
175.781250	-32.101212
176.269531	-34.316952
176.757812	-36.893929
177.246094	-35.429737
177.734375	-34.610428
178.222656	-36.821159
178.710938	-34.879368
179.199219	-33.993229
179.687500	-34.441002
180.175781	-37.492844
180.664062	-37.790188
181.152344	-35.865597
181.640625	-36.512474
182.128906	-37.434803
182.617188	-42.435184
183.105469	-34.100357
183.593750	-34.789188
184.082031	-34.235054
184.570312	-39.818272
185.058594	-36.406757
185.546875	-35.948437
186.035156	-41.192837
186.523438	-35.980480
187.011719	-36.739040
187.500000	-33.672657
187.988281	-37.967331
188.476562	-38.667564
188.964844	-35.045151
189.453125	-34.610443
189.941406	-33.881344
190.429688	-34.457016
190.917969	-31.720234
191.406250	-36.897488
191.894531	-38.656292
192.382812	-37.346519
192.871094	-35.106903
193.359375	-36.579613
193.847656	-35.296478
194.335938	-35.903316
194.824219	-32.486313
195.312500	-34.371559
195.800781	-34.608669
196.289062	-34.157356
196.777344	-34.400074
197.265625	-37.155266
197.753906	-35.897697
198.242188	-36.808357
198.730469	-34.843002
199.218750	-37.925724
199.707031	-38.082745
200.195312	-36.483528
200.683594	-33.627625
201.171875	-38.053707
201.660156	-34.681583
202.148438	-34.495728
202.636719	-33.818390
203.125000	-31.753357
203.613281	-31.225561
204.101562	-33.711521
204.589844	-31.776133
205.078125	-33.044052
205.566406	-36.210926
206.054688	-33.308056
206.542969	-32.564075
207.031250	-34.538006
207.519531	-31.359419
208.007812	-33.518044
208.496094	-30.603411
208.984375	-32.402355
209.472656	-31.511726
209.960938	-33.627266
210.449219	-34.935638
210.937500	-33.994171
211.425781	-32.014080
211.914062	-30.049629
212.402344	-32.071091
212.890625	-33.208672
213.378906	-34.269398
213.867188	-34.433826
214.355469	-29.640406
214.843750	-34.699249
215.332031	-30.914429
215.820312	-34.145855
216.308594	-33.966904
216.796875	-33.460407
217.285156	-30.957106
217.773438	-32.853050
218.261719	-32.803249
218.750000	-34.042912
219.238281	-35.033607
219.726562	-33.277737
220.214844	-31.763395
220.703125	-30.488361
221.191406	-32.864983
221.679688	-31.051291
222.167969	-35.883179
222.656250	-38.157837
223.144531	-34.133148
223.632812	-34.218311
224.121094	-31.918358
224.609375	-35.385902
225.097656	-35.961338
225.585938	-38.651772
226.074219	-32.271080
226.562500	-31.895130
227.050781	-35.831604
227.539062	-34.977528
228.027344	-32.756092
228.515625	-33.264771
229.003906	-34.054504
229.492188	-35.464066
229.980469	-35.568527
230.468750	-34.790512
230.957031	-38.043652
231.445312	-35.927387
231.933594	-36.404114
232.421875	-32.368832
232.910156	-36.173756
233.398438	-37.101208
233.886719	-35.547901
234.375000	-31.945019
234.863281	-35.998772
235.351562	-36.889988
235.839844	-35.998764
236.328125	-34.926659
236.816406	-37.828270
237.304688	-38.340466
237.792969	-39.063179
238.281250	-38.708210
238.769531	-35.453667
239.257812	-34.806572
239.746094	-35.048054
240.234375	-33.650974
240.722656	-36.656483
241.210938	-40.764652
241.699219	-37.856174
242.187500	-38.110714
242.675781	-34.863110
243.164062	-33.596767
243.652344	-35.674232
244.140625	-36.501724
244.628906	-38.661232
245.117188	-36.282925
245.605469	-40.063168
246.093750	-36.597775
246.582031	-38.090900
247.070312	-37.722782
247.558594	-37.359558
248.046875	-33.102760
248.535156	-36.358124
249.023438	-35.465416
249.511719	-37.926479
250.000000	-40.542751
250.488281	-38.842014
250.976562	-38.200405
251.464844	-37.474552
