Timestamp,Date,Time,TC1_Temp_C,TC2_Temp_C,Env_Temp_C,Flow_slm,Gas_Temp_C,Pressure_kPa,Humidity_%
1773531169038,3/14/2026,4:32:49 PM,23.6953125,23.078125,25.76,0.003,24.915,96.649,15.501
1773531169093,3/14/2026,4:32:49 PM,23.734375,23.078125,25.76,0.003,24.915,96.649,15.501
1773531169207,3/14/2026,4:32:49 PM,23.734375,23.078125,25.76,0.003,24.915,96.649,15.501
1773531169265,3/14/2026,4:32:49 PM,23.734375,23.140625,25.76,0.003,24.915,96.649,15.501
1773531169322,3/14/2026,4:32:49 PM,23.734375,23.140625,25.76,0.003,24.915,96.649,15.501
1773531169379,3/14/2026,4:32:49 PM,23.734375,23.140625,25.76,0.003,24.915,96.649,15.501
1773531169529,3/14/2026,4:32:49 PM,23.734375,23.140625,25.76,0.003,24.915,96.649,15.501
1773531169646,3/14/2026,4:32:49 PM,23.734375,23.140625,25.76,0.003,24.92,96.645,15.55
1773531169794,3/14/2026,4:32:49 PM,23.734375,23.140625,25.76,0.003,24.92,96.645,15.55
1773531169868,3/14/2026,4:32:49 PM,23.734375,23.140625,25.76,0.003,24.92,96.645,15.55
1773531170211,3/14/2026,4:32:50 PM,23.734375,23.1015625,25.76,0.003,24.92,96.645,15.55
1773531170412,3/14/2026,4:32:50 PM,23.734375,23.1015625,25.76,0.003,24.915,96.645,15.545
1773531170514,3/14/2026,4:32:50 PM,23.7734375,23.1015625,25.76,0.003,24.915,96.645,15.545
1773531170571,3/14/2026,4:32:50 PM,23.7734375,23.1015625,25.76,0.003,24.915,96.645,15.545
1773531170629,3/14/2026,4:32:50 PM,23.7734375,23.1015625,25.76,0.003,24.915,96.645,15.545
1773531170687,3/14/2026,4:32:50 PM,23.7734375,23.15625,25.76,0.003,24.915,96.645,15.545
1773531170741,3/14/2026,4:32:50 PM,23.7734375,23.15625,25.76,0.003,24.915,96.645,15.545
1773531170799,3/14/2026,4:32:50 PM,23.7734375,23.15625,25.76,0.003,24.915,96.645,15.545
1773531170855,3/14/2026,4:32:50 PM,23.7734375,23.15625,25.76,0.003,24.915,96.645,15.545
1773531170912,3/14/2026,4:32:50 PM,23.7734375,23.15625,25.76,0.003,24.915,96.645,15.545
1773531170966,3/14/2026,4:32:50 PM,23.7734375,23.15625,25.76,0.003,24.915,96.645,15.545
1773531171025,3/14/2026,4:32:51 PM,23.7734375,23.15625,25.76,0.003,24.915,96.645,15.545
1773531171084,3/14/2026,4:32:51 PM,23.7734375,23.15625,25.76,0.003,24.89,96.652,15.481
1773531171142,3/14/2026,4:32:51 PM,23.7734375,23.15625,25.76,0.003,24.89,96.652,15.481
1773531171196,3/14/2026,4:32:51 PM,23.7734375,23.15625,25.76,0.003,24.89,96.652,15.481
1773531171256,3/14/2026,4:32:51 PM,23.6953125,23.15625,25.76,0.003,24.89,96.652,15.481
1773531171311,3/14/2026,4:32:51 PM,23.6953125,23.15625,25.76,0.003,24.89,96.652,15.481
1773531171365,3/14/2026,4:32:51 PM,23.6953125,23.15625,25.76,0.003,24.89,96.652,15.481
1773531171535,3/14/2026,4:32:51 PM,23.6953125,23.046875,25.76,0.003,24.89,96.652,15.481
1773531171645,3/14/2026,4:32:51 PM,23.6953125,23.046875,25.76,0.003,24.89,96.652,15.481
1773531171797,3/14/2026,4:32:51 PM,23.6953125,23.046875,25.75,0.004,24.87,96.65,15.535
1773531171856,3/14/2026,4:32:51 PM,23.6953125,23.046875,25.75,0.004,24.87,96.65,15.535
1773531172416,3/14/2026,4:32:52 PM,23.6875,23.203125,25.75,0.004,24.87,96.65,15.535
1773531172473,3/14/2026,4:32:52 PM,23.6875,23.203125,25.75,0.004,24.87,96.65,15.535
1773531172531,3/14/2026,4:32:52 PM,23.6875,23.203125,25.75,0.004,24.94,96.647,15.53
1773531172585,3/14/2026,4:32:52 PM,23.6875,23.203125,25.75,0.004,24.94,96.647,15.53
1773531172644,3/14/2026,4:32:52 PM,23.6875,23.203125,25.75,0.004,24.94,96.647,15.53
1773531172704,3/14/2026,4:32:52 PM,23.6953125,23.203125,25.75,0.004,24.94,96.647,15.53
1773531172760,3/14/2026,4:32:52 PM,23.6953125,23.203125,25.75,0.004,24.94,96.647,15.53
1773531172817,3/14/2026,4:32:52 PM,23.6953125,23.203125,25.75,0.004,24.94,96.647,15.53
1773531172876,3/14/2026,4:32:52 PM,23.6953125,23.125,25.75,0.004,24.94,96.647,15.53
1773531172936,3/14/2026,4:32:52 PM,23.6953125,23.125,25.75,0.004,24.94,96.647,15.53
1773531172988,3/14/2026,4:32:52 PM,23.6953125,23.125,25.75,0.004,24.94,96.647,15.53
1773531173047,3/14/2026,4:32:53 PM,23.6953125,23.125,25.75,0.004,24.94,96.647,15.53
1773531173106,3/14/2026,4:32:53 PM,23.6953125,23.125,25.75,0.004,24.94,96.647,15.53
1773531173161,3/14/2026,4:32:53 PM,23.6953125,23.125,25.75,0.004,24.94,96.647,15.53
1773531173218,3/14/2026,4:32:53 PM,23.6953125,23.125,25.75,0.004,24.94,96.647,15.53
1773531173272,3/14/2026,4:32:53 PM,23.6953125,23.125,25.75,0.003,24.955,96.641,15.54
1773531173334,3/14/2026,4:32:53 PM,23.6953125,23.125,25.75,0.003,24.955,96.641,15.54
1773531173534,3/14/2026,4:32:53 PM,23.7578125,23.125,25.75,0.003,24.955,96.641,15.54
1773531173647,3/14/2026,4:32:53 PM,23.7578125,23.140625,25.75,0.003,24.955,96.641,15.54
1773531173793,3/14/2026,4:32:53 PM,23.7578125,23.140625,25.75,0.003,24.955,96.641,15.54
1773531173873,3/14/2026,4:32:53 PM,23.7578125,23.140625,25.75,0.003,24.955,96.641,15.54
1773531174377,3/14/2026,4:32:54 PM,23.7109375,23.140625,25.75,0.004,24.91,96.642,15.52
