Parameter,Value
id,c1a48aca-18bf-41fa-801a-7e7be0761c36
name,iPhone Remote - Air
timestamp,2026-03-10 21:49:01
sample_rate,8000
duration,30
noise_type,white
recording_path,saved_runs/c1a48aca-18bf-41fa-801a-7e7be0761c36_rec.npy
noise_path,saved_runs/c1a48aca-18bf-41fa-801a-7e7be0761c36_noise.npy
gas_used,Air
recorded_by,iPhone
last_fft_points,16384
FFT_Info,"Rectangular Window, 120001 bins, Linear Frequency (Hz), Linear Magnitude"

Time (s),Amplitude,Frequency (Hz),Magnitude
0.0,0.0,0.0,6.6478594e-07
0.00012500052083550347,0.0,0.03333333333333333,1.584633e-07
0.00025000104167100694,0.0,0.06666666666666667,6.509158e-07
0.0003750015625065104,0.0,0.1,2.3266927e-07
0.0005000020833420139,0.0,0.13333333333333333,6.2828735e-07
0.0006250026041775174,0.0,0.16666666666666666,3.4302218e-07
0.0007500031250130208,0.0,0.2,5.711789e-07
0.0008750036458485242,0.0,0.23333333333333334,3.266772e-07
0.0010000041666840278,0.0,0.26666666666666666,5.2583846e-07
0.0011250046875195313,0.0,0.3,4.3365256e-07
0.0012500052083550348,0.0,0.3333333333333333,4.295676e-07
0.0013750057291905381,0.0,0.36666666666666664,5.4644755e-07
0.0015000062500260417,0.0,0.4,3.2698375e-07
0.0016250067708615452,0.0,0.43333333333333335,5.932314e-07
0.0017500072916970485,0.0,0.4666666666666667,2.4276508e-07
0.001875007812532552,0.0,0.5,6.349015e-07
0.0020000083333680556,0.0,0.5333333333333333,1.8778437e-07
0.002125008854203559,0.0,0.5666666666666667,6.845849e-07
0.0022500093750390626,0.0,0.6,9.213221e-08
0.002375009895874566,0.0,0.6333333333333333,7.0061395e-07
0.0025000104167100697,0.0,0.6666666666666666,2.3341367e-07
0.002625010937545573,0.0,0.7,7.221994e-07
0.0027500114583810763,0.0,0.7333333333333333,2.9754443e-07
0.00287501197921658,0.0,0.7666666666666666,6.1852654e-07
0.0030000125000520833,0.0,0.8,4.359453e-07
0.0031250130208875866,0.0,0.8333333333333334,5.0150703e-07
0.0032500135417230904,0.0,0.8666666666666667,4.3096526e-07
0.0033750140625585937,0.0,0.9,4.2912052e-07
0.003500014583394097,0.0,0.9333333333333333,5.946706e-07
0.0036250151042296007,0.0,0.9666666666666667,3.689433e-07
0.003750015625065104,0.0,1.0,7.2257245e-07
0.003875016145900608,0.0,1.0333333333333332,2.9466545e-07
0.004000016666736111,0.0,1.0666666666666667,6.498779e-07
0.004125017187571614,0.0,1.1,1.692299e-07
0.004250017708407118,0.0,1.1333333333333333,5.9547153e-07
0.004375018229242622,4.3059636e-11,1.1666666666666667,1.9365264e-07
0.004500018750078125,-3.5738157e-09,1.2,7.2994936e-07
0.0046250192709136285,2.4762688e-08,1.2333333333333334,2.574038e-07
0.004750019791749132,-6.545156e-08,1.2666666666666666,7.0146876e-07
0.004875020312584635,1.04201604e-07,1.3,4.9489057e-07
0.005000020833420139,-1.5226686e-07,1.3333333333333333,4.740719e-07
0.005125021354255643,4.42165e-07,1.3666666666666667,4.8244874e-07
0.005250021875091146,-3.1812306e-07,1.4,4.2769844e-07
0.005375022395926649,-9.436323e-06,1.4333333333333333,6.1535025e-07
0.0055000229167621525,-0.00010895033,1.4666666666666666,4.920235e-07
0.005625023437597656,-0.00012846032,1.5,6.019116e-07
0.00575002395843316,-0.00014801457,1.5333333333333332,4.185841e-07
0.005875024479268663,-0.00041724485,1.5666666666666667,6.9721443e-07
0.006000025000104167,-0.00046949336,1.6,4.123235e-07
0.00612502552093967,-9.2327704e-05,1.6333333333333333,7.468831e-07
0.006250026041775173,-0.0001989606,1.6666666666666667,2.450856e-07
0.0063750265626106774,-0.00038154674,1.7,3.6365591e-07
0.006500027083446181,-0.00015305198,1.7333333333333334,8.661953e-08
0.006625027604281684,0.00019248827,1.7666666666666666,6.9953114e-07
0.006750028125117187,0.00012473311,1.8,1.9290209e-07
0.006875028645952691,-0.00012633693,1.8333333333333333,6.452167e-07
0.007000029166788194,-4.355956e-05,1.8666666666666667,4.9737395e-07
0.007125029687623698,-4.58344e-05,1.9,6.694554e-07
0.0072500302084592015,-0.00014742829,1.9333333333333333,4.9256516e-07
0.007375030729294705,-0.00026436074,1.9666666666666666,5.3806673e-07
0.007500031250130208,-0.00031163084,2.0,3.999819e-07
0.007625031770965711,-0.00026369694,2.033333333333333,2.0573351e-07
0.007750032291801216,-3.917656e-05,2.0666666666666664,7.2645497e-07
0.007875032812636719,-0.00014741399,2.1,3.1353687e-07
0.008000033333472222,-0.00040685924,2.1333333333333333,5.7696536e-07
0.008125033854307726,-0.000140204,2.1666666666666665,2.2089073e-07
0.008250034375143229,-8.091566e-05,2.2,2.254711e-07
0.008375034895978732,-0.00026503083,2.2333333333333334,9.134833e-08
0.008500035416814235,-0.00042275526,2.2666666666666666,5.928819e-07
0.008625035937649739,-0.0004320818,2.3,1.538927e-07
0.008750036458485244,-0.00032825762,2.3333333333333335,6.6457415e-07
