Frequency (Hz)	Level (dB)
195.144653	-60.502922
195.817566	-60.715061
196.490479	-60.109734
197.163391	-60.444553
197.836304	-59.404644
198.509216	-60.366055
199.182129	-59.717102
199.855042	-59.459419
200.527954	-59.520473
201.200867	-57.582443
201.873779	-56.792122
202.546692	-57.059994
203.219604	-56.955887
203.892517	-55.047398
204.565430	-54.490677
205.238342	-50.354206
205.911255	-44.042633
206.584167	-42.841862
207.257080	-40.277088
207.929993	-39.771641
208.602905	-43.011578
209.275818	-40.250179
209.948730	-50.353668
210.621643	-55.135620
211.294556	-55.480232
211.967468	-56.763783
212.640381	-56.376076
213.313293	-57.806129
213.986206	-59.152950
214.659119	-59.406277
215.332031	-60.427826
216.004944	-59.739864
216.677856	-61.725998
217.350769	-60.642464
218.023682	-60.507744
218.696594	-61.529800
219.369507	-61.286537
220.042419	-61.229565
220.715332	-61.210308
221.388245	-61.888184
222.061157	-60.978634
222.734070	-60.746586
223.406982	-60.419636
224.079895	-62.385109
224.752808	-61.312229
225.425720	-61.679359
226.098633	-62.094749
226.771545	-62.995335
227.444458	-62.362442
228.117371	-62.152321
228.790283	-61.984573
229.463196	-60.820721
230.136108	-60.941151
230.809021	-58.917675
231.481934	-54.184975
232.154846	-54.372345
232.827759	-52.276432
233.500671	-51.332928
234.173584	-52.789070
234.846497	-55.469501
235.519409	-53.462566
236.192322	-59.778160
236.865234	-61.516506
237.538147	-61.439167
238.211060	-61.457054
238.883972	-62.877514
239.556885	-62.515209
240.229797	-62.060818
240.902710	-61.916603
241.575623	-62.101707
242.248535	-61.638767
242.921448	-62.533764
243.594360	-61.709610
244.267273	-62.091999
244.940186	-61.754459
245.613098	-61.441528
246.286011	-61.484203
246.958923	-60.603539
247.631836	-61.574638
248.304749	-61.107670
248.977661	-60.912403
249.650574	-60.841599
250.323486	-61.442051
250.996399	-60.236660
251.669312	-60.238209
252.342224	-60.427883
253.015137	-59.866413
253.688049	-60.205120
254.360962	-59.548431
255.033875	-58.779335
255.706787	-58.297352
256.379700	-56.277328
257.052612	-50.414536
257.725525	-49.629974
258.398438	-48.601830
259.071350	-46.342819
259.744263	-45.234303
260.417175	-48.941025
261.090088	-50.619801
261.763000	-47.856037
262.435913	-55.057259
263.108826	-57.206173
263.781738	-57.900482
264.454651	-57.489780
265.127563	-57.929081
265.800476	-58.419796
266.473389	-59.350147
267.146301	-59.356026
267.819214	-58.193520
268.492126	-60.862946
269.165039	-59.398369
269.837952	-58.592201
270.510864	-57.982590
271.183777	-59.189316
271.856689	-58.256317
272.529602	-59.200657
273.202515	-58.311954
273.875427	-57.556633
274.548340	-58.950016
275.221252	-57.203682
275.894165	-58.541702
276.567078	-58.077381
277.239990	-57.095360
277.912903	-56.518120
278.585815	-57.857048
279.258728	-56.261448
279.931641	-57.580265
280.604553	-56.590828
281.277466	-55.805508
281.950378	-55.489967
282.623291	-51.796089
283.296204	-51.042244
283.969116	-50.183281
284.642029	-48.208515
285.314941	-48.019176
285.987854	-48.094254
286.660767	-51.620026
287.333679	-51.132092
288.006592	-50.618362
288.679504	-56.081898
289.352417	-56.289181
290.025330	-56.771130
290.698242	-57.155857
291.371155	-56.852718
292.044067	-58.101879
292.716980	-57.394844
293.389893	-56.971428
294.062805	-58.174717
294.735718	-58.770592
295.408630	-57.243782
296.081543	-57.865814
296.754456	-57.416824
297.427368	-58.168900
298.100281	-55.996128
298.773193	-57.967098
299.446106	-57.480408
300.119019	-57.269485
300.791931	-56.640663
301.464844	-55.987957
302.137756	-58.816586
302.810669	-57.079300
303.483582	-56.028656
304.156494	-57.499538
304.829407	-58.111015
305.502319	-58.010254
306.175232	-57.542324
306.848145	-58.673275
307.521057	-57.350533
308.193970	-56.887451
308.866882	-55.567242
309.539795	-56.285160
310.212708	-54.517788
310.885620	-52.969677
311.558533	-52.810875
312.231445	-53.993893
312.904358	-55.164494
313.577271	-54.200897
314.250183	-54.600464
314.923096	-57.162243
315.596008	-57.516102
316.268921	-57.295090
316.941833	-58.581978
317.614746	-58.283009
318.287659	-57.007198
318.960571	-58.146633
319.633484	-57.555687
320.306396	-57.228115
320.979309	-58.276199
321.652222	-57.109386
322.325134	-56.519802
322.998047	-57.201794
323.670959	-56.877884
324.343872	-56.050068
325.016785	-57.093861
325.689697	-55.494217
326.362610	-56.966003
327.035522	-55.773449
327.708435	-56.318939
328.381348	-57.487835
329.054260	-54.826405
329.727173	-55.051476
330.400085	-54.685719
331.072998	-54.531845
331.745911	-54.701313
332.418823	-54.314297
333.091736	-53.865021
333.764648	-52.116749
334.437561	-49.254757
335.110474	-50.576923
335.783386	-48.757488
336.456299	-47.278164
337.129211	-47.544182
337.802124	-46.569305
338.475037	-49.615471
339.147949	-50.226322
339.820862	-48.120022
340.493774	-50.585129
341.166687	-53.465961
341.839600	-54.318989
342.512512	-55.104565
343.185425	-54.811844
343.858337	-56.097328
344.531250	-54.819954
345.204163	-54.634415
345.877075	-55.690445
346.549988	-56.075855
347.222900	-55.830341
347.895813	-55.486137
348.568726	-56.117874
349.241638	-56.388412
349.914551	-56.098812
350.587463	-55.519665
351.260376	-56.300266
351.933289	-56.856564
352.606201	-55.398937
353.279114	-55.284016
353.952026	-57.055058
354.624939	-57.586750
355.297852	-56.205074
355.970764	-57.253490
356.643677	-57.248238
357.316589	-57.816986
357.989502	-57.409386
358.662415	-58.715778
359.335327	-58.133762
360.008240	-58.320332
360.681152	-58.710815
361.354065	-58.332981
362.026978	-58.032455
362.699890	-58.093838
363.372803	-57.569206
364.045715	-57.300877
364.718628	-58.545971
365.391541	-58.157543
366.064453	-57.125469
366.737366	-58.235828
367.410278	-59.174019
368.083191	-58.818577
368.756104	-59.802509
369.429016	-59.959217
370.101929	-58.606613
370.774841	-59.049286
371.447754	-60.077908
372.120667	-58.905758
372.793579	-60.551338
373.466492	-58.805439
374.139404	-58.353683
374.812317	-58.958447
375.485229	-58.473827
376.158142	-57.840405
376.831055	-59.175880
377.503967	-58.315628
378.176880	-58.775383
378.849792	-58.500877
379.522705	-58.369789
380.195618	-60.173653
380.868530	-57.440384
381.541443	-57.442940
382.214355	-57.461536
382.887268	-57.229393
383.560181	-57.545753
384.233093	-57.023685
384.906006	-56.577610
385.578918	-54.418221
386.251831	-53.454445
386.924744	-54.082909
387.597656	-52.542519
