Filename	2023_06_26_hagfish_gamma_protein_SBK
Instrument name	DSC2A-00468 (192.168.1.100)
Operator	SBK
rundate	6/26/2023
Sample name	2023_06_26_hagfish_gamma_protein_SBK
proceduresegments	Data Off ; Equilibrate -80.00 °C; Data On ; Ramp 5.00 °C/min to 100.00 °C; Data Off ; Isothermal 1.0 min; Data On ; Ramp 5.00 °C/min to -80.00 °C; Data Off ; Isothermal 1.0 min; Data On ; Ramp 5.00 °C/min to 100.00 °C
[File Parameters]
Run date	6/26/2023 3:43:52 PM
Trios version	5.1.1.46572
Original File Name	
Current File Name	C:\Users\yargerlab\Desktop\DSC Data\General\2023_06_26_hagfish_gamma_protein_SBK.tri
[Procedure]
Procedure Name	DSC n80C 100C 2 cycle
Sample Name	2023_06_26_hagfish_gamma_protein_SBK
Sample Mass	4.49 mg
Reference Sample Mass	0 mg
Pan Mass	54.65 mg
Pan Number	39
Reference Pan Mass	53.66 mg
Reference Pan Number	46
Pan Type	Aluminum Hermetic
Comments	Hagfish gamma protein powder. Refrigerated before use, and run quickly after sample prep. Aluminum pan with hermetic aluminum lid. (DSC84010 and DSC84011)
Project Name	Silk ASDs
Operator	SBK
Test	Custom
Unload Max Temperature	30
Unload Min Temperature	30
Load Max Temperature	30
Load Min Temperature	30
Stop on Gas Flow Error	Yes
[Signal List]
Signal #1	Time (min)
Signal #2	Temperature (°C)
Signal #3	Heat Flow (mW)
Signal #4	Delta T (µV)
Signal #5	Delta Tzero (µV)
Signal #6	Tzero Temperature (°C)
Signal #7	Cell Purge (mL/min)
Signal #8	Heater Temp (°C)
Signal #9	Power Delivered (W)
Signal #10	Reference Junction Temperature (°C)
Signal #11	Flange Temperature (°C)
Signal #12	Heat Flow Phase (rad)
Signal #13	Total Heat Capacity (J/°C)
Signal #14	Heat Capacity (J/°C)
[Configuration]
Company Name	ASU
Instrument Name	DSC2A-00468
Instrument Type	DSC2500
Serial Number	DSC2A-00468
IP	192.168.1.100
Location of Instrument	MRRC
DisplayType	Unknown
Sample Interval 	0.1 s/pt
Selected Heat Flow	T4P
Exotherm Direction	Down
Cell Serial	DRC2-00792
Lid Type	Standard
Cooler	RCS 90
Leave Cooler on at End of Sequence	On
Gas 2	Nitrogen
Gas Selected	Channel 1
Flow Rate	50 mL/min
Secondary Purge	On
Licensed Heat Flow	Heat Flow T4P
Modulation Licensed	Yes
[Versions]
Common IDD Version	1
Cortex Version	VER 2.10.2.31
Driver	5.0.0.6
GDM Version	1.0.3.3
TouchscreenVersion	1.0.0.16145
FEP Version	1.2.1.21
FEP Bootloader	2.0.0.5
AutoSampler Version	2.1.1.26
Auto Sampler Bootloader	2.0.0.5
FCM Version	1.1.0.3
FCM Bootloader	2.0.0.5
[Experiment Logs]
Experiment Log Entry # 1	Data On set to 0
Experiment Log Entry # 3	Equilibrate Segment -80 (C) Started
Experiment Log Entry # 5	Air Cool is off.
Experiment Log Entry # 7	Data On set to 1
Experiment Log Entry # 9	Ramp Segment 5 C/min to 100 Started
Experiment Log Entry # 11	Data On set to 0
Experiment Log Entry # 13	Isothermal Segment 1 min started
Experiment Log Entry # 15	Data On set to 1
Experiment Log Entry # 17	Ramp Segment 5 C/min to -80 Started
Experiment Log Entry # 19	Data On set to 0
Experiment Log Entry # 21	Isothermal Segment 1 min started
Experiment Log Entry # 23	Data On set to 1
Experiment Log Entry # 25	Ramp Segment 5 C/min to 100 Started
[Method Log]
Method Log Entry # 1	Data Off
Method Log Entry # 2	Equilibrate -80 °C
Method Log Entry # 3	Data On
Method Log Entry # 4	(Ramp 68763) Ramp 5 °C/minute to 100 °C
Method Log Entry # 5	Data Off
Method Log Entry # 6	Isothermal 1 minutes
Method Log Entry # 7	Data On
Method Log Entry # 8	(Ramp 68767) Ramp 5 °C/minute to -80 °C
Method Log Entry # 9	Data Off
Method Log Entry # 10	Isothermal 1 minutes
Method Log Entry # 11	Data On
Method Log Entry # 12	(Ramp 68771) Ramp 5 °C/minute to 100 °C
Cell Serial	DRC2-00792
[T1 Calibration]
Slope	-0.008529666
Offset	9.636258
Initial Temperature	98.23
GUID	f8bfdadc-4977-4fdf-ba6d-0ba9134940c3
[TZero Calibration]
Date Applied	11/29/2022 4:06:13 PM
Description	From -89.059 °C to 396.009 °C at 20.000°C/min
Gas Type	Nitrogen
Pan Type	None
Source Files 1	C:\Users\yargerlab\Desktop\DSC Data\General\TZero_calibration_11_29_22_2nd(2).tri
Source Files 2	C:\Users\yargerlab\Desktop\DSC Data\General\TZero_calibration_11_29_22_2nd(3).tri
Delta T Offset	13.05235
Delta T Slope	-0.007271007
Delta T0 Offset	-13.69128
Delta T0 Slope	0.06063341
[Temperature Calibration]
Date Applied	11/29/2022 7:12:28 PM
Description	From 106.590 °C to 186.590 °C at 10.000°C/min
Gas Type	Nitrogen
Pan Type	Tzero Aluminum Hermetic
Source Files 1	C:\Users\yargerlab\Desktop\DSC Data\General\Indium(6).tri
Measured 1	157.391
Known 1	156.598
[Cell Constant Calibration]
Date Applied	11/29/2022 7:12:29 PM
Description	From 106.590 °C to 186.590 °C at 10.000°C/min
Gas Type	Nitrogen
Pan Type	Tzero Aluminum Hermetic
Source Files 1	C:\Users\yargerlab\Desktop\DSC Data\General\Indium(6).tri
T4P KCell	1.006051
Onset Slope	63.26126 mW/°C
[Direct Cp Calibration]
Date Applied	11/30/2022 11:04:51 AM
Description	From -79.983 °C to 298.409 °C at 10.000°C/min
Gas Type	Nitrogen
Pan Type	Tzero Aluminum Hermetic
Source Files 1	C:\Users\yargerlab\Desktop\DSC Data\General\Sapphire_Heat_Capacity_11_30_22.tri
[Rev Cp Calibration]
Date Applied	11/30/2022 1:58:51 PM
Description	From -79.996 °C to 292.812 °C at 3.000°C/min
Gas Type	Nitrogen
Pan Type	Tzero Aluminum Hermetic
Source Files 1	C:\Users\yargerlab\Desktop\DSC Data\General\Sapphire_MDSC_Calibration_11_30_22.tri
[step]
Ramp 5.00 °C/min to 100.00 °C
Time	Temperature	Heat Flow (Normalized)
min	°C	W/g
0.00	-79.75	-0.028
0.00	-79.75	-0.029
0.00	-79.75	-0.029
0.01	-79.75	-0.030
0.01	-79.75	-0.030
0.01	-79.75	-0.030
0.01	-79.75	-0.030
0.01	-79.75	-0.029
0.01	-79.75	-0.029
0.01	-79.75	-0.029
0.02	-79.75	-0.029
0.02	-79.75	-0.029
0.02	-79.75	-0.028
0.02	-79.75	-0.028
0.02	-79.76	-0.027
0.03	-79.76	-0.026
0.03	-79.76	-0.026
0.03	-79.76	-0.025
0.03	-79.76	-0.025
0.03	-79.76	-0.024
0.03	-79.76	-0.024
0.03	-79.76	-0.024
0.04	-79.76	-0.024
0.04	-79.76	-0.024
0.04	-79.76	-0.024
0.04	-79.76	-0.024
0.04	-79.76	-0.024
0.05	-79.76	-0.024
0.05	-79.76	-0.024
0.05	-79.75	-0.024
0.05	-79.75	-0.024
0.05	-79.75	-0.024
0.05	-79.75	-0.024
0.05	-79.75	-0.024
0.06	-79.75	-0.025
0.06	-79.75	-0.025
0.06	-79.75	-0.026
0.06	-79.74	-0.028
0.06	-79.74	-0.030
0.07	-79.74	-0.033
0.07	-79.74	-0.036
0.07	-79.74	-0.040
0.07	-79.73	-0.043
0.07	-79.73	-0.047
0.07	-79.73	-0.050
0.08	-79.73	-0.052
0.08	-79.73	-0.054
0.08	-79.72	-0.057
0.08	-79.72	-0.059
0.08	-79.72	-0.061
0.08	-79.71	-0.062
0.08	-79.71	-0.064
0.09	-79.71	-0.066
0.09	-79.70	-0.068
0.09	-79.70	-0.070
0.09	-79.69	-0.072
0.09	-79.69	-0.074
0.09	-79.69	-0.076
0.10	-79.68	-0.078
0.10	-79.68	-0.079
0.10	-79.68	-0.080
0.10	-79.67	-0.081
0.10	-79.67	-0.081
0.11	-79.66	-0.081
0.11	-79.66	-0.082
0.11	-79.65	-0.082
0.11	-79.65	-0.083
0.11	-79.64	-0.083
0.11	-79.64	-0.084
0.12	-79.63	-0.084
0.12	-79.63	-0.084
0.12	-79.62	-0.083
0.12	-79.62	-0.083
0.12	-79.62	-0.082
0.12	-79.61	-0.082
0.13	-79.60	-0.081
0.13	-79.60	-0.081
0.13	-79.59	-0.080
0.13	-79.59	-0.078
0.13	-79.58	-0.078
0.13	-79.58	-0.077
0.14	-79.57	-0.076
0.14	-79.57	-0.076
0.14	-79.56	-0.075
0.14	-79.56	-0.075
0.14	-79.55	-0.074
0.14	-79.54	-0.073
0.14	-79.54	-0.072
0.15	-79.53	-0.071
0.15	-79.53	-0.069
0.15	-79.52	-0.068
0.15	-79.52	-0.066
0.15	-79.51	-0.063
0.16	-79.51	-0.060
0.16	-79.50	-0.057
0.16	-79.49	-0.054
0.16	-79.49	-0.052
0.16	-79.48	-0.050
0.16	-79.48	-0.049
0.16	-79.47	-0.047
0.17	-79.47	-0.046
0.17	-79.46	-0.045
0.17	-79.45	-0.044
0.17	-79.45	-0.042
0.17	-79.44	-0.040
0.18	-79.44	-0.038
0.18	-79.43	-0.037
0.18	-79.43	-0.036
0.18	-79.42	-0.035
0.18	-79.42	-0.033
0.18	-79.41	-0.033
0.19	-79.40	-0.033
0.19	-79.40	-0.033
0.19	-79.39	-0.032
0.19	-79.39	-0.032
0.19	-79.38	-0.030
0.19	-79.37	-0.029
0.19	-79.37	-0.027
0.20	-79.36	-0.027
0.20	-79.35	-0.026
0.20	-79.35	-0.025
0.20	-79.34	-0.024
