Filename,JLY_CBD_Xtal_KY1
Instrument name,DSC2A-00468 (192.168.1.101)
Operator,JLY
rundate,1/26/2018
proceduresegments,Data Off ; Equilibrate -50.00 °C; Isothermal 1.0 min; Data On ; Ramp 10.00 °C/min to 110.00 °C; Data Off ; Isothermal 1.0 min; Data On ; Ramp 10.00 °C/min to -50.00 °C; Data Off ; Isothermal 1.0 min; Data On ; Ramp 10.00 °C/min to 110.00 °C; Data Off ; Isothermal 1.0 min; Data On ; Ramp 10.00 °C/min to -50.00 °C; Data Off ; Isothermal 1.0 min; Data On ; Ramp 5.00 °C/min to 110.00 °C; Data Off ; Isothermal 1.0 min; Data On ; Ramp 10.00 °C/min to -50.00 °C; Data Off ; Isothermal 1.0 min; Data On ; Ramp 5.00 °C/min to 110.00 °C; Data Off ; Jump 25.00 °C
[step]
Ramp 10 °C/min to -50.00 °C
Time,Temperature,Heat Flow (Normalized)
min,°C,W/g
17.00,110.03,-0.043
17.00,110.03,-0.043
17.00,110.03,-0.043
17.00,110.03,-0.043
17.01,110.03,-0.043
17.01,110.03,-0.043
17.01,110.03,-0.043
17.01,110.03,-0.043
17.01,110.03,-0.043
17.02,110.03,-0.043
17.02,110.03,-0.043
17.02,110.03,-0.043
17.02,110.03,-0.043
17.02,110.03,-0.043
17.02,110.03,-0.043
17.03,110.03,-0.043
17.03,110.03,-0.043
17.03,110.03,-0.043
17.03,110.03,-0.043
17.03,110.03,-0.043
17.03,110.03,-0.043
17.03,110.03,-0.043
17.04,110.03,-0.043
17.04,110.03,-0.043
17.04,110.02,-0.043
17.04,110.02,-0.043
17.04,110.02,-0.043
17.05,110.02,-0.043
17.05,110.02,-0.043
17.05,110.02,-0.043
17.05,110.02,-0.043
17.05,110.02,-0.043
17.05,110.02,-0.043
17.05,110.02,-0.042
17.06,110.01,-0.042
17.06,110.01,-0.042
17.06,110.01,-0.041
17.06,110.01,-0.040
17.06,110.01,-0.039
17.07,110.01,-0.038
17.07,110.00,-0.037
17.07,110.00,-0.036
17.07,110.00,-0.034
17.07,110.00,-0.033
