Filename,JLY_CBD_Xtal_KY1
Instrument name,DSC2A-00468 (192.168.1.101)
Operator,JLY
rundate,1/26/2018
proceduresegments,Data Off ; Equilibrate -50.00 °C; Isothermal 1.0 min; Data On ; Ramp 10.00 °C/min to 110.00 °C; Data Off ; Isothermal 1.0 min; Data On ; Ramp 10.00 °C/min to -50.00 °C; Data Off ; Isothermal 1.0 min; Data On ; Ramp 10.00 °C/min to 110.00 °C; Data Off ; Isothermal 1.0 min; Data On ; Ramp 10.00 °C/min to -50.00 °C; Data Off ; Isothermal 1.0 min; Data On ; Ramp 5.00 °C/min to 110.00 °C; Data Off ; Isothermal 1.0 min; Data On ; Ramp 10.00 °C/min to -50.00 °C; Data Off ; Isothermal 1.0 min; Data On ; Ramp 5.00 °C/min to 110.00 °C; Data Off ; Jump 25.00 °C
[step]
Ramp 10 °C/min to 110.00 °C
Time,Temperature,Heat Flow (Normalized)
min,°C,W/g
34.00,-49.91,-0.017
34.00,-49.91,-0.017
34.00,-49.91,-0.017
34.01,-49.91,-0.017
34.01,-49.91,-0.017
34.01,-49.91,-0.017
34.01,-49.91,-0.017
34.01,-49.91,-0.017
34.01,-49.91,-0.017
34.02,-49.91,-0.017
34.02,-49.91,-0.017
34.02,-49.91,-0.017
34.02,-49.91,-0.017
34.02,-49.91,-0.017
34.02,-49.91,-0.017
34.03,-49.91,-0.017
34.03,-49.91,-0.017
34.03,-49.91,-0.017
34.03,-49.91,-0.017
34.03,-49.91,-0.017
34.03,-49.91,-0.017
34.03,-49.91,-0.017
34.04,-49.91,-0.017
34.04,-49.91,-0.017
34.04,-49.91,-0.017
34.04,-49.91,-0.017
34.04,-49.91,-0.017
34.04,-49.91,-0.017
34.05,-49.91,-0.017
34.05,-49.90,-0.017
34.05,-49.90,-0.017
34.05,-49.90,-0.017
34.05,-49.90,-0.017
34.06,-49.90,-0.017
34.06,-49.90,-0.017
34.06,-49.90,-0.017
34.06,-49.90,-0.017
34.06,-49.90,-0.017
34.06,-49.90,-0.017
34.07,-49.90,-0.017
34.07,-49.90,-0.017
34.07,-49.89,-0.017
34.07,-49.89,-0.017
34.07,-49.89,-0.018
34.07,-49.89,-0.018
34.08,-49.88,-0.018
34.08,-49.88,-0.018
34.08,-49.88,-0.018
34.08,-49.88,-0.018
34.08,-49.87,-0.019
34.08,-49.87,-0.019
34.08,-49.87,-0.019
34.09,-49.87,-0.020
34.09,-49.86,-0.020
34.09,-49.86,-0.020
34.09,-49.86,-0.021
34.09,-49.85,-0.021
34.09,-49.85,-0.021
34.10,-49.85,-0.021
34.10,-49.84,-0.022
34.10,-49.84,-0.022
34.10,-49.84,-0.022
34.10,-49.83,-0.022
34.11,-49.83,-0.023
34.11,-49.82,-0.023
34.11,-49.82,-0.023
34.11,-49.81,-0.023
34.11,-49.81,-0.023
34.11,-49.80,-0.023
34.12,-49.80,-0.023
34.12,-49.79,-0.023
34.12,-49.79,-0.023
34.12,-49.78,-0.023
34.12,-49.77,-0.023
34.12,-49.77,-0.023
34.13,-49.76,-0.023
34.13,-49.75,-0.023
34.13,-49.75,-0.023
34.13,-49.74,-0.023
34.13,-49.73,-0.023
34.13,-49.73,-0.023
34.14,-49.72,-0.023
34.14,-49.71,-0.023
34.14,-49.70,-0.023
34.14,-49.70,-0.022
34.14,-49.69,-0.022
34.14,-49.68,-0.021
34.14,-49.67,-0.020
34.15,-49.66,-0.018
34.15,-49.66,-0.017
34.15,-49.65,-0.015
34.15,-49.64,-0.014
34.15,-49.63,-0.013
34.16,-49.62,-0.011
34.16,-49.61,-0.010
34.16,-49.60,-0.008
34.16,-49.59,-0.006
34.16,-49.58,-0.005
34.16,-49.57,-0.003
34.16,-49.56,-0.001
34.17,-49.55,0.002
34.17,-49.54,0.004
34.17,-49.53,0.007
34.17,-49.52,0.009
34.17,-49.51,0.010
34.18,-49.50,0.012
34.18,-49.49,0.014
34.18,-49.48,0.016
34.18,-49.47,0.018
34.18,-49.46,0.019
34.18,-49.44,0.022
34.19,-49.43,0.024
34.19,-49.42,0.027
34.19,-49.41,0.028
34.19,-49.40,0.029
34.19,-49.39,0.031
34.19,-49.37,0.032
34.19,-49.36,0.035
34.20,-49.35,0.037
34.20,-49.34,0.038
34.20,-49.33,0.040
34.20,-49.31,0.042
34.20,-49.30,0.044
34.21,-49.29,0.047
34.21,-49.28,0.048
34.21,-49.26,0.050
34.21,-49.25,0.050
34.21,-49.24,0.052
34.21,-49.22,0.054
34.21,-49.21,0.056
34.22,-49.20,0.057
34.22,-49.19,0.058
34.22,-49.17,0.059
34.22,-49.16,0.062
34.22,-49.14,0.064
34.23,-49.13,0.066
34.23,-49.12,0.067
34.23,-49.10,0.069
34.23,-49.09,0.070
34.23,-49.08,0.072
34.23,-49.07,0.072
34.24,-49.05,0.073
34.24,-49.04,0.074
34.24,-49.02,0.075
34.24,-49.01,0.076
34.24,-48.99,0.077
34.24,-48.98,0.079
34.24,-48.97,0.080
34.25,-48.95,0.082
34.25,-48.94,0.083
