Mode	freq(cm-1)	eps	Int	T**2	TX	TY	TZ
7	22.67	0.000194	0.98	0.002670	0.007838	0.049253	-0.013511
8	41.32	0.000239	1.21	0.001805	0.010630	0.024801	0.032812
9	52.05	0.000287	1.45	0.001720	0.005376	-0.025680	-0.032115
10	56.29	0.000234	1.18	0.001297	-0.006704	-0.032984	-0.012801
11	62.75	0.000116	0.58	0.000575	-0.006256	-0.021575	-0.008371
12	78.80	0.000058	0.30	0.000232	0.011197	-0.008249	-0.006175
13	99.02	0.000089	0.45	0.000280	-0.003020	0.016465	-0.000060
14	112.76	0.000505	2.55	0.001398	-0.016028	0.026251	0.021251
15	123.37	0.000059	0.30	0.000150	-0.007263	-0.002648	-0.009496
16	130.02	0.000482	2.44	0.001157	0.005204	0.004280	0.033338
17	133.33	0.000248	1.25	0.000580	0.000242	-0.015487	-0.018444
18	147.56	0.000330	1.67	0.000698	0.007326	-0.023933	-0.008456
19	154.33	0.000107	0.54	0.000216	0.005932	-0.003152	0.013088
20	156.19	0.000173	0.87	0.000345	0.001346	-0.014932	-0.010974
21	170.80	0.000144	0.73	0.000263	-0.004825	-0.012741	-0.008813
22	176.48	0.000932	4.71	0.001648	0.010757	-0.004433	0.038887
23	189.32	0.001395	7.05	0.002299	-0.003873	-0.046783	-0.009748
24	225.63	0.000928	4.69	0.001283	-0.001735	-0.031968	-0.016071
25	232.39	0.000309	1.56	0.000416	-0.002923	0.002685	-0.019994
26	268.72	0.001546	7.81	0.001795	0.002983	0.033967	0.025152
27	293.42	0.000879	4.44	0.000935	0.028286	0.001173	-0.011563
28	301.65	0.000152	0.77	0.000157	-0.009268	-0.003066	0.007879
29	330.73	0.001532	7.74	0.001445	-0.034916	-0.004384	0.014379
30	339.55	0.003513	17.76	0.003229	-0.044589	-0.012593	0.032897
31	344.27	0.000093	0.47	0.000084	-0.008862	-0.000247	-0.002380
32	351.17	0.000426	2.15	0.000379	-0.018089	-0.006845	0.002195
33	363.58	0.000419	2.12	0.000360	-0.004297	-0.013445	0.012662
34	398.94	0.000526	2.66	0.000412	0.004590	-0.012355	-0.015425
35	406.27	0.001854	9.37	0.001424	-0.009939	0.011394	-0.034580
36	411.80	0.000124	0.62	0.000094	0.009494	-0.000133	0.001879
37	450.55	0.000948	4.79	0.000656	0.022733	0.007869	0.008820
38	511.80	0.013253	66.97	0.008081	-0.034925	0.057496	0.059626
39	517.99	0.000876	4.43	0.000528	0.000241	-0.021689	-0.007556
40	582.41	0.000944	4.77	0.000506	0.008950	-0.008409	0.018844
41	590.18	0.000353	1.79	0.000187	-0.005925	0.012160	0.001958
42	601.82	0.000079	0.40	0.000041	0.001948	-0.002160	-0.005704
43	606.42	0.000371	1.87	0.000191	0.011569	0.005488	-0.005187
44	610.87	0.000671	3.39	0.000343	-0.001727	-0.010368	-0.015247
45	661.14	0.000086	0.44	0.000041	0.000879	-0.002932	0.005591
46	686.50	0.001210	6.12	0.000550	0.023305	-0.000562	0.002597
47	699.49	0.003663	18.51	0.001634	-0.015772	0.014064	-0.034461
48	734.27	0.004754	24.03	0.002020	0.005651	0.044332	-0.004820
49	757.28	0.002268	11.46	0.000935	0.008003	-0.008042	0.028390
50	770.06	0.003410	17.23	0.001382	-0.010320	0.033637	-0.012001
51	794.16	0.001241	6.27	0.000488	-0.010158	-0.014468	-0.013237
52	797.77	0.002612	13.20	0.001022	-0.004123	-0.009396	0.030274
53	803.64	0.000553	2.80	0.000215	-0.001088	-0.002671	-0.014374
54	812.77	0.001739	8.79	0.000668	-0.014518	0.016318	0.013811
55	843.43	0.003933	19.87	0.001455	0.015811	-0.026196	-0.022779
56	856.04	0.001046	5.28	0.000381	-0.013404	0.010458	-0.009597
57	888.11	0.003877	19.59	0.001362	-0.024356	-0.025062	-0.011878
58	908.00	0.000452	2.29	0.000155	-0.000937	0.000437	0.012425
59	968.82	0.000121	0.61	0.000039	-0.003677	0.000112	-0.005045
60	981.55	0.000639	3.23	0.000203	-0.001212	0.006620	-0.012569
61	987.37	0.005710	28.86	0.001805	-0.042117	-0.002832	0.004785
62	1002.73	0.002719	13.74	0.000846	-0.028377	-0.006385	0.000542
63	1013.56	0.000351	1.77	0.000108	-0.000261	0.003326	-0.009849
64	1035.62	0.012340	62.36	0.003718	0.020397	-0.020783	0.053576
65	1050.94	0.001219	6.16	0.000362	-0.003918	-0.017608	-0.006048
66	1057.60	0.000338	1.71	0.000100	0.005365	-0.005869	0.006034
67	1071.59	0.001358	6.86	0.000395	0.015268	0.001739	-0.012618
68	1081.87	0.010390	52.51	0.002997	0.020528	-0.021360	0.046036
69	1105.36	0.000116	0.59	0.000033	0.005101	-0.002574	0.000413
70	1123.06	0.041652	210.49	0.011574	0.101646	0.032689	-0.013171
71	1138.01	0.034775	175.74	0.009536	-0.023355	0.044579	-0.083685
72	1155.60	0.013957	70.53	0.003769	0.056824	0.015346	-0.017454
73	1168.43	0.005264	26.60	0.001406	0.034155	0.010264	-0.011569
74	1173.99	0.000379	1.92	0.000101	0.000654	0.009089	0.004208
75	1175.18	0.000440	2.22	0.000117	0.001045	-0.004903	-0.009580
76	1189.12	0.000270	1.36	0.000071	0.004726	0.003426	-0.006061
77	1202.39	0.019773	99.93	0.005132	-0.058548	0.000377	-0.041277
78	1204.26	0.022587	114.15	0.005853	0.004657	-0.033725	0.068513
79	1210.38	0.010456	52.84	0.002696	0.049480	0.013969	-0.007246
80	1231.11	0.041326	208.84	0.010475	0.025574	-0.037284	0.091821
81	1273.84	0.015491	78.29	0.003795	-0.060950	-0.001556	0.008814
82	1300.84	0.038961	196.89	0.009347	-0.088980	-0.033622	0.017279
83	1323.52	0.002344	11.85	0.000553	-0.019897	-0.006876	0.010464
84	1331.51	0.001310	6.62	0.000307	-0.002063	0.006369	0.016192
85	1335.74	0.016691	84.35	0.003899	-0.056944	-0.018825	0.017392
86	1353.51	0.001182	5.97	0.000272	0.005894	0.010449	0.011340
87	1380.14	0.001329	6.72	0.000301	0.006963	0.013539	-0.008290
88	1405.99	0.024351	123.06	0.005405	0.071408	0.017485	-0.000184
89	1419.70	0.014289	72.21	0.003141	0.022737	-0.025042	0.044685
90	1423.43	0.000999	5.05	0.000219	0.007782	0.008217	-0.009530
91	1461.21	0.000891	4.50	0.000190	0.003452	-0.013338	0.000624
92	1462.84	0.002916	14.73	0.000622	-0.000520	-0.016103	-0.019038
93	1469.73	0.009454	47.77	0.002007	-0.009494	0.021587	-0.038093
94	1471.22	0.002802	14.16	0.000594	-0.023955	-0.001393	-0.004314
95	1474.84	0.003449	17.43	0.000730	-0.018747	-0.015342	0.011958
96	1480.36	0.000992	5.02	0.000209	0.001459	0.013730	0.004310
97	1481.31	0.002214	11.19	0.000467	-0.000044	0.015079	0.015464
98	1486.11	0.001752	8.85	0.000368	-0.017909	-0.003128	0.006116
99	1488.59	0.003191	16.12	0.000669	0.021806	0.009299	-0.010338
100	1497.29	0.003073	15.53	0.000641	-0.003761	0.011717	-0.022115
101	1498.40	0.003129	15.81	0.000652	-0.024076	-0.007094	-0.004665
102	1509.09	0.076192	385.04	0.015756	0.047891	-0.056982	0.101070
103	1520.14	0.004169	21.07	0.000856	0.027096	-0.010750	0.002449
104	1579.11	0.063078	318.77	0.012465	-0.026264	0.017259	-0.107134
105	1616.55	0.000126	0.63	0.000024	0.000839	0.001120	-0.004719
106	1643.87	0.001224	6.19	0.000232	0.010050	-0.007398	0.008755
107	1645.87	0.039878	201.53	0.007561	-0.039599	0.035918	-0.068577
108	1677.73	0.022724	114.84	0.004227	0.053404	0.020184	-0.031102
109	1740.35	0.076973	388.99	0.013802	0.019445	-0.053103	0.102976
