Mode	freq(cm-1)	Activity	Depolarization
7	22.67	1.590132	0.747148
8	41.32	1.129312	0.695040
9	52.05	2.297075	0.732314
10	56.29	1.643966	0.641317
11	62.75	3.963540	0.598525
12	78.80	0.169995	0.619839
13	99.02	1.411338	0.621459
14	112.76	1.627740	0.627879
15	123.37	0.337635	0.681135
16	130.02	1.169980	0.720390
17	133.33	1.552342	0.710746
18	147.56	0.609069	0.723662
19	154.33	0.942990	0.739657
20	156.19	0.200098	0.727276
21	170.80	0.623870	0.745435
22	176.48	0.988491	0.741076
23	189.32	0.735864	0.707466
24	225.63	1.377968	0.735017
25	232.39	0.788853	0.695867
26	268.72	0.794098	0.749816
27	293.42	5.659413	0.062164
28	301.65	1.969434	0.587841
29	330.73	0.346220	0.681184
30	339.55	1.395537	0.256837
31	344.27	0.141821	0.417234
32	351.17	0.855737	0.695692
33	363.58	0.474334	0.423756
34	398.94	0.718990	0.749565
35	406.27	1.227401	0.622696
36	411.80	3.834479	0.037786
37	450.55	14.670056	0.166168
38	511.80	0.576737	0.549702
39	517.99	1.485877	0.249703
40	582.41	0.169359	0.327547
41	590.18	0.505573	0.719460
42	601.82	0.838819	0.435857
43	606.42	5.593971	0.244445
44	610.87	2.964100	0.364553
45	661.14	7.684161	0.342673
46	686.50	1.566636	0.738525
47	699.49	1.683073	0.564864
48	734.27	5.428558	0.648070
49	757.28	6.600573	0.305304
50	770.06	1.339716	0.502769
51	794.16	4.817949	0.066735
52	797.77	4.060688	0.193333
53	803.64	0.649579	0.729133
54	812.77	10.727728	0.107741
55	843.43	18.180390	0.129009
56	856.04	0.990910	0.545024
57	888.11	2.118694	0.098719
58	908.00	0.265076	0.684973
59	968.82	8.910210	0.745155
60	981.55	0.958501	0.586786
61	987.37	26.681744	0.372423
62	1002.73	1.008466	0.749602
63	1013.56	0.103724	0.601689
64	1035.62	2.274536	0.628981
65	1050.94	1.395177	0.719002
66	1057.60	0.601683	0.629969
67	1071.59	38.494412	0.055078
68	1081.87	0.473211	0.718726
69	1105.36	3.169305	0.364546
70	1123.06	0.969274	0.742132
71	1138.01	6.040303	0.744267
72	1155.60	2.948249	0.728591
73	1168.43	11.015132	0.433393
74	1173.99	1.074399	0.701933
75	1175.18	1.065351	0.738820
76	1189.12	4.416004	0.534852
77	1202.39	19.724067	0.118088
78	1204.26	8.182709	0.288510
79	1210.38	5.035424	0.676667
80	1231.11	13.593461	0.661575
81	1273.84	3.380825	0.166039
82	1300.84	9.473406	0.341677
83	1323.52	1.967625	0.693201
84	1331.51	2.717288	0.297152
85	1335.74	6.451360	0.647153
86	1353.51	4.980120	0.699035
87	1380.14	18.780645	0.087329
88	1405.99	33.457803	0.053531
89	1419.70	11.852749	0.747129
90	1423.43	11.382946	0.099120
91	1461.21	3.014988	0.746948
92	1462.84	7.631077	0.749184
93	1469.73	2.125363	0.737718
94	1471.22	2.858406	0.660326
95	1474.84	0.420975	0.737669
96	1480.36	6.240720	0.705894
97	1481.31	6.822614	0.681777
98	1486.11	3.184809	0.696171
99	1488.59	4.401439	0.594429
100	1497.29	6.476326	0.665475
101	1498.40	17.064013	0.520305
102	1509.09	51.494170	0.749259
103	1520.14	0.414510	0.737374
104	1579.11	10.414293	0.281566
105	1616.55	16.121711	0.503778
106	1643.87	28.912420	0.707579
107	1645.87	40.668635	0.703827
108	1677.73	393.463501	0.138821
109	1740.35	8.736796	0.507031
110	1746.41	24.618488	0.435272
111	3042.23	41.310571	0.273961
112	3046.30	406.162014	0.020495
113	3047.28	147.605728	0.137293
114	3050.41	230.004520	0.024801
115	3065.85	24.234286	0.268838
116	3113.95	52.216458	0.545864
117	3116.94	58.311985	0.744568
118	3118.25	52.700892	0.732663
119	3118.73	57.279306	0.492208
120	3126.10	51.960033	0.696278
121	3128.10	62.977482	0.618309
122	3145.15	47.636207	0.724818
123	3147.76	47.957724	0.719918
124	3174.78	65.494351	0.704645
125	3188.56	158.567983	0.346637
126	3203.32	134.530125	0.166739
127	3213.17	109.286736	0.117188
128	3632.53	130.383793	0.086191
