Mode	freq(cm-1)	eps	Int	T**2	TX	TY	TZ
93	1464.95	0.010508	53.10	0.002238	-0.004838	-0.032564	0.033980
94	1474.77	0.008805	44.50	0.001863	0.023782	-0.022074	0.028465
95	1475.75	0.002405	12.15	0.000508	0.020888	0.008322	0.001713
96	1480.80	0.000048	0.24	0.000010	-0.002524	-0.001935	0.000139
97	1480.84	0.001652	8.35	0.000348	0.000173	0.014028	0.012300
98	1482.00	0.005261	26.59	0.001108	-0.030630	-0.012918	-0.001690
99	1486.64	0.003792	19.16	0.000796	0.018534	0.019143	-0.009277
100	1495.14	0.001440	7.28	0.000300	-0.002948	-0.009418	0.014252
101	1495.54	0.002383	12.04	0.000497	0.021392	-0.000851	0.006232
102	1504.62	0.066998	338.58	0.013896	-0.045866	0.054130	-0.094137
103	1512.97	0.005523	27.91	0.001139	-0.012380	0.000062	-0.031399
104	1584.03	0.059069	298.51	0.011637	0.067036	-0.081544	0.022220
105	1617.53	0.002765	13.97	0.000533	0.018723	-0.009279	0.009835
106	1646.63	0.044973	227.28	0.008523	-0.045130	0.047423	-0.065096
107	1647.04	0.002501	12.64	0.000474	0.001569	0.009381	0.019580
108	1673.94	0.020905	105.65	0.003897	-0.051541	-0.028835	0.020232
109	1736.24	0.072907	368.44	0.013104	-0.066984	0.051469	-0.077253
110	1741.29	0.043227	218.45	0.007747	-0.055891	-0.004840	0.067821
111	3041.57	0.004592	23.21	0.000471	0.020059	0.005017	-0.006603
112	3043.52	0.007165	36.21	0.000735	-0.023696	-0.007252	0.010978
113	3049.01	0.008370	42.30	0.000857	-0.001352	-0.017883	0.023130
114	3055.67	0.007588	38.34	0.000775	-0.022295	-0.003503	-0.016296
115	3105.53	0.002288	11.56	0.000230	0.010523	0.009899	-0.004603
116	3108.51	0.001678	8.48	0.000168	0.011835	0.005233	0.001014
117	3113.98	0.003751	18.96	0.000376	0.002655	0.015673	0.011101
118	3120.48	0.003949	19.96	0.000395	-0.001381	0.018783	0.006346
119	3131.01	0.000664	3.36	0.000066	0.007602	-0.002760	-0.000891
120	3133.63	0.000593	2.99	0.000059	0.005044	-0.000959	-0.005714
121	3151.52	0.003776	19.08	0.000374	-0.006835	-0.002201	-0.017955
122	3153.85	0.002627	13.28	0.000260	0.015999	-0.001463	0.001353
123	3165.42	0.001118	5.65	0.000110	0.007678	0.004277	-0.005743
124	3173.30	0.000689	3.48	0.000068	-0.004773	-0.006151	-0.002669
125	3190.74	0.001907	9.64	0.000187	-0.005585	0.009585	0.007968
126	3198.01	0.000850	4.30	0.000083	0.005564	0.006976	0.001822
127	3217.19	0.000331	1.67	0.000032	-0.001495	-0.004419	-0.003220
128	3625.92	0.011515	58.19	0.000991	-0.029003	-0.006188	0.010563
