Mode	freq(cm-1)	Activity	Depolarization
8	18.32	1.058299	0.719456
9	50.00	6.157430	0.749876
10	57.91	1.140478	0.740343
11	76.79	2.945224	0.744600
12	81.06	2.363851	0.727369
13	90.57	0.659174	0.747173
14	94.34	1.923594	0.583586
15	101.98	1.076763	0.650364
16	111.15	0.450015	0.407932
17	120.81	0.669266	0.730252
18	133.43	1.191025	0.677050
19	150.55	0.389678	0.632150
20	157.69	0.323808	0.419316
21	161.35	0.824276	0.731024
22	181.03	0.961248	0.720531
23	194.94	0.672179	0.554894
24	208.90	1.664145	0.203517
25	237.64	1.765697	0.660499
26	287.00	3.691821	0.137607
27	301.44	2.150070	0.104692
28	307.93	1.960056	0.655602
29	334.02	4.344216	0.082729
30	342.11	0.409345	0.225257
31	347.11	0.939183	0.120355
32	358.76	1.173713	0.169506
33	366.58	0.286892	0.296125
34	400.29	3.076373	0.363479
35	408.73	1.526572	0.732531
36	417.25	0.683129	0.618651
37	450.09	8.785040	0.247582
38	488.21	8.385716	0.328126
39	523.08	0.798587	0.504728
40	575.65	1.010784	0.508405
41	579.59	1.644513	0.418452
42	600.49	1.366247	0.418447
43	608.63	0.503593	0.683499
44	614.35	4.344353	0.388533
45	657.33	6.013759	0.239909
46	697.05	3.175473	0.430795
47	699.95	3.978641	0.592952
48	732.46	0.207502	0.520276
49	760.88	6.074351	0.220145
50	774.60	1.425803	0.668160
51	792.85	5.056652	0.060992
52	805.60	0.514293	0.346166
53	807.28	1.368388	0.385952
54	817.26	10.649401	0.111794
55	855.12	20.842776	0.181003
56	855.33	1.432410	0.623377
57	878.81	6.425515	0.031957
58	903.20	0.515920	0.461608
59	967.86	7.368316	0.749491
60	980.24	0.156004	0.345417
61	984.67	23.760194	0.369298
62	996.04	0.774652	0.635838
63	1013.01	0.103608	0.587376
64	1032.40	1.795558	0.694941
65	1047.40	1.685649	0.730924
66	1055.87	0.510125	0.630817
67	1074.46	33.819699	0.072838
68	1080.95	1.212254	0.729869
69	1097.56	0.718395	0.750000
70	1125.88	0.590436	0.573046
71	1138.18	6.254388	0.471708
72	1154.65	17.677944	0.268223
73	1165.61	9.261528	0.109790
74	1175.82	0.950748	0.742405
75	1176.12	0.691588	0.720151
76	1184.32	10.770754	0.342175
77	1199.39	17.907318	0.107285
78	1209.58	6.428289	0.481829
79	1216.17	9.297774	0.516440
80	1235.89	20.731066	0.749839
81	1276.47	3.594835	0.135151
82	1298.21	9.262324	0.306281
83	1318.92	0.922181	0.701348
84	1327.95	7.709980	0.544987
85	1338.45	4.568377	0.745196
86	1349.09	12.284464	0.265129
87	1372.27	21.453889	0.209003
88	1390.99	55.459769	0.150436
89	1420.11	14.013257	0.720736
90	1424.77	9.852155	0.218484
91	1455.79	5.777433	0.721292
92	1463.99	7.995103	0.659398
93	1464.95	4.190178	0.611101
94	1474.77	4.376905	0.739892
95	1475.75	1.332165	0.476660
96	1480.80	4.539901	0.730056
97	1480.84	8.669763	0.740648
98	1482.00	2.207444	0.717331
99	1486.64	3.196279	0.601936
100	1495.14	8.920736	0.614391
101	1495.54	12.544385	0.469920
102	1504.62	44.976100	0.746067
103	1512.97	2.369120	0.669454
104	1584.03	12.743509	0.646235
105	1617.53	19.260636	0.641904
106	1646.63	35.124257	0.695494
107	1647.04	38.764155	0.749951
108	1673.94	396.367854	0.117366
109	1736.24	6.594805	0.582892
110	1741.29	21.991523	0.422648
111	3041.57	169.156090	0.088487
112	3043.52	254.918077	0.074447
113	3049.01	223.990914	0.025296
114	3055.67	184.081293	0.041051
115	3105.53	73.967218	0.560832
116	3108.51	78.034801	0.509819
117	3113.98	62.931833	0.729818
118	3120.48	59.473263	0.742253
119	3131.01	47.865000	0.558546
120	3133.63	48.596694	0.559517
121	3151.52	22.087640	0.099224
122	3153.85	48.027334	0.662798
123	3165.42	33.268291	0.672430
124	3173.30	65.253456	0.642129
125	3190.74	109.230790	0.415443
126	3198.01	97.723222	0.109966
127	3217.19	141.943067	0.166507
128	3625.92	137.298970	0.110604
