Mode	freq(cm-1)	eps	Int	T**2	TX	TY	TZ
6	25.38	0.000013	0.06	0.000155	0.004066	-0.000232	-0.011757
7	44.23	0.000119	0.60	0.000840	-0.004057	-0.006019	0.028060
8	52.74	0.001349	6.82	0.007983	0.005316	0.078153	0.042971
9	56.45	0.000091	0.46	0.000503	0.010858	0.010666	-0.016483
10	77.36	0.000476	2.41	0.001921	-0.017630	-0.037694	-0.013772
11	80.78	0.000058	0.29	0.000223	0.001859	-0.003357	0.014418
12	85.93	0.000138	0.70	0.000502	-0.004299	-0.020431	-0.008103
13	97.18	0.000301	1.52	0.000967	0.023930	-0.019784	-0.001719
14	118.65	0.000199	1.01	0.000524	-0.007299	0.017684	-0.012582
15	134.26	0.000131	0.66	0.000305	-0.005756	0.000328	-0.016475
16	147.79	0.000198	1.00	0.000418	0.009954	-0.010413	0.014523
17	150.90	0.000524	2.65	0.001084	-0.008836	0.020322	0.024359
18	159.76	0.000433	2.19	0.000847	0.022373	0.004303	-0.018099
19	171.46	0.000199	1.00	0.000361	0.018350	0.000314	-0.004945
20	178.09	0.000242	1.22	0.000423	-0.014471	-0.007682	-0.012445
21	182.88	0.000098	0.50	0.000168	0.000146	0.007762	-0.010360
22	192.43	0.000041	0.21	0.000066	-0.005018	0.003375	0.005467
23	194.50	0.000509	2.57	0.000816	-0.009453	0.017994	-0.020071
24	212.87	0.001287	6.50	0.001887	-0.009858	0.041203	0.009590
25	236.59	0.000157	0.79	0.000207	0.001795	-0.001070	0.014247
26	287.10	0.000458	2.31	0.000498	-0.018177	-0.012463	0.003443
27	301.79	0.001648	8.33	0.001704	0.029824	-0.006287	-0.027835
28	308.69	0.000282	1.43	0.000285	-0.014506	0.008599	0.000873
29	333.30	0.000840	4.25	0.000787	-0.024057	-0.014338	0.001487
30	340.68	0.000879	4.44	0.000805	0.024845	0.005683	-0.012464
31	347.58	0.001520	7.68	0.001365	0.034386	0.010207	-0.008852
32	358.11	0.001668	8.43	0.001454	0.025073	0.011125	-0.026484
33	366.32	0.000927	4.69	0.000790	0.024809	0.003228	0.012811
34	396.44	0.000168	0.85	0.000132	0.003627	0.008949	0.006221
35	407.97	0.001419	7.17	0.001085	0.011969	-0.016143	0.026103
36	414.29	0.000422	2.13	0.000318	0.000369	-0.017612	-0.002686
37	448.49	0.001099	5.55	0.000764	-0.023381	-0.013549	-0.005842
38	473.14	0.009704	49.04	0.006400	-0.019541	-0.071691	-0.029646
39	523.89	0.000509	2.57	0.000303	0.011627	0.012723	-0.002476
