Mode	freq(cm-1)	Activity	Depolarization
6	25.38	2.679398	0.738682
7	44.23	0.168925	0.586605
8	52.74	0.345424	0.749110
9	56.45	6.177314	0.749743
10	77.36	1.408698	0.684227
11	80.78	2.663376	0.746767
12	85.93	1.124370	0.732526
13	97.18	2.541645	0.574872
14	118.65	0.665410	0.665986
15	134.26	1.170660	0.641804
16	147.79	0.660623	0.724306
17	150.90	0.317056	0.455372
18	159.76	0.949786	0.676676
19	171.46	0.205443	0.726498
20	178.09	0.567842	0.551071
21	182.88	0.666613	0.748135
22	192.43	0.263478	0.677104
23	194.50	0.982553	0.614145
24	212.87	1.651873	0.199031
25	236.59	1.695702	0.719958
26	287.10	3.584692	0.159190
27	301.79	2.820314	0.076114
28	308.69	1.830269	0.746677
29	333.30	3.575999	0.074884
30	340.68	1.243495	0.137737
31	347.58	0.577270	0.182003
32	358.11	1.284156	0.144860
33	366.32	0.306283	0.375823
34	396.44	2.879895	0.340705
35	407.97	1.437280	0.747438
36	414.29	0.851469	0.531419
37	448.49	8.393900	0.266921
38	473.14	7.770413	0.329073
39	523.89	0.734893	0.483788
40	568.28	1.048784	0.447302
41	581.61	1.795441	0.440041
42	600.24	1.216014	0.460933
43	609.36	0.821325	0.492060
44	612.57	4.036603	0.384982
45	654.75	6.541810	0.254983
46	692.91	2.534347	0.274712
47	697.98	4.617630	0.748798
48	726.32	0.191190	0.730798
49	761.33	6.701602	0.203493
50	777.32	1.280460	0.746608
51	793.13	3.965744	0.078349
52	802.68	0.417432	0.433546
53	806.79	0.657182	0.725988
54	816.68	12.776413	0.102983
55	848.56	17.244562	0.203074
56	857.59	2.382299	0.468606
57	877.46	8.461963	0.035698
58	904.06	0.554566	0.502842
59	967.44	7.411532	0.731643
60	983.25	0.020068	0.570745
61	985.75	23.289935	0.368904
62	1000.61	0.728449	0.746395
63	1018.76	0.116535	0.571921
64	1036.91	1.700862	0.655082
65	1049.64	1.483992	0.728198
66	1055.63	0.413240	0.717917
67	1075.35	34.412101	0.070711
68	1080.52	1.300036	0.731109
69	1097.74	0.753478	0.749778
70	1125.20	1.011509	0.660365
71	1139.65	5.949199	0.498025
72	1155.99	17.564960	0.285926
73	1168.79	10.053691	0.088476
74	1176.14	0.889723	0.735158
75	1177.36	0.762498	0.747147
76	1187.20	10.591752	0.289891
77	1199.61	16.611303	0.139068
78	1213.45	6.927887	0.749507
79	1216.54	9.985309	0.427626
80	1237.61	17.758488	0.746312
81	1276.19	3.062098	0.230724
82	1297.93	9.192326	0.259580
83	1316.72	0.718232	0.687274
84	1326.00	8.001413	0.460497
85	1339.94	5.758798	0.722278
86	1346.67	9.010803	0.453575
87	1377.96	25.160284	0.173555
88	1388.89	56.940622	0.158927
89	1421.47	13.694952	0.744444
90	1425.28	9.960731	0.183117
91	1462.15	4.859078	0.709452
92	1464.49	10.095064	0.631690
93	1469.87	4.320209	0.608165
94	1475.18	3.549272	0.687784
95	1478.76	1.412917	0.439607
96	1484.77	7.055868	0.714527
97	1484.85	5.841212	0.749950
98	1486.71	2.642994	0.684584
99	1487.72	3.592334	0.641138
100	1495.25	10.860772	0.559176
101	1496.65	15.373942	0.525296
102	1501.83	39.659599	0.740469
103	1514.41	2.655072	0.650971
104	1584.33	12.166784	0.687436
105	1618.20	19.520642	0.653566
106	1645.29	37.718825	0.640867
107	1647.60	38.652965	0.748290
108	1673.78	396.175712	0.118310
109	1735.35	5.714610	0.720126
110	1740.07	20.345413	0.420078
111	3040.54	145.956417	0.096041
112	3043.17	290.978093	0.065537
113	3047.25	194.600557	0.032042
114	3052.45	191.083176	0.038335
115	3105.40	78.652445	0.531625
116	3109.33	75.283544	0.491560
117	3114.53	62.053470	0.735655
118	3121.08	61.314482	0.725848
119	3131.50	48.096543	0.578651
120	3134.88	46.550368	0.570696
121	3150.66	61.577558	0.270655
122	3154.62	26.152996	0.707944
123	3166.56	30.100332	0.709710
124	3175.52	60.702331	0.670296
125	3192.77	95.142513	0.462586
126	3198.56	103.303055	0.121308
127	3216.79	146.421430	0.163224
128	3625.24	136.585618	0.111720
