Mode	freq(cm-1)	eps	Int	T**2	TX	TY	TZ
8	26.13	0.000336	1.70	0.004011	-0.000527	-0.062284	-0.011454
9	48.90	0.000191	0.97	0.001220	0.011760	0.017104	-0.028094
10	69.24	0.000112	0.57	0.000505	0.004343	-0.021575	0.004575
11	80.82	0.000151	0.76	0.000584	-0.006992	-0.001793	-0.023064
12	85.52	0.000235	1.19	0.000858	0.003852	0.023167	0.017512
13	91.22	0.000027	0.14	0.000092	0.001573	0.000380	0.009468
14	98.48	0.000277	1.40	0.000879	-0.027223	0.011730	-0.000376
15	103.27	0.000016	0.08	0.000048	0.005902	0.003182	0.001816
16	114.81	0.000071	0.36	0.000192	0.000575	0.008955	0.010582
17	121.08	0.000023	0.11	0.000058	-0.002261	0.006566	-0.003178
18	130.60	0.000360	1.82	0.000860	-0.000970	0.019214	0.022131
19	136.29	0.000101	0.51	0.000230	-0.005441	-0.014156	-0.000374
20	148.44	0.000343	1.73	0.000721	0.001869	-0.006727	-0.025937
21	160.26	0.000663	3.35	0.001290	-0.022250	0.023810	0.015109
22	161.06	0.000515	2.60	0.000998	0.016052	0.027203	-0.000794
23	187.52	0.000734	3.71	0.001222	0.012139	-0.013085	0.030052
24	211.11	0.001052	5.31	0.001555	0.005008	-0.038131	-0.008687
25	237.55	0.000140	0.71	0.000184	-0.004670	0.000012	-0.012720
26	285.04	0.000712	3.60	0.000780	-0.022005	-0.016779	0.003740
27	302.66	0.001840	9.30	0.001897	-0.033306	0.000000	0.028075
28	307.21	0.000375	1.89	0.000381	0.013523	-0.013746	-0.002998
29	328.50	0.000576	2.91	0.000548	-0.017525	-0.014841	-0.004489
30	338.94	0.001522	7.69	0.001402	-0.036308	-0.004785	0.007768
31	348.13	0.000872	4.41	0.000782	0.025571	0.005856	-0.009661
32	357.27	0.000833	4.21	0.000727	-0.013768	0.000513	0.023187
33	365.05	0.000674	3.41	0.000576	-0.019799	0.004545	-0.012791
34	394.96	0.000432	2.19	0.000342	-0.006149	-0.017061	-0.003572
35	408.58	0.001270	6.42	0.000970	0.014366	-0.014740	0.023368
36	417.55	0.000125	0.63	0.000094	-0.006721	-0.006696	-0.001899
37	448.23	0.001196	6.04	0.000833	0.020806	0.019995	-0.000115
38	522.03	0.001853	9.37	0.001108	-0.006157	0.024569	0.021594
39	525.10	0.004047	20.45	0.002405	0.004092	0.045596	0.017587
40	567.81	0.000866	4.38	0.000476	0.012573	0.012726	0.012486
41	580.68	0.000041	0.21	0.000022	-0.004591	0.000631	-0.000884
42	600.58	0.000589	2.98	0.000306	-0.016153	0.001879	0.006438
43	608.20	0.000030	0.15	0.000015	-0.002430	0.000658	-0.003020
44	616.57	0.001578	7.97	0.000799	0.001253	-0.026209	-0.010490
45	656.75	0.000057	0.29	0.000027	0.005141	-0.000553	-0.000724
46	695.43	0.001221	6.17	0.000548	-0.010372	0.000943	-0.020964
47	699.78	0.001167	5.90	0.000520	0.015226	0.007091	0.015437
48	734.27	0.006575	33.23	0.002794	0.000596	0.031199	-0.042667
49	760.66	0.003773	19.07	0.001548	-0.002003	-0.023506	-0.031489
50	776.08	0.003338	16.87	0.001342	-0.002959	0.026132	-0.025504
51	783.24	0.000633	3.20	0.000252	0.013521	-0.008226	-0.001323
52	799.02	0.000117	0.59	0.000046	-0.000035	-0.001558	0.006585
53	808.92	0.002533	12.80	0.000977	0.017531	-0.020937	0.015213
54	817.38	0.001501	7.58	0.000573	-0.017064	0.010886	0.012780
55	845.82	0.006225	31.46	0.002297	-0.000990	-0.046753	-0.010482
56	857.62	0.002769	14.00	0.001008	-0.007620	0.004733	-0.030451
57	879.19	0.003037	15.35	0.001078	-0.028215	-0.016514	-0.003018
58	904.22	0.000914	4.62	0.000315	0.006626	-0.010460	0.012727
59	966.69	0.000118	0.59	0.000038	0.002926	0.003685	0.003975
60	981.95	0.000251	1.27	0.000080	0.001003	0.002714	0.008440
61	985.94	0.004360	22.04	0.001380	-0.032093	-0.005890	0.017762
62	999.50	0.003795	19.18	0.001185	-0.030322	-0.014526	0.007374
63	1015.71	0.000038	0.19	0.000012	0.000303	0.003225	-0.001136
64	1033.79	0.008418	42.54	0.002541	0.026511	-0.014740	0.040261
65	1046.11	0.000430	2.17	0.000128	0.009427	-0.004121	-0.004735
66	1052.99	0.000164	0.83	0.000049	0.004059	0.002593	0.005040
67	1075.08	0.000743	3.76	0.000216	-0.003567	0.014201	0.001154
68	1080.98	0.006103	30.84	0.001762	0.016980	-0.019990	0.032772
69	1098.48	0.000730	3.69	0.000207	-0.007521	0.001291	0.012209
70	1125.73	0.024372	123.17	0.006756	-0.081095	-0.009779	-0.009177
71	1138.78	0.031037	156.85	0.008505	0.001780	0.055801	-0.073405
72	1155.22	0.013655	69.01	0.003689	-0.054082	-0.013075	0.024347
73	1168.33	0.014168	71.60	0.003784	-0.056732	-0.022702	0.007097
74	1174.52	0.000317	1.60	0.000084	0.004712	-0.006949	-0.003723
75	1176.42	0.000443	2.24	0.000118	-0.003078	0.007184	0.007520
76	1187.46	0.003034	15.33	0.000797	-0.023039	-0.016257	0.001533
77	1199.67	0.001895	9.58	0.000493	-0.014518	-0.016041	-0.004994
78	1210.87	0.015672	79.20	0.004039	-0.012807	-0.030813	0.054088
79	1217.31	0.011498	58.11	0.002948	0.052564	0.004351	0.012870
80	1245.31	0.045841	231.66	0.011487	-0.058690	0.010480	-0.089068
81	1270.60	0.020701	104.61	0.005084	0.035763	0.045722	-0.041408
82	1298.84	0.032299	163.23	0.007760	0.077038	0.029224	-0.031168
83	1316.54	0.004231	21.38	0.001003	-0.019999	-0.022398	0.010067
84	1321.34	0.015247	77.05	0.003601	0.040547	0.032976	-0.029485
85	1340.74	0.024110	121.84	0.005612	0.070458	0.002009	-0.025364
86	1342.55	0.003119	15.76	0.000725	0.006135	-0.025416	-0.006435
87	1376.35	0.008509	43.00	0.001929	0.029284	0.029658	-0.013860
88	1392.22	0.038284	193.47	0.008581	0.079064	0.035155	0.033079
89	1419.26	0.009835	49.70	0.002163	-0.015441	0.026953	-0.034608
90	1423.44	0.001199	6.06	0.000263	0.010337	-0.000439	0.012486
91	1459.28	0.001927	9.74	0.000412	0.007328	-0.016683	0.008948
92	1462.16	0.003102	15.68	0.000662	-0.001984	0.008915	0.024054
93	1468.15	0.011747	59.37	0.002497	-0.003924	0.030685	-0.039243
94	1475.24	0.007630	38.56	0.001614	-0.027821	0.015759	-0.024322
95	1478.52	0.002195	11.09	0.000463	-0.000573	-0.019449	0.009208
96	1481.83	0.001557	7.87	0.000328	-0.005683	-0.017148	-0.001279
97	1482.94	0.001160	5.86	0.000244	0.006774	0.012703	0.006068
98	1483.38	0.001250	6.32	0.000263	0.013062	0.003155	-0.009078
99	1485.44	0.004519	22.84	0.000949	0.028508	0.010386	-0.005364
100	1494.80	0.001642	8.30	0.000343	-0.015916	-0.001383	-0.009359
101	1496.39	0.002892	14.62	0.000603	0.009277	0.014814	-0.017253
102	1504.91	0.060594	306.22	0.012565	0.046708	-0.049321	0.089167
103	1513.87	0.005311	26.84	0.001095	0.013532	-0.000438	0.030192
104	1582.49	0.054214	273.97	0.010691	-0.066213	0.076706	-0.020563
105	1618.82	0.003835	19.38	0.000739	-0.019207	0.015924	-0.010811
106	1646.19	0.035590	179.86	0.006747	0.040638	-0.032660	0.063470
107	1647.70	0.012255	61.93	0.002321	-0.026931	0.034927	-0.019387
108	1676.17	0.017514	88.51	0.003261	0.045655	0.028525	-0.019044
109	1735.05	0.067652	341.88	0.012168	0.071223	-0.049778	0.067950
110	1740.87	0.045636	230.63	0.008181	0.049925	0.011512	-0.074536
111	3035.16	0.004770	24.11	0.000490	0.018450	0.008436	-0.008881
112	3038.68	0.007096	35.86	0.000729	-0.026678	-0.003551	0.002106
113	3040.79	0.009593	48.48	0.000984	-0.008588	-0.019540	0.022998
114	3051.02	0.005712	28.87	0.000584	-0.016673	0.000374	-0.017496
115	3104.73	0.001669	8.44	0.000168	0.008661	0.008701	-0.004130
116	3107.99	0.002078	10.50	0.000209	-0.013072	-0.005523	-0.002692
117	3113.08	0.003350	16.93	0.000336	-0.000710	-0.015223	-0.010176
118	3120.57	0.003345	16.90	0.000335	-0.001862	0.016288	0.008109
119	3132.18	0.000574	2.90	0.000057	0.006927	-0.002595	-0.001582
120	3133.76	0.000541	2.73	0.000054	-0.003439	0.001016	0.006405
121	3149.33	0.000991	5.01	0.000098	-0.003677	-0.004973	-0.007745
122	3154.09	0.001897	9.59	0.000188	0.013449	-0.001352	-0.002242
123	3165.22	0.000713	3.60	0.000070	0.004255	0.004664	-0.005514
124	3174.42	0.000441	2.23	0.000043	-0.004973	-0.003596	-0.002394
125	3192.61	0.002699	13.64	0.000264	-0.007607	0.012299	0.007394
126	3200.48	0.001226	6.20	0.000120	0.008100	0.006882	0.002570
127	3217.42	0.000356	1.80	0.000035	0.001141	0.004180	0.003968
128	3625.73	0.011767	59.47	0.001013	-0.029216	-0.006466	0.010836
