r,O1-O1_75C,O1-O1_25C,r,O1-O1_MD
9.90001,2.16032,0.9323,,
9.93001,2.17938,0.93574,,
9.96001,2.18565,0.94242,,
9.99001,2.18738,0.94881,,
10.02001,2.18557,0.95259,,
10.05001,2.17408,0.95214,,
10.08001,2.16411,0.94915,,
10.11001,2.15023,0.94832,,
10.14001,2.14162,0.94802,,
10.17,2.13776,0.94372,,
10.2,2.13272,0.94322,,
10.23,2.12709,0.94781,,
10.26,2.12623,0.94882,,
10.29,2.12317,0.94986,,
10.32,2.12032,0.94834,,
10.35,2.1139,0.94837,,
10.38,2.10937,0.94836,,
10.41,2.10555,0.95168,,
10.44,2.10111,0.95319,,
10.47,2.09155,0.95466,,
10.5,2.0857,0.95571,,
10.53,2.08158,0.95007,,
10.56,2.07953,0.94524,,
10.59,2.07557,0.94538,,
10.62,2.06106,0.94657,,
10.65,2.04021,0.9466,,
10.68,2.01531,0.94985,,
10.71,1.99041,0.95943,,
10.74,1.97078,0.95803,,
10.77,1.95698,0.95861,,
10.8,1.94026,0.95898,,
10.83,1.92219,0.96362,,
10.86,1.90396,0.97007,,
10.89,1.89348,0.9811,,
10.92,1.89917,0.99984,,
10.95,1.9134,1.01574,,
10.98,1.93156,1.03271,,
11.01,1.95308,1.04416,,
11.04,1.97679,1.05138,,
11.07,1.99123,1.0525,,
11.1,1.98751,1.05567,,
11.13,1.97272,1.05941,,
11.16,1.95274,1.05857,,
11.19,1.94181,1.05982,,
11.22,1.9368,1.05841,,
11.25,1.94045,1.05587,,
11.27999,1.94382,1.04958,,
11.30999,1.94929,1.04332,,
11.33999,1.957,1.03599,,
11.36999,1.97066,1.02366,,
11.39999,1.98824,1.02159,,
11.42999,2.00742,1.01632,,
11.45999,2.02411,1.01267,,
11.48999,2.03617,1.00519,,
11.51999,2.04082,1.00197,,
11.54999,2.04601,0.99935,,
11.57999,2.05544,0.99637,,
11.60999,2.06896,1.0004,,
11.63999,2.08511,1.00491,,
11.66999,2.09776,1.00865,,
11.69999,2.10863,1.01259,,
11.72999,2.12711,1.01687,,
11.75999,2.14238,1.01986,,
11.78999,2.15692,1.02622,,
11.81999,2.15749,1.03257,,
11.84999,2.14105,1.03201,,
11.87999,2.12046,1.03194,,
11.90999,2.10996,1.03322,,
