r	D(r)_75C	D(r)_25C
2.12	-2.37611	-2.31017
2.13	-2.40878	-2.3571
2.14	-2.43629	-2.40447
2.15	-2.45722	-2.44931
2.16	-2.47008	-2.48832
2.17	-2.47335	-2.518
2.18	-2.46544	-2.53467
2.19	-2.44479	-2.53469
2.2	-2.40986	-2.51447
2.21	-2.35915	-2.47067
2.22	-2.29127	-2.40025
2.23	-2.20498	-2.30062
2.24	-2.09919	-2.16971
2.25	-1.97308	-2.00604
2.26	-1.82607	-1.80882
2.27	-1.6579	-1.57794
2.28	-1.46866	-1.31405
2.29	-1.2588	-1.01852
2.3	-1.02916	-0.69347
2.31	-0.78102	-0.3417
2.32	-0.51603	0.03334
2.33	-0.23626	0.42761
2.34	0.05585	0.83655
2.35	0.35749	1.25519
2.36	0.66556	1.67824
2.37	0.97668	2.10017
2.38	1.28728	2.51533
2.39	1.59363	2.91807
2.4	1.89196	3.3028
2.41	2.17848	3.66415
2.42	2.44949	3.99701
2.43	2.70144	4.29668
2.44	2.93101	4.55889
2.45	3.13517	4.77993
2.46	3.31124	4.95669
2.47	3.45696	5.0867
2.48	3.57053	5.16822
2.49	3.65061	5.20022
2.5	3.69639	5.18244
2.51	3.70759	5.11537
2.52	3.68444	5.00026
2.53	3.62768	4.8391
2.54	3.53856	4.63458
2.55	3.41877	4.39006
2.56	3.27042	4.10948
2.57	3.09602	3.79733
2.58	2.89837	3.45855
2.59	2.68054	3.09843
2.6	2.4458	2.72253
2.61	2.19757	2.33653
2.62	1.93931	1.94619
2.63	1.67453	1.55717
2.64	1.40669	1.17494
2.65	1.13912	0.8047
2.66	0.87503	0.45121
2.67	0.61743	0.11877
2.68	0.36908	-0.18894
2.69	0.13249	-0.46886
2.7	-0.09013	-0.71864
2.71	-0.29689	-0.93668
2.72	-0.48622	-1.12212
2.73	-0.65688	-1.27485
2.74	-0.80797	-1.39551
2.75	-0.93891	-1.48539
2.76	-1.04948	-1.54644
2.77	-1.13971	-1.58112
2.78	-1.20999	-1.59238
2.79	-1.26093	-1.5835
2.8	-1.29342	-1.55803
2.81	-1.30856	-1.51965
2.82	-1.30766	-1.47207
2.83	-1.29218	-1.4189
2.84	-1.26374	-1.36361
2.85	-1.22406	-1.30934
2.86	-1.17492	-1.25894
2.87	-1.11816	-1.21481
2.88	-1.05564	-1.17891
2.89	-0.98919	-1.1527
2.9	-0.92059	-1.13716
2.91	-0.85156	-1.13279
2.92	-0.78372	-1.1396
2.93	-0.71855	-1.15721
2.94	-0.65739	-1.18483
2.95	-0.60145	-1.22138
2.96	-0.55173	-1.26553
2.97	-0.50905	-1.31577
2.98	-0.47405	-1.37051
2.99	-0.44718	-1.42809
3	-0.42869	-1.48693
3.01	-0.41865	-1.54552
3.02	-0.41696	-1.60248
3.03	-0.42336	-1.65664
3.04	-0.43746	-1.70704
3.05	-0.45872	-1.75293
3.06	-0.48655	-1.79382
3.07	-0.52025	-1.82944
3.08	-0.5591	-1.85974
3.09	-0.60234	-1.88487
3.1	-0.64921	-1.90514
3.11	-0.69901	-1.92099
3.12	-0.75104	-1.93299
3.13	-0.8047	-1.94175
3.14	-0.85944	-1.94791
3.15	-0.9148	-1.95213
3.16	-0.97044	-1.95501
3.17	-1.02607	-1.95713
3.18	-1.08151	-1.95898
3.19	-1.13666	-1.96096
3.2	-1.19148	-1.96341
3.21	-1.24598	-1.96654
3.22	-1.30023	-1.97049
3.23	-1.3543	-1.97531
3.24	-1.40825	-1.98098
3.25	-1.46213	-1.98741
3.26	-1.51596	-1.99445
3.27	-1.56968	-2.0019
3.28	-1.62318	-2.00954
3.29	-1.67626	-2.01711
3.3	-1.72864	-2.02433
3.31	-1.77993	-2.0309
3.32	-1.82968	-2.03652
3.33	-1.87733	-2.04085
3.34	-1.92227	-2.04355
3.35	-1.96381	-2.04427
3.36	-2.00125	-2.04263
3.37	-2.03386	-2.03825
3.38	-2.06089	-2.03071
3.39	-2.08165	-2.01959
3.4	-2.09548	-2.00448
3.41	-2.10181	-1.98494
3.42	-2.10014	-1.96057
3.43	-2.09011	-1.93096
3.44	-2.07148	-1.89576
3.45	-2.04412	-1.85468
3.46	-2.00808	-1.80748
3.47	-1.96354	-1.754
3.48	-1.91082	-1.69419
3.49	-1.85037	-1.62811
3.5	-1.78279	-1.55593
3.51	-1.70875	-1.47794
3.52	-1.62903	-1.39457
3.53	-1.54446	-1.30634
3.54	-1.45594	-1.21391
3.55	-1.36435	-1.11802
3.56	-1.2706	-1.01948
3.57	-1.17555	-0.91917
3.58	-1.08002	-0.81799
3.59	-0.98476	-0.71686
3.6	-0.89045	-0.61666
3.61	-0.79766	-0.51824
3.62	-0.70689	-0.42236
3.63	-0.61852	-0.3297
3.64	-0.53284	-0.24083
3.65	-0.45004	-0.15621
3.66	-0.37024	-0.07615
3.67	-0.29349	-8.69994E-4
3.68	-0.21976	0.06956
3.69	-0.14903	0.13516
3.7	-0.0812	0.19605
3.71	-0.01619	0.25239
3.72	0.04607	0.30443
3.73	0.10563	0.3524
3.74	0.16252	0.39654
3.75	0.21671	0.43706
3.76	0.26815	0.47411
3.77	0.31673	0.50777
3.78	0.36228	0.53803
3.79	0.40461	0.5648
3.8	0.44349	0.58789
3.81	0.47869	0.60702
3.82	0.50994	0.62184
3.83	0.537	0.63193
3.84	0.55964	0.63684
3.85	0.57768	0.63611
3.86	0.59099	0.62931
3.87	0.59948	0.61606
3.88	0.60317	0.59604
3.89	0.60213	0.56905
3.9	0.59655	0.53504
3.91	0.58666	0.4941
3.92	0.57282	0.44647
3.93	0.55544	0.3926
3.94	0.53501	0.33307
3.95	0.51206	0.26867
3.96	0.48717	0.2003
3.97	0.46095	0.12902
3.98	0.434	0.05595
3.99	0.4069	-0.01768
4	0.38022	-0.09064
4.01	0.35446	-0.16171
4.02	0.33007	-0.22968
4.03	0.3074	-0.29347
4.04	0.28673	-0.35209
4.05	0.26823	-0.40468
4.06	0.252	-0.45057
4.07	0.23801	-0.48926
4.08	0.22615	-0.52046
4.09	0.21623	-0.54404
4.1	0.20799	-0.56007
4.11	0.2011	-0.56881
4.12	0.1952	-0.57064
4.13	0.18988	-0.5661
4.14	0.18475	-0.5558
4.15	0.17941	-0.54046
4.16	0.1735	-0.5208
4.17	0.16669	-0.49757
4.18	0.15871	-0.4715
4.19	0.14935	-0.44326
4.2	0.13848	-0.41347
4.21	0.12603	-0.38267
4.22	0.11203	-0.35129
4.23	0.09657	-0.31968
4.24	0.07979	-0.28811
4.25	0.06192	-0.25673
4.26	0.04321	-0.22566
4.27	0.02397	-0.19493
4.28	0.00449	-0.16455
4.29	-0.01489	-0.13451
4.3	-0.03388	-0.10479
4.31	-0.0522	-0.07542
4.32	-0.0696	-0.04643
4.33	-0.08589	-0.01793
4.34	-0.10094	0.00993
4.35	-0.11466	0.03692
4.36	-0.12705	0.06276
4.37	-0.13815	0.08711
4.38	-0.14807	0.10958
4.39	-0.15697	0.12977
4.4	-0.16505	0.14725
4.41	-0.17254	0.16162
4.42	-0.17968	0.1725
4.43	-0.18671	0.17957
4.44	-0.19387	0.18261
4.45	-0.20135	0.18148
4.46	-0.20931	0.17617
4.47	-0.21785	0.16679
4.48	-0.227	0.15361
4.49	-0.23673	0.13702
4.5	-0.24693	0.11754
4.51	-0.25739	0.09585
4.52	-0.26785	0.07269
4.53	-0.27796	0.04893
4.54	-0.28731	0.02549
4.55	-0.29544	0.00333
4.56	-0.30185	-0.0166
4.57	-0.30602	-0.03334
4.58	-0.30742	-0.04603
4.59	-0.30552	-0.05386
4.6	-0.29985	-0.05615
4.61	-0.28996	-0.05233
4.62	-0.27547	-0.04203
4.63	-0.25608	-0.02499
4.64	-0.2316	-0.00116
4.65	-0.20191	0.02934
4.66	-0.16702	0.06623
4.67	-0.12703	0.10908
4.68	-0.08218	0.15728
4.69	-0.0328	0.21013
4.7	0.02068	0.2668
4.71	0.07772	0.32639
4.72	0.13772	0.38796
4.73	0.2	0.45053
4.74	0.26382	0.51313
4.75	0.32844	0.57482
4.76	0.39306	0.63469
4.77	0.45693	0.69194
4.78	0.51927	0.74582
4.79	0.57938	0.79569
4.8	0.63659	0.84104
4.81	0.69029	0.88146
4.82	0.73997	0.91664
4.83	0.78519	0.9464
4.84	0.82559	0.97067
4.85	0.86093	0.98946
4.86	0.89104	1.00288
4.87	0.91587	1.01111
4.88	0.93545	1.01439
4.89	0.94987	1.013
4.9	0.95935	1.00727
4.91	0.96411	0.99755
4.92	0.96449	0.98419
4.93	0.96082	0.96754
4.94	0.9535	0.94795
4.95	0.94293	0.92577
4.96	0.92954	0.9013
4.97	0.91373	0.87485
4.98	0.89592	0.8467
4.99	0.87649	0.8171
5	0.85579	0.78628
5.01	0.83416	0.75448
5.02	0.81188	0.72188
5.03	0.7892	0.68869
5.04	0.76632	0.65509
5.05	0.74341	0.62126
5.06	0.72058	0.58737
5.07	0.69793	0.55359
5.08	0.6755	0.52008
5.09	0.65331	0.48702
5.1	0.63133	0.45455
5.11	0.60954	0.42283
5.12	0.58789	0.39201
5.13	0.56629	0.36222
5.14	0.54469	0.33358
5.15	0.523	0.3062
5.16	0.50115	0.28016
5.17	0.47906	0.25553
5.18	0.45666	0.23234
5.19	0.43391	0.21061
5.2	0.41075	0.19033
5.21	0.38718	0.17145
5.22	0.36317	0.15391
5.23	0.33872	0.13763
5.24	0.31387	0.12248
5.25	0.28864	0.10834
5.26	0.26309	0.09508
5.27	0.23728	0.08251
5.28	0.21128	0.0705
5.29	0.1852	0.05887
5.3	0.15911	0.04746
5.31	0.13313	0.03612
5.32	0.10736	0.02471
5.33	0.08192	0.0131
5.34	0.05692	0.0012
5.35	0.03246	-0.01109
5.36	0.00866	-0.02381
5.37	-0.01438	-0.03701
5.38	-0.03656	-0.05067
5.39	-0.05778	-0.06477
5.4	-0.07797	-0.07927
5.41	-0.09705	-0.09408
5.42	-0.11495	-0.10912
5.43	-0.13163	-0.12426
5.44	-0.14704	-0.13938
5.45	-0.16115	-0.15433
5.46	-0.17394	-0.16896
5.47	-0.18542	-0.18311
5.48	-0.19558	-0.19664
5.49	-0.20445	-0.2094
5.5	-0.21204	-0.22123
5.51	-0.21841	-0.23203
5.52	-0.22358	-0.24166
5.53	-0.22763	-0.25003
5.54	-0.23061	-0.25705
5.55	-0.23258	-0.26267
5.56	-0.23362	-0.26684
5.57	-0.2338	-0.26954
5.58	-0.23318	-0.27075
5.59	-0.23185	-0.27048
5.6	-0.22988	-0.26876
5.61	-0.22733	-0.26562
5.62	-0.22426	-0.26112
5.63	-0.22073	-0.2553
5.64	-0.2168	-0.24824
5.65	-0.21251	-0.24001
5.66	-0.20789	-0.23068
5.67	-0.20296	-0.22033
5.68	-0.19776	-0.20905
5.69	-0.19228	-0.19691
5.7	-0.18653	-0.18399
5.71	-0.1805	-0.1704
5.72	-0.17419	-0.1562
5.73	-0.16756	-0.14151
5.74	-0.16062	-0.1264
5.75	-0.15331	-0.11097
5.76	-0.14563	-0.09534
5.77	-0.13754	-0.07959
5.78	-0.12902	-0.06385
5.79	-0.12005	-0.04823
5.8	-0.11061	-0.03284
5.81	-0.10069	-0.0178
5.82	-0.0903	-0.00324
5.83	-0.07944	0.01075
5.84	-0.06813	0.02403
5.85	-0.0564	0.03652
5.86	-0.04429	0.04811
5.87	-0.03186	0.05873
5.88	-0.01915	0.0683
