r	D(r)_75C	D(r)_25C
9.23	-0.01545	0.0249
9.24	-0.01748	0.02602
9.25	-0.01934	0.02716
9.26	-0.02103	0.02824
9.27	-0.02254	0.02919
9.28	-0.02383	0.02993
9.29	-0.02492	0.03039
9.3	-0.02578	0.03052
9.31	-0.02641	0.03028
9.32	-0.02681	0.02964
9.33	-0.02697	0.02859
9.34	-0.0269	0.02713
9.35	-0.02661	0.0253
9.36	-0.0261	0.02312
9.37	-0.02539	0.02065
9.38	-0.02449	0.01795
9.39	-0.02342	0.01507
9.4	-0.0222	0.01211
9.41	-0.02086	0.00913
9.42	-0.01941	0.00622
9.43	-0.01788	0.00343
9.44	-0.0163	8.4907E-4
9.45	-0.01468	-0.00148
9.46	-0.01305	-0.0035
9.47	-0.01143	-0.00517
9.48	-0.00985	-0.00649
9.49	-0.00831	-0.00743
9.5	-0.00685	-0.008
9.51	-0.00547	-0.00822
9.52	-0.0042	-0.00812
9.53	-0.00303	-0.00774
9.54	-0.00198	-0.00711
9.55	-0.00106	-0.0063
9.56	-2.75622E-4	-0.00536
9.57	3.81542E-4	-0.00435
9.58	9.10178E-4	-0.00332
9.59	0.00132	-0.00234
9.6	0.00161	-0.00144
9.61	0.0018	-6.65894E-4
9.62	0.00191	-5.90474E-5
9.63	0.00196	3.59903E-4
9.64	0.00196	5.75648E-4
9.65	0.00195	5.82422E-4
9.66	0.00196	3.83681E-4
9.67	0.00201	-8.58606E-6
9.68	0.00213	-5.74865E-4
9.69	0.00235	-0.00129
9.7	0.00271	-0.00212
9.71	0.00323	-0.00304
9.72	0.00394	-0.004
9.73	0.00486	-0.00498
9.74	0.00599	-0.00594
9.75	0.00737	-0.00684
9.76	0.00897	-0.00766
9.77	0.01081	-0.00838
9.78	0.01287	-0.00898
9.79	0.01511	-0.00944
9.8	0.01753	-0.00977
9.81	0.02007	-0.00995
9.82	0.02269	-0.00999
9.83	0.02534	-0.0099
9.84	0.02796	-0.00969
9.85	0.0305	-0.00937
9.86	0.03288	-0.00896
9.87	0.03506	-0.00847
9.88	0.03696	-0.00791
9.89	0.03853	-0.00732
9.9	0.03973	-0.00669
9.91	0.0405	-0.00605
9.92	0.04082	-0.0054
9.93	0.04067	-0.00476
9.94	0.04003	-0.00414
9.95	0.0389	-0.00354
9.96	0.03731	-0.00298
9.97	0.03528	-0.00246
9.98	0.03284	-0.002
9.99	0.03004	-0.00159
10	0.02696	
10.01	0.02364	
10.02	0.02017	
10.03	0.01661	
10.04	0.01304	
10.05	0.00954	
10.06	0.00617	
10.07	0.00298	
10.08	3.78759E-5	
10.09	-0.00262	
10.1	-0.00498	
10.11	-0.007	
10.12	-0.0087	
10.13	-0.01008	
10.14	-0.01116	
10.15	-0.01198	
10.16	-0.01258	
10.17	-0.01301	
10.18	-0.01333	
10.19	-0.01358	
10.2	-0.01384	
10.21	-0.01414	
10.22	-0.01455	
10.23	-0.0151	
10.24	-0.01581	
10.25	-0.01672	
10.26	-0.01783	
10.27	-0.01914	
10.28	-0.02062	
10.29	-0.02226	
10.3	-0.02401	
10.31	-0.02582	
10.32	-0.02765	
10.33	-0.02942	
10.34	-0.03109	
10.35	-0.0326	
10.36	-0.03388	
10.37	-0.03488	
10.38	-0.03558	
10.39	-0.03593	
10.4	-0.03593	
10.41	-0.03557	
10.42	-0.03485	
10.43	-0.03381	
10.44	-0.03249	
10.45	-0.03093	
10.46	-0.02919	
10.47	-0.02735	
10.48	-0.02548	
10.49	-0.02366	
10.5	-0.02196	
10.51	-0.02045	
10.52	-0.01921	
10.53	-0.01829	
10.54	-0.01773	
10.55	-0.01758	
10.56	-0.01783	
10.57	-0.01849	
10.58	-0.01956	
10.59	-0.02099	
10.6	-0.02273	
10.61	-0.02473	
10.62	-0.02692	
10.63	-0.02922	
10.64	-0.03153	
10.65	-0.03378	
10.66	-0.03589	
10.67	-0.03776	
10.68	-0.03932	
10.69	-0.04052	
10.7	-0.0413	
10.71	-0.04163	
10.72	-0.04148	
10.73	-0.04087	
10.74	-0.0398	
10.75	-0.03831	
10.76	-0.03644	
10.77	-0.03425	
10.78	-0.03182	
10.79	-0.02922	
10.8	-0.02655	
10.81	-0.02387	
10.82	-0.02129	
10.83	-0.01889	
10.84	-0.01672	
10.85	-0.01486	
10.86	-0.01335	
10.87	-0.01223	
10.88	-0.01152	
10.89	-0.01122	
10.9	-0.01132	
10.91	-0.01178	
10.92	-0.01257	
10.93	-0.01364	
10.94	-0.01491	
10.95	-0.01632	
10.96	-0.01779	
10.97	-0.01925	
10.98	-0.02064	
10.99	-0.02187	
11	-0.0229	
11.01	-0.02369	
11.02	-0.02419	
11.03	-0.02438	
11.04	-0.02427	
11.05	-0.02386	
11.06	-0.02319	
11.07	-0.02227	
11.08	-0.02118	
11.09	-0.01997	
11.1	-0.01871	
11.11	-0.01746	
11.12	-0.01631	
11.13	-0.01532	
11.14	-0.01456	
11.15	-0.0141	
11.16	-0.01397	
11.17	-0.01422	
11.18	-0.01487	
11.19	-0.01592	
11.2	-0.01737	
11.21	-0.0192	
11.22	-0.02137	
11.23	-0.02382	
11.24	-0.0265	
11.25	-0.02933	
11.26	-0.03224	
11.27	-0.03514	
11.28	-0.03796	
11.29	-0.04062	
11.3	-0.04305	
11.31	-0.04519	
11.32	-0.04698	
11.33	-0.04839	
11.34	-0.04939	
11.35	-0.04999	
11.36	-0.05019	
11.37	-0.05001	
11.38	-0.04949	
11.39	-0.04869	
11.4	-0.04767	
11.41	-0.0465	
11.42	-0.04526	
11.43	-0.04403	
11.44	-0.04288	
11.45	-0.0419	
11.46	-0.04115	
11.47	-0.04069	
11.48	-0.04057	
11.49	-0.04081	
11.5	-0.04144	
11.51	-0.04246	
11.52	-0.04384	
11.53	-0.04556	
11.54	-0.04758	
11.55	-0.04983	
11.56	-0.05224	
11.57	-0.05474	
11.58	-0.05725	
11.59	-0.05968	
11.6	-0.06194	
11.61	-0.06397	
11.62	-0.06568	
11.63	-0.06702	
11.64	-0.06794	
11.65	-0.06842	
11.66	-0.06842	
11.67	-0.06795	
11.68	-0.06702	
11.69	-0.06567	
11.7	-0.06394	
11.71	-0.06189	
11.72	-0.05958	
11.73	-0.05709	
11.74	-0.05451	
11.75	-0.0519	
11.76	-0.04936	
11.77	-0.04695	
11.78	-0.04475	
11.79	-0.04281	
11.8	-0.04118	
11.81	-0.03988	
11.82	-0.03893	
11.83	-0.03834	
11.84	-0.03809	
11.85	-0.03814	
11.86	-0.03847	
11.87	-0.03901	
11.88	-0.0397	
11.89	-0.04048	
11.9	-0.04127	
11.91	-0.04201	
11.92	-0.04263	
11.93	-0.04305	
11.94	-0.04324	
11.95	-0.04314	
11.96	-0.04272	
11.97	-0.04197	
11.98	-0.04087	
11.99	-0.03943	
12	-0.03767	
12.01	-0.03564	
12.02	-0.03336	
12.03	-0.0309	
12.04	-0.02831	
12.05	-0.02565	
12.06	-0.02298	
12.07	-0.02037	
12.08	-0.01788	
12.09	-0.01555	
12.1	-0.01342	
12.11	-0.01153	
12.12	-0.00989	
12.13	-0.00852	
12.14	-0.00742	
12.15	-0.00656	
12.16	-0.00593	
12.17	-0.00549	
12.18	-0.0052	
12.19	-0.00503	
12.2	-0.00492	
12.21	-0.00483	
12.22	-0.00471	
12.23	-0.00454	
12.24	-0.00427	
12.25	-0.00388	
12.26	-0.00336	
12.27	-0.00271	
12.28	-0.00192	
12.29	-0.00103	
12.3	-4.4495E-5	
12.31	9.93373E-4	
12.32	0.00205	
12.33	0.00307	
12.34	0.00403	
12.35	0.00488	
12.36	0.00557	
12.37	0.00607	
12.38	0.00636	
12.39	0.00641	
12.4	0.00623	
12.41	0.00581	
12.42	0.00518	
12.43	0.00435	
12.44	0.00337	
12.45	0.00228	
12.46	0.00114	
12.47	1.58809E-6	
12.48	-0.00107	
12.49	-0.00201	
12.5	-0.00276	
12.51	-0.00328	
12.52	-0.00351	
12.53	-0.00343	
12.54	-0.00301	
12.55	-0.00224	
12.56	-0.00114	
12.57	2.8554E-4	
12.58	0.002	
12.59	0.00394	
12.6	0.00607	
12.61	0.00832	
12.62	0.0106	
12.63	0.01286	
12.64	0.01501	
12.65	0.01697	
12.66	0.0187	
12.67	0.02012	
12.68	0.0212	
12.69	0.02191	
12.7	0.02222	
12.71	0.02214	
12.72	0.02169	
12.73	0.02089	
12.74	0.0198	
12.75	0.01847	
12.76	0.01697	
12.77	0.01538	
12.78	0.01377	
12.79	0.01223	
12.8	0.01083	
12.81	0.00965	
12.82	0.00875	
12.83	0.00817	
12.84	0.00796	
12.85	0.00813	
12.86	0.00869	
12.87	0.00963	
12.88	0.01092	
12.89	0.01251	
12.9	0.01434	
12.91	0.01636	
12.92	0.01848	
12.93	0.02062	
12.94	0.02269	
12.95	0.02463	
12.96	0.02635	
12.97	0.0278	
12.98	0.02891	
12.99	0.02965	
13	0.03	
13.01	0.02995	
13.02	0.0295	
13.03	0.0287	
13.04	0.02758	
13.05	0.02621	
13.06	0.02464	
13.07	0.02297	
13.08	0.02127	
13.09	0.01964	
13.1	0.01815	
13.11	0.01689	
13.12	0.01593	
13.13	0.01533	
13.14	0.01514	
13.15	0.01538	
13.16	0.01609	
13.17	0.01724	
13.18	0.01882	
13.19	0.02079	
13.2	0.02311	
13.21	0.0257	
13.22	0.02848	
13.23	0.03139	
13.24	0.03432	
13.25	0.03719	
13.26	0.03992	
13.27	0.04242	
13.28	0.04462	
13.29	0.04646	
13.3	0.0479	
13.31	0.0489	
13.32	0.04945	
13.33	0.04954	
13.34	0.04919	
13.35	0.04843	
13.36	0.04731	
13.37	0.04587	
13.38	0.04419	
13.39	0.04232	
13.4	0.04034	
13.41	0.03833	
13.42	0.03634	
13.43	0.03446	
13.44	0.03273	
13.45	0.0312	
13.46	0.02992	
13.47	0.02891	
13.48	0.02818	
13.49	0.02774	
13.5	0.02757	
13.51	0.02767	
13.52	0.028	
13.53	0.02853	
13.54	0.02923	
13.55	0.03004	
13.56	0.03093	
13.57	0.03185	
13.58	0.03276	
13.59	0.03364	
13.6	0.03444	
13.61	0.03515	
13.62	0.03574	
13.63	0.03622	
13.64	0.03658	
13.65	0.03682	
13.66	0.03696	
13.67	0.037	
13.68	0.03697	
13.69	0.03689	
13.7	0.03678	
13.71	0.03666	
13.72	0.03654	
13.73	0.03643	
13.74	0.03636	
13.75	0.03632	
13.76	0.0363	
13.77	0.03631	
13.78	0.03633	
13.79	0.03635	
13.8	0.03634	
13.81	0.03629	
13.82	0.03616	
13.83	0.03595	
13.84	0.03562	
13.85	0.03516	
13.86	0.03455	
13.87	0.03378	
13.88	0.03285	
13.89	0.03177	
13.9	0.03053	
13.91	0.02916	
13.92	0.02768	
13.93	0.02612	
13.94	0.0245	
13.95	0.02287	
13.96	0.02127	
13.97	0.01974	
13.98	0.01831	
13.99	0.01702	
14	0.0159	
14.01	0.01499	
14.02	0.01431	
14.03	0.01387	
14.04	0.01369	
14.05	0.01375	
14.06	0.01405	
14.07	0.01458	
14.08	0.01532	
14.09	0.01623	
14.1	0.01727	
14.11	0.01842	
14.12	0.01962	
14.13	0.02084	
14.14	0.02203	
14.15	0.02315	
14.16	0.02416	
14.17	0.02503	
14.18	0.02574	
14.19	0.02625	
14.2	0.02658	
14.21	0.02669	
14.22	0.02661	
14.23	0.02634	
14.24	0.02589	
14.25	0.0253	
14.26	0.02459	
14.27	0.0238	
14.28	0.02296	
14.29	0.02212	
14.3	0.02131	
14.31	0.02057	
14.32	0.01993	
14.33	0.01942	
14.34	0.01908	
14.35	0.01892	
14.36	0.01895	
14.37	0.01918	
14.38	0.0196	
14.39	0.02021	
14.4	0.02099	
14.41	0.02191	
14.42	0.02296	
14.43	0.02409	
14.44	0.02526	
14.45	0.02645	
14.46	0.0276	
14.47	0.02869	
14.48	0.02966	
14.49	0.0305	
14.5	0.03116	
14.51	0.03163	
14.52	0.03189	
14.53	0.03193	
14.54	0.03174	
14.55	0.03133	
14.56	0.03071	
14.57	0.02989	
14.58	0.02891	
14.59	0.0278	
14.6	0.02658	
14.61	0.02529	
14.62	0.02397	
14.63	0.02267	
14.64	0.02141	
14.65	0.02023	
14.66	0.01917	
14.67	0.01824	
14.68	0.01747	
14.69	0.01687	
14.7	0.01645	
14.71	0.01619	
14.72	0.0161	
14.73	0.01616	
14.74	0.01634	
14.75	0.01662	
14.76	0.01697	
14.77	0.01735	
14.78	0.01773	
14.79	0.01808	
14.8	0.01836	
14.81	0.01855	
14.82	0.01861	
14.83	0.01855	
14.84	0.01834	
14.85	0.01797	
14.86	0.01747	
14.87	0.01683	
14.88	0.01609	
14.89	0.01525	
14.9	0.01437	
14.91	0.01346	
14.92	0.01258	
14.93	0.01175	
14.94	0.01102	
14.95	0.01042	
14.96	0.00997	
14.97	0.0097	
14.98	0.00963	
14.99	0.00975	
15	0.01007	
15.01	0.01056	
15.02	0.0112	
15.03	0.01196	
15.04	0.0128	
15.05	0.01366	
15.06	0.01448	
15.07	0.01522	
15.08	0.01581	
15.09	0.01619	
15.1	0.01632	
15.11	0.01615	
15.12	0.01565	
15.13	0.01479	
15.14	0.01356	
15.15	0.01198	
15.16	0.01005	
15.17	0.00781	
15.18	0.00532	
15.19	0.00263	
15.2	-1.77149E-4	
15.21	-0.00303	
15.22	-0.00583	
15.23	-0.00849	
15.24	-0.01092	
15.25	-0.01304	
15.26	-0.01476	
15.27	-0.01601	
15.28	-0.01674	
15.29	-0.01691	
15.3	-0.0165	
15.31	-0.0155	
15.32	-0.01395	
15.33	-0.01187	
15.34	-0.00933	
15.35	-0.00639	
15.36	-0.00316	
15.37	2.71926E-4	
15.38	0.00379	
15.39	0.00727	
15.4	0.0106	
15.41	0.01367	
15.42	0.01637	
15.43	0.0186	
15.44	0.02029	
15.45	0.02138	
15.46	0.02182	
15.47	0.0216	
15.48	0.02071	
15.49	0.01919	
15.5	0.01707	
15.51	0.01444	
15.52	0.01136	
15.53	0.00795	
15.54	0.0043	
15.55	5.39583E-4	
15.56	-0.00322	
15.57	-0.00687	
15.58	-0.01029	
15.59	-0.01338	
15.6	-0.01607	
15.61	-0.01828	
15.62	-0.01996	
15.63	-0.02108	
15.64	-0.02163	
15.65	-0.02163	
15.66	-0.02109	
15.67	-0.02008	
15.68	-0.01865	
15.69	-0.01688	
15.7	-0.01486	
15.71	-0.01266	
15.72	-0.0104	
15.73	-0.00815	
15.74	-0.006	
15.75	-0.00402	
15.76	-0.00229	
15.77	-8.43132E-4	
15.78	2.7548E-4	
15.79	0.00105	
15.8	0.00147	
15.81	0.00155	
15.82	0.00131	
15.83	7.9902E-4	
15.84	5.11658E-5	
15.85	-8.76408E-4	
15.86	-0.00193	
15.87	-0.00304	
15.88	-0.00416	
15.89	-0.00523	
15.9	-0.00621	
15.91	-0.00705	
15.92	-0.00774	
15.93	-0.00825	
15.94	-0.00858	
15.95	-0.00873	
15.96	-0.00873	
15.97	-0.00859	
15.98	-0.00835	
15.99	-0.00804	
16	-0.00772	
16.01	-0.00741	
16.02	-0.00716	
16.03	-0.00701	
16.04	-0.00698	
16.05	-0.00709	
16.06	-0.00737	
16.07	-0.00781	
16.08	-0.00841	
16.09	-0.00915	
16.1	-0.01001	
16.11	-0.01096	
16.12	-0.01196	
16.13	-0.01297	
16.14	-0.01395	
16.15	-0.01486	
16.16	-0.01565	
16.17	-0.01631	
16.18	-0.01678	
16.19	-0.01707	
16.2	-0.01716	
16.21	-0.01705	
16.22	-0.01674	
16.23	-0.01628	
16.24	-0.01567	
16.25	-0.01496	
16.26	-0.01419	
16.27	-0.01342	
16.28	-0.01268	
16.29	-0.01204	
16.3	-0.01152	
16.31	-0.01119	
16.32	-0.01106	
16.33	-0.01117	
16.34	-0.01153	
16.35	-0.01214	
16.36	-0.01299	
16.37	-0.01408	
16.38	-0.01536	
16.39	-0.0168	
16.4	-0.01835	
16.41	-0.01996	
16.42	-0.02158	
16.43	-0.02314	
16.44	-0.02459	
16.45	-0.02587	
16.46	-0.02694	
16.47	-0.02776	
16.48	-0.02829	
16.49	-0.02851	
16.5	-0.0284	
16.51	-0.02798	
16.52	-0.02726	
16.53	-0.02624	
16.54	-0.02498	
16.55	-0.0235	
16.56	-0.02186	
16.57	-0.0201	
16.58	-0.01828	
16.59	-0.01645	
16.6	-0.01467	
16.61	-0.01298	
16.62	-0.01144	
16.63	-0.01006	
16.64	-0.00889	
16.65	-0.00795	
16.66	-0.00725	
16.67	-0.00679	
16.68	-0.00657	
16.69	-0.00658	
16.7	-0.00681	
16.71	-0.00722	
16.72	-0.00781	
16.73	-0.00853	
16.74	-0.00938	
16.75	-0.01031	
16.76	-0.0113	
16.77	-0.01233	
16.78	-0.01339	
16.79	-0.01446	
16.8	-0.01552	
16.81	-0.01657	
16.82	-0.0176	
16.83	-0.01861	
16.84	-0.01961	
16.85	-0.02057	
16.86	-0.02152	
16.87	-0.02243	
16.88	-0.02331	
16.89	-0.02416	
16.9	-0.02495	
16.91	-0.02568	
16.92	-0.02632	
16.93	-0.02687	
16.94	-0.02728	
16.95	-0.02755	
16.96	-0.02765	
16.97	-0.02756	
16.98	-0.02725	
16.99	-0.02671	
17	-0.02593	
17.01	-0.02491	
17.02	-0.02365	
17.03	-0.02216	
17.04	-0.02046	
17.05	-0.01858	
17.06	-0.01655	
17.07	-0.01442	
17.08	-0.01224	
17.09	-0.01006	
17.1	-0.00794	
17.11	-0.00594	
17.12	-0.00412	
17.13	-0.00252	
17.14	-0.0012	
17.15	-1.91746E-4	
17.16	4.63271E-4	
17.17	7.47494E-4	
17.18	6.51212E-4	
17.19	1.76992E-4	
17.2	-6.60131E-4	
17.21	-0.00183	
17.22	-0.0033	
17.23	-0.00502	
17.24	-0.00693	
17.25	-0.00897	
17.26	-0.01106	
17.27	-0.01315	
17.28	-0.01515	
17.29	-0.01701	
17.3	-0.01866	
17.31	-0.02005	
17.32	-0.02114	
17.33	-0.0219	
17.34	-0.0223	
17.35	-0.02234	
17.36	-0.02203	
17.37	-0.0214	
17.38	-0.02046	
17.39	-0.01926	
17.4	-0.01786	
17.41	-0.0163	
17.42	-0.01467	
17.43	-0.01301	
17.44	-0.01141	
17.45	-0.0099	
17.46	-0.00857	
17.47	-0.00745	
17.48	-0.00659	
17.49	-0.00603	
17.5	-0.00577	
17.51	-0.00583	
17.52	-0.00622	
17.53	-0.00691	
17.54	-0.00788	
17.55	-0.00909	
17.56	-0.01051	
17.57	-0.01208	
17.58	-0.01375	
17.59	-0.01546	
17.6	-0.01717	
17.61	-0.0188	
17.62	-0.02031	
17.63	-0.02166	
17.64	-0.02279	
17.65	-0.02369	
17.66	-0.02431	
17.67	-0.02466	
17.68	-0.02471	
17.69	-0.02448	
17.7	-0.02397	
17.71	-0.02321	
17.72	-0.02223	
17.73	-0.02104	
17.74	-0.0197	
17.75	-0.01825	
17.76	-0.01672	
17.77	-0.01516	
17.78	-0.01362	
17.79	-0.01213	
17.8	-0.01073	
17.81	-0.00945	
17.82	-0.00833	
17.83	-0.00738	
17.84	-0.00663	
17.85	-0.00607	
17.86	-0.00571	
17.87	-0.00556	
17.88	-0.00559	
17.89	-0.0058	
17.9	-0.00616	
17.91	-0.00665	
17.92	-0.00725	
17.93	-0.00791	
17.94	-0.00862	
17.95	-0.00933	
17.96	-0.01002	
17.97	-0.01066	
17.98	-0.01121	
17.99	-0.01166	
18	-0.01197	
18.01	-0.01213	
18.02	-0.01214	
18.03	-0.01198	
18.04	-0.01165	
18.05	-0.01116	
18.06	-0.01052	
18.07	-0.00974	
18.08	-0.00885	
18.09	-0.00787	
18.1	-0.00684	
18.11	-0.00579	
18.12	-0.00474	
18.13	-0.00375	
18.14	-0.00284	
18.15	-0.00205	
18.16	-0.0014	
18.17	-9.35516E-4	
18.18	-6.6727E-4	
18.19	-6.12932E-4	
18.2	-7.81018E-4	
18.21	-0.00117	
18.22	-0.00178	
18.23	-0.00259	
18.24	-0.00357	
18.25	-0.0047	
18.26	-0.00595	
18.27	-0.00725	
18.28	-0.00858	
18.29	-0.00987	
18.3	-0.01109	
18.31	-0.01217	
18.32	-0.01307	
18.33	-0.01375	
18.34	-0.01418	
18.35	-0.01432	
18.36	-0.01416	
18.37	-0.01369	
18.38	-0.01291	
18.39	-0.01184	
18.4	-0.0105	
18.41	-0.00893	
18.42	-0.00718	
18.43	-0.0053	
18.44	-0.00335	
18.45	-0.00141	
18.46	4.73344E-4	
18.47	0.00222	
18.48	0.00376	
18.49	0.00504	
18.5	0.00601	
18.51	0.00662	
18.52	0.00685	
18.53	0.00667	
18.54	0.00608	
18.55	0.0051	
18.56	0.00375	
18.57	0.00207	
18.58	1.06414E-4	
18.59	-0.00207	
18.6	-0.00439	
18.61	-0.00677	
18.62	-0.00913	
18.63	-0.01139	
18.64	-0.01347	
18.65	-0.01528	
18.66	-0.01676	
18.67	-0.01785	
18.68	-0.01851	
18.69	-0.01869	
18.7	-0.0184	
18.71	-0.01762	
18.72	-0.01637	
18.73	-0.01469	
18.74	-0.01263	
18.75	-0.01024	
18.76	-0.0076	
18.77	-0.00478	
18.78	-0.00188	
18.79	0.00102	
18.8	0.00383	
18.81	0.00646	
18.82	0.00883	
18.83	0.01087	
18.84	0.01252	
18.85	0.01374	
18.86	0.01449	
18.87	0.01475	
18.88	0.01453	
18.89	0.01383	
18.9	0.0127	
18.91	0.01117	
18.92	0.00929	
18.93	0.00713	
18.94	0.00477	
18.95	0.00228	
18.96	-2.62248E-4	
18.97	-0.00278	
18.98	-0.00519	
18.99	-0.00742	
19	-0.00942	
19.01	-0.01113	
19.02	-0.01251	
19.03	-0.01353	
19.04	-0.01416	
19.05	-0.01441	
19.06	-0.01428	
19.07	-0.01378	
19.08	-0.01295	
19.09	-0.01183	
19.1	-0.01044	
19.11	-0.00886	
19.12	-0.00712	
19.13	-0.00529	
19.14	-0.00342	
19.15	-0.00157	
19.16	2.21209E-4	
19.17	0.0019	
19.18	0.00343	
19.19	0.00478	
19.2	0.00592	
19.21	0.00684	
19.22	0.00753	
19.23	0.00798	
19.24	0.0082	
19.25	0.00821	
19.26	0.00802	
19.27	0.00766	
19.28	0.00715	
19.29	0.00653	
19.3	0.00583	
19.31	0.00507	
19.32	0.0043	
19.33	0.00355	
19.34	0.00285	
19.35	0.00221	
19.36	0.00168	
19.37	0.00126	
19.38	9.77383E-4	
19.39	8.37011E-4	
19.4	8.46374E-4	
19.41	0.00101	
19.42	0.00131	
19.43	0.00176	
19.44	0.00233	
19.45	0.00302	
19.46	0.00379	
19.47	0.00463	
19.48	0.00551	
19.49	0.00641	
19.5	0.0073	
19.51	0.00814	
19.52	0.00892	
19.53	0.00961	
19.54	0.01019	
19.55	0.01063	
19.56	0.01092	
19.57	0.01105	
19.58	0.01101	
19.59	0.0108	
19.6	0.01042	
19.61	0.00987	
19.62	0.00918	
19.63	0.00836	
19.64	0.00744	
19.65	0.00644	
19.66	0.00539	
19.67	0.00433	
19.68	0.00328	
19.69	0.00228	
19.7	0.00137	
19.71	5.69818E-4	
19.72	-8.89591E-5	
19.73	-5.84803E-4	
19.74	-9.00455E-4	
19.75	-0.00102	
19.76	-9.52317E-4	
19.77	-6.85511E-4	
19.78	-2.32818E-4	
19.79	3.9053E-4	
19.8	0.00116	
19.81	0.00206	
19.82	0.00304	
19.83	0.00409	
19.84	0.00515	
19.85	0.00619	
19.86	0.00718	
19.87	0.00808	
19.88	0.00886	
19.89	0.00949	
19.9	0.00994	
19.91	0.01021	
19.92	0.01028	
19.93	0.01016	
19.94	0.00985	
19.95	0.00935	
19.96	0.0087	
19.97	0.00792	
19.98	0.00703	
19.99	0.00607	
