Wavenumber,Intensity
649.9545,0.108449
650.1875,0.106727
650.4205,0.105221
650.6534,0.104055
650.8864,0.103180
651.1193,0.102433
651.3523,0.101642
651.5852,0.100741
651.8182,0.099813
652.0512,0.099046
652.2841,0.098614
652.5171,0.098580
652.7500,0.098847
652.9830,0.099201
653.2160,0.099415
653.4489,0.099360
653.6819,0.099065
653.9148,0.098682
654.1478,0.098390
654.3807,0.098290
654.6137,0.098358
654.8467,0.098472
655.0796,0.098496
655.3126,0.098373
655.5455,0.098164
655.7785,0.098011
656.0115,0.098050
656.2444,0.098323
656.4774,0.098748
656.7103,0.099154
656.9433,0.099379
657.1763,0.099365
657.4092,0.099200
657.6422,0.099073
657.8751,0.099172
658.1081,0.099579
658.3410,0.100215
658.5740,0.100872
658.8070,0.101305
659.0399,0.101352
659.2729,0.101009
659.5058,0.100421
659.7388,0.099803
659.9718,0.099340
660.2047,0.099114
660.4377,0.099097
660.6706,0.099195
660.9036,0.099316
661.1365,0.099426
661.3695,0.099552
661.6025,0.099743
661.8354,0.100025
662.0684,0.100370
662.3013,0.100706
662.5343,0.100962
662.7673,0.101113
663.0002,0.101202
663.2332,0.101313
663.4661,0.101516
663.6991,0.101819
663.9321,0.102154
664.1650,0.102400
664.3980,0.102447
664.6309,0.102246
664.8639,0.101832
665.0968,0.101293
665.3298,0.100721
665.5628,0.100171
665.7957,0.099655
666.0287,0.099175
666.2616,0.098775
666.4946,0.098587
666.7276,0.098844
666.9605,0.099850
667.1935,0.101882
667.4264,0.105008
667.6594,0.108825
667.8923,0.112364
668.1253,0.114498
668.3583,0.114714
668.5912,0.113401
668.8242,0.111365
669.0571,0.109276
669.2901,0.107462
669.5231,0.105971
669.7560,0.104704
669.9890,0.103535
670.2219,0.102393
670.4549,0.101301
670.6879,0.100350
670.9208,0.099636
671.1538,0.099194
671.3867,0.098968
671.6197,0.098831
671.8526,0.098637
672.0856,0.098294
672.3186,0.097802
672.5515,0.097240
672.7845,0.096711
673.0174,0.096281
673.2504,0.095945
673.4834,0.095636
673.7163,0.095278
673.9493,0.094835
674.1822,0.094349
674.4152,0.093917
674.6481,0.093650
674.8811,0.093609
675.1141,0.093780
675.3470,0.094081
675.5800,0.094396
675.8129,0.094636
676.0459,0.094768
676.2789,0.094812
676.5118,0.094810
676.7448,0.094781
676.9777,0.094699
677.2107,0.094505
677.4437,0.094149
677.6766,0.093628
677.9096,0.093008
678.1425,0.092395
678.3755,0.091895
678.6084,0.091560
678.8414,0.091375
679.0744,0.091273
679.3073,0.091175
679.5403,0.091039
679.7732,0.090879
680.0062,0.090750
680.2392,0.090703
680.4721,0.090742
680.7051,0.090806
680.9380,0.090788
681.1710,0.090582
681.4039,0.090138
681.6369,0.089491
681.8699,0.088748
682.1028,0.088043
682.3358,0.087480
682.5687,0.087101
682.8017,0.086886
683.0347,0.086772
683.2676,0.086697
683.5006,0.086622
683.7335,0.086539
683.9665,0.086453
684.1995,0.086355
684.4324,0.086218
684.6654,0.085998
