Wavenumber,Intensity
724.0354,0.044047
724.2683,0.044174
724.5013,0.044194
724.7343,0.044139
724.9672,0.044082
725.2002,0.044096
725.4331,0.044221
725.6661,0.044437
725.8990,0.044679
726.1320,0.044877
726.3650,0.044988
726.5979,0.045026
726.8309,0.045045
727.0638,0.045116
727.2968,0.045287
727.5298,0.045566
727.7627,0.045924
727.9957,0.046323
728.2286,0.046740
728.4616,0.047183
728.6945,0.047678
728.9275,0.048241
729.1605,0.048854
729.3934,0.049463
729.6264,0.049990
729.8593,0.050376
730.0923,0.050605
730.3253,0.050716
730.5582,0.050777
730.7912,0.050852
731.0241,0.050966
731.2571,0.051095
731.4901,0.051180
731.7230,0.051163
731.9560,0.051022
732.1889,0.050776
732.4219,0.050477
732.6548,0.050178
732.8878,0.049902
733.1208,0.049640
733.3537,0.049358
733.5867,0.049026
733.8196,0.048645
734.0526,0.048243
734.2856,0.047861
734.5185,0.047521
734.7515,0.047210
734.9844,0.046876
735.2174,0.046459
735.4503,0.045924
735.6833,0.045292
735.9163,0.044633
736.1492,0.044040
736.3822,0.043586
736.6151,0.043291
736.8481,0.043114
737.0811,0.042978
737.3140,0.042813
737.5470,0.042592
737.7799,0.042343
738.0129,0.042129
738.2459,0.042006
738.4788,0.041989
738.7118,0.042035
738.9447,0.042066
739.1777,0.042008
739.4106,0.041835
739.6436,0.041580
739.8766,0.041319
740.1095,0.041135
740.3425,0.041073
740.5754,0.041124
740.8084,0.041231
741.0414,0.041327
741.2743,0.041373
741.5073,0.041375
741.7402,0.041381
741.9732,0.041445
742.2061,0.041594
742.4391,0.041812
742.6721,0.042045
742.9050,0.042237
743.1380,0.042360
743.3709,0.042433
743.6039,0.042507
743.8369,0.042642
744.0698,0.042866
744.3028,0.043164
744.5357,0.043481
744.7687,0.043755
745.0017,0.043949
745.2346,0.044072
745.4676,0.044170
745.7005,0.044301
745.9335,0.044501
746.1664,0.044771
746.3994,0.045079
746.6324,0.045377
746.8653,0.045632
747.0983,0.045838
747.3312,0.046008
747.5642,0.046160
747.7972,0.046294
748.0301,0.046390
748.2631,0.046416
748.4960,0.046357
748.7290,0.046227
748.9619,0.046074
749.1949,0.045965
749.4279,0.045949
749.6608,0.046040
749.8938,0.046208
750.1267,0.046396
750.3597,0.046549
750.5927,0.046646
750.8256,0.046703
751.0586,0.046759
751.2915,0.046850
751.5245,0.046983
751.7575,0.047128
751.9904,0.047234
752.2234,0.047255
752.4563,0.047177
752.6893,0.047026
752.9222,0.046848
753.1552,0.046685
753.3882,0.046549
753.6211,0.046419
753.8541,0.046255
754.0870,0.046029
754.3200,0.045747
754.5530,0.045454
754.7859,0.045212
755.0189,0.045069
755.2518,0.045036
755.4848,0.045073
755.7177,0.045118
755.9507,0.045111
756.1837,0.045032
756.4166,0.044906
756.6496,0.044788
756.8825,0.044732
757.1155,0.044758
757.3485,0.044843
757.5814,0.044934
757.8144,0.044977
758.0473,0.044950
758.2803,0.044872
758.5132,0.044792
758.7462,0.044759
758.9792,0.044799
759.2121,0.044894
759.4451,0.045003
759.6780,0.045083
759.9110,0.045119
760.1440,0.045134
760.3769,0.045174
760.6099,0.045287
760.8428,0.045490
761.0758,0.045759
761.3088,0.046039
761.5417,0.046276
761.7747,0.046440
762.0076,0.046540
762.2406,0.046617
762.4735,0.046717
762.7065,0.046867
762.9395,0.047060
763.1724,0.047265
763.4054,0.047447
763.6383,0.047593
763.8713,0.047717
764.1043,0.047855
764.3372,0.048044
764.5702,0.048297
764.8031,0.048596
765.0361,0.048906
765.2690,0.049188
765.5020,0.049429
765.7350,0.049642
765.9679,0.049859
766.2009,0.050110
766.4338,0.050404
766.6668,0.050719
766.8998,0.051021
767.1327,0.051277
767.3657,0.051479
767.5986,0.051641
767.8316,0.051792
768.0646,0.051952
768.2975,0.052117
768.5305,0.052259
768.7634,0.052340
768.9964,0.052341
769.2293,0.052273
769.4623,0.052178
769.6953,0.052109
769.9282,0.052099
770.1612,0.052149
770.3941,0.052219
770.6271,0.052250
770.8601,0.052197
771.0930,0.052048
771.3260,0.051833
771.5589,0.051603
771.7919,0.051406
772.0248,0.051264
772.2578,0.051168
772.4908,0.051090
772.7237,0.051006
772.9567,0.050915
773.1896,0.050841
773.4226,0.050816
773.6556,0.050857
773.8885,0.050948
774.1215,0.051042
774.3544,0.051082
774.5874,0.051033
774.8204,0.050902
775.0533,0.050738
775.2863,0.050611
775.5192,0.050576
775.7522,0.050643
775.9851,0.050778
776.2181,0.050917
776.4511,0.050999
776.6840,0.051002
776.9170,0.050946
777.1499,0.050883
777.3829,0.050868
777.6159,0.050924
777.8488,0.051039
778.0818,0.051171
778.3147,0.051275
778.5477,0.051330
778.7806,0.051348
779.0136,0.051366
779.2466,0.051422
779.4795,0.051535
779.7125,0.051694
779.9454,0.051870
780.1784,0.052042
780.4114,0.052211
780.6443,0.052406
780.8773,0.052672
781.1102,0.053041
781.3432,0.053513
781.5762,0.054050
781.8091,0.054593
782.0421,0.055089
782.2750,0.055516
782.5080,0.055889
782.7409,0.056247
782.9739,0.056625
783.2069,0.057031
783.4398,0.057442
783.6728,0.057811
783.9057,0.058099
784.1387,0.058297
784.3717,0.058432
784.6046,0.058553
784.8376,0.058707
785.0705,0.058913
785.3035,0.059156
785.5364,0.059394
785.7694,0.059588
786.0024,0.059721
786.2353,0.059805
786.4683,0.059874
786.7012,0.059962
786.9342,0.060078
787.1672,0.060208
787.4001,0.060320
787.6331,0.060390
787.8660,0.060421
788.0990,0.060445
788.3320,0.060509
788.5649,0.060650
788.7979,0.060879
789.0308,0.061172
789.2638,0.061484
789.4967,0.061776
789.7297,0.062033
789.9627,0.062275
790.1956,0.062545
790.4286,0.062880
790.6615,0.063297
790.8945,0.063779
791.1275,0.064287
791.3604,0.064783
791.5934,0.065242
791.8263,0.065667
792.0593,0.066073
792.2922,0.066472
792.5252,0.066860
792.7582,0.067212
792.9911,0.067498
793.2241,0.067698
793.4570,0.067820
793.6900,0.067896
793.9230,0.067964
794.1559,0.068049
794.3889,0.068146
794.6218,0.068220
794.8548,0.068226
795.0878,0.068132
795.3207,0.067940
795.5537,0.067684
795.7866,0.067412
796.0196,0.067164
796.2525,0.066954
796.4855,0.066761
796.7185,0.066551
