Wavenumber,Intensity
649.9545,0.092751
650.1875,0.091922
650.4205,0.091130
650.6534,0.090436
650.8864,0.089794
651.1193,0.089086
651.3523,0.088206
651.5852,0.087139
651.8182,0.085980
652.0512,0.084885
652.2841,0.083983
652.5171,0.083308
652.7500,0.082778
652.9830,0.082254
653.2160,0.081621
653.4489,0.080866
653.6819,0.080095
653.9148,0.079483
654.1478,0.079180
654.3807,0.079243
654.6137,0.079606
654.8467,0.080119
655.0796,0.080628
655.3126,0.081057
655.5455,0.081438
655.7785,0.081885
656.0115,0.082506
656.2444,0.083336
656.4774,0.084295
656.7103,0.085217
656.9433,0.085925
657.1763,0.086312
657.4092,0.086389
657.6422,0.086266
657.8751,0.086084
658.1081,0.085947
658.3410,0.085883
658.5740,0.085857
658.8070,0.085816
659.0399,0.085739
659.2729,0.085658
659.5058,0.085636
659.7388,0.085725
659.9718,0.085919
660.2047,0.086149
660.4377,0.086316
660.6706,0.086343
660.9036,0.086229
661.1365,0.086047
661.3695,0.085912
661.6025,0.085919
661.8354,0.086094
662.0684,0.086381
662.3013,0.086677
662.5343,0.086888
662.7673,0.086978
663.0002,0.086984
663.2332,0.086985
663.4661,0.087042
663.6991,0.087159
663.9321,0.087271
664.1650,0.087275
664.3980,0.087087
664.6309,0.086684
664.8639,0.086118
665.0968,0.085486
665.3298,0.084881
665.5628,0.084363
665.7957,0.083953
666.0287,0.083666
666.2616,0.083545
666.4946,0.083702
666.7276,0.084312
666.9605,0.085585
667.1935,0.087679
667.4264,0.090549
667.6594,0.093772
667.8923,0.096538
668.1253,0.098037
668.3583,0.098018
668.5912,0.096894
668.8242,0.095300
669.0571,0.093684
669.2901,0.092205
669.5231,0.090817
669.7560,0.089400
669.9890,0.087868
670.2219,0.086237
670.4549,0.084625
670.6879,0.083201
670.9208,0.082102
671.1538,0.081367
671.3867,0.080926
671.6197,0.080632
671.8526,0.080339
672.0856,0.079961
672.3186,0.079512
672.5515,0.079078
672.7845,0.078757
673.0174,0.078599
673.2504,0.078578
673.4834,0.078609
673.7163,0.078595
673.9493,0.078485
674.1822,0.078294
674.4152,0.078096
674.6481,0.077966
674.8811,0.077943
675.1141,0.078000
675.3470,0.078064
675.5800,0.078058
675.8129,0.077950
676.0459,0.077771
676.2789,0.077598
676.5118,0.077504
676.7448,0.077511
676.9777,0.077575
677.2107,0.077597
677.4437,0.077479
677.6766,0.077167
677.9096,0.076688
678.1425,0.076131
678.3755,0.075604
678.6084,0.075184
678.8414,0.074893
679.0744,0.074696
679.3073,0.074536
679.5403,0.074369
679.7732,0.074190
680.0062,0.074025
680.2392,0.073909
680.4721,0.073847
680.7051,0.073809
680.9380,0.073732
681.1710,0.073552
681.4039,0.073236
681.6369,0.072800
681.8699,0.072301
682.1028,0.071808
682.3358,0.071369
682.5687,0.071005
682.8017,0.070708
683.0347,0.070463
683.2676,0.070265
683.5006,0.070126
683.7335,0.070059
683.9665,0.070057
684.1995,0.070084
684.4324,0.070075
684.6654,0.069960
684.8983,0.069702
685.1313,0.069318
685.3642,0.068879
685.5972,0.068482
685.8302,0.068206
686.0631,0.068079
686.2961,0.068071
686.5290,0.068107
686.7620,0.068112
686.9950,0.068041
687.2279,0.067902
687.4609,0.067743
687.6938,0.067622
687.9268,0.067572
688.1597,0.067585
688.3927,0.067618
688.6257,0.067616
688.8586,0.067543
689.0916,0.067400
689.3245,0.067219
689.5575,0.067047
689.7905,0.066918
690.0234,0.066841
690.2564,0.066804
690.4893,0.066787
690.7223,0.066780
690.9553,0.066788
691.1882,0.066823
691.4212,0.066892
691.6541,0.066979
