Wavenumber,Intensity
649.9545,0.113820
650.1875,0.113316
650.4205,0.112964
650.6534,0.112716
650.8864,0.112426
651.1193,0.111916
651.3523,0.111082
651.5852,0.109963
651.8182,0.108743
652.0512,0.107663
652.2841,0.106899
652.5171,0.106481
652.7500,0.106286
652.9830,0.106106
653.2160,0.105767
653.4489,0.105223
653.6819,0.104581
653.9148,0.104033
654.1478,0.103739
654.3807,0.103735
654.6137,0.103911
654.8467,0.104071
655.0796,0.104038
655.3126,0.103763
655.5455,0.103346
655.7785,0.102983
656.0115,0.102850
656.2444,0.103005
656.4774,0.103349
656.7103,0.103681
656.9433,0.103805
657.1763,0.103641
657.4092,0.103276
657.6422,0.102914
657.8751,0.102766
658.1081,0.102943
658.3410,0.103396
658.5740,0.103942
658.8070,0.104354
659.0399,0.104477
659.2729,0.104300
659.5058,0.103948
659.7388,0.103608
659.9718,0.103434
660.2047,0.103489
660.4377,0.103736
660.6706,0.104084
660.9036,0.104457
661.1365,0.104832
661.3695,0.105235
661.6025,0.105701
661.8354,0.106219
662.0684,0.106725
662.3013,0.107123
662.5343,0.107351
662.7673,0.107434
663.0002,0.107492
663.2332,0.107692
663.4661,0.108165
663.6991,0.108936
663.9321,0.109901
664.1650,0.110859
664.3980,0.111595
664.6309,0.111966
664.8639,0.111946
665.0968,0.111606
665.3298,0.111064
665.5628,0.110426
665.7957,0.109763
666.0287,0.109141
666.2616,0.108661
666.4946,0.108510
666.7276,0.108972
666.9605,0.110401
667.1935,0.113110
667.4264,0.117155
667.6594,0.122040
667.8923,0.126601
668.1253,0.129504
668.3583,0.130148
668.5912,0.128989
668.8242,0.126978
669.0571,0.124908
669.2901,0.123169
669.5231,0.121819
669.7560,0.120729
669.9890,0.119732
670.2219,0.118725
670.4549,0.117725
670.6879,0.116840
670.9208,0.116202
671.1538,0.115881
671.3867,0.115840
671.6197,0.115951
671.8526,0.116055
672.0856,0.116043
672.3186,0.115905
672.5515,0.115717
672.7845,0.115584
673.0174,0.115561
673.2504,0.115619
673.4834,0.115659
673.7163,0.115571
673.9493,0.115305
674.1822,0.114910
674.4152,0.114517
674.6481,0.114274
674.8811,0.114266
675.1141,0.114482
675.3470,0.114820
675.5800,0.115140
675.8129,0.115340
676.0459,0.115396
676.2789,0.115363
676.5118,0.115320
676.7448,0.115313
676.9777,0.115322
677.2107,0.115264
677.4437,0.115051
677.6766,0.114644
677.9096,0.114085
678.1425,0.113480
678.3755,0.112946
678.6084,0.112552
678.8414,0.112292
679.0744,0.112095
679.3073,0.111876
679.5403,0.111590
679.7732,0.111258
680.0062,0.110952
680.2392,0.110742
680.4721,0.110647
680.7051,0.110607
680.9380,0.110508
681.1710,0.110235
681.4039,0.109730
681.6369,0.109030
681.8699,0.108248
682.1028,0.107519
682.3358,0.106940
682.5687,0.106533
682.8017,0.106246
683.0347,0.105994
683.2676,0.105705
683.5006,0.105354
683.7335,0.104965
683.9665,0.104577
684.1995,0.104207
684.4324,0.103830
684.6654,0.103389
684.8983,0.102835
685.1313,0.102159
685.3642,0.101415
685.5972,0.100699
685.8302,0.100109
686.0631,0.099702
686.2961,0.099473
686.5290,0.099358
686.7620,0.099270
686.9950,0.099142
687.2279,0.098949
687.4609,0.098711
687.6938,0.098467
687.9268,0.098242
688.1597,0.098033
688.3927,0.097814
688.6257,0.097563
688.8586,0.097282
689.0916,0.097009
689.3245,0.096797
689.5575,0.096687
689.7905,0.096679
690.0234,0.096726
690.2564,0.096755
690.4893,0.096703
690.7223,0.096547
690.9553,0.096320
691.1882,0.096085
691.4212,0.095902
691.6541,0.095791
691.8871,0.095725
692.1200,0.095643
692.3530,0.095495
692.5860,0.095268
692.8189,0.095004
693.0519,0.094775
693.2848,0.094648
693.5178,0.094650
693.7508,0.094747
693.9837,0.094866
694.2167,0.094925
694.4496,0.094877
694.6826,0.094723
694.9155,0.094507
695.1485,0.094280
695.3815,0.094069
695.6144,0.093869
695.8474,0.093649
696.0803,0.093386
696.3133,0.093092
696.5463,0.092818
696.7792,0.092638
697.0122,0.092608
697.2451,0.092740
697.4781,0.092986
697.7111,0.093261
697.9440,0.093475
698.1770,0.093575
698.4099,0.093559
698.6429,0.093467
698.8758,0.093350
699.1088,0.093232
699.3418,0.093102
699.5747,0.092920
699.8077,0.092654
700.0406,0.092301
700.2736,0.091901
700.5066,0.091520
700.7395,0.091218
700.9725,0.091017
701.2054,0.090894
701.4384,0.090794
701.6713,0.090663
701.9043,0.090479
702.1373,0.090265
702.3702,0.090074
702.6032,0.089954
702.8361,0.089922
703.0691,0.089951
703.3021,0.089986
703.5350,0.089970
703.7680,0.089882
704.0009,0.089742
704.2339,0.089602
704.4669,0.089511
704.6998,0.089487
704.9328,0.089503
705.1657,0.089506
705.3987,0.089443
705.6316,0.089296
705.8646,0.089092
706.0976,0.088891
706.3305,0.088753
706.5635,0.088707
706.7964,0.088743
707.0294,0.088822
707.2624,0.088903
707.4953,0.088976
707.7283,0.089068
707.9612,0.089227
708.1942,0.089494
708.4271,0.089863
708.6601,0.090279
708.8931,0.090652
709.1260,0.090895
709.3590,0.090964
709.5919,0.090877
709.8249,0.090705
710.0579,0.090536
