Wavenumber,Intensity
649.9545,0.112904
650.1875,0.112040
650.4205,0.111548
650.6534,0.111371
650.8864,0.111333
651.1193,0.111237
651.3523,0.110968
651.5852,0.110544
651.8182,0.110072
652.0512,0.109665
652.2841,0.109355
652.5171,0.109078
652.7500,0.108725
652.9830,0.108226
653.2160,0.107620
653.4489,0.107053
653.6819,0.106700
653.9148,0.106670
654.1478,0.106935
654.3807,0.107344
654.6137,0.107696
654.8467,0.107849
655.0796,0.107798
655.3126,0.107675
655.5455,0.107667
655.7785,0.107894
656.0115,0.108339
656.2444,0.108844
656.4774,0.109201
656.7103,0.109271
656.9433,0.109071
657.1763,0.108779
657.4092,0.108643
657.6422,0.108845
657.8751,0.109400
658.1081,0.110145
658.3410,0.110813
658.5740,0.111164
658.8070,0.111100
659.0399,0.110713
659.2729,0.110224
659.5058,0.109864
659.7388,0.109766
659.9718,0.109923
660.2047,0.110223
660.4377,0.110539
660.6706,0.110807
660.9036,0.111059
661.1365,0.111387
661.3695,0.111862
661.6025,0.112474
661.8354,0.113121
662.0684,0.113662
662.3013,0.113998
662.5343,0.114140
662.7673,0.114217
663.0002,0.114407
663.2332,0.114846
663.4661,0.115551
663.6991,0.116417
663.9321,0.117270
664.1650,0.117956
664.3980,0.118420
664.6309,0.118718
664.8639,0.118966
665.0968,0.119253
665.3298,0.119588
665.5628,0.119898
665.7957,0.120096
666.0287,0.120173
666.2616,0.120263
666.4946,0.120654
666.7276,0.121727
666.9605,0.123857
667.1935,0.127266
667.4264,0.131820
667.6594,0.136818
667.8923,0.141055
668.1253,0.143435
668.3583,0.143727
668.5912,0.142598
668.8242,0.140930
669.0571,0.139288
669.2901,0.137835
669.5231,0.136504
669.7560,0.135178
669.9890,0.133822
670.2219,0.132518
670.4549,0.131423
670.6879,0.130676
670.9208,0.130313
671.1538,0.130235
671.3867,0.130261
671.6197,0.130206
671.8526,0.129986
672.0856,0.129648
672.3186,0.129335
672.5515,0.129196
672.7845,0.129294
673.0174,0.129573
673.2504,0.129893
673.4834,0.130109
673.7163,0.130151
673.9493,0.130066
674.1822,0.129979
674.4152,0.130016
674.6481,0.130222
674.8811,0.130533
675.1141,0.130812
675.3470,0.130919
675.5800,0.130795
675.8129,0.130494
676.0459,0.130146
676.2789,0.129883
676.5118,0.129764
676.7448,0.129745
676.9777,0.129717
677.2107,0.129571
677.4437,0.129269
677.6766,0.128867
677.9096,0.128481
678.1425,0.128210
678.3755,0.128076
678.6084,0.128003
678.8414,0.127860
679.0744,0.127528
679.3073,0.126971
679.5403,0.126254
679.7732,0.125509
680.0062,0.124856
680.2392,0.124343
680.4721,0.123930
680.7051,0.123519
680.9380,0.123019
681.1710,0.122400
681.4039,0.121705
681.6369,0.121015
681.8699,0.120392
682.1028,0.119833
682.3358,0.119271
682.5687,0.118618
682.8017,0.117830
683.0347,0.116948
683.2676,0.116090
683.5006,0.115396
683.7335,0.114948
683.9665,0.114727
684.1995,0.114615
684.4324,0.114452
684.6654,0.114108
684.8983,0.113549
685.1313,0.112846
685.3642,0.112122
685.5972,0.111491
685.8302,0.110991
686.0631,0.110582
686.2961,0.110180
686.5290,0.109720
686.7620,0.109194
686.9950,0.108663
687.2279,0.108207
687.4609,0.107878
687.6938,0.107652
687.9268,0.107446
688.1597,0.107157
688.3927,0.106726
688.6257,0.106178
688.8586,0.105613
689.0916,0.105146
689.3245,0.104849
689.5575,0.104702
689.7905,0.104605
690.0234,0.104437
690.2564,0.104124
690.4893,0.103685
690.7223,0.103221
690.9553,0.102864
691.1882,0.102698
691.4212,0.102714
691.6541,0.102815
691.8871,0.102865
692.1200,0.102767
692.3530,0.102514
692.5860,0.102187
692.8189,0.101909
693.0519,0.101770
693.2848,0.101775
693.5178,0.101838
693.7508,0.101833
693.9837,0.101665
694.2167,0.101323
694.4496,0.100892
694.6826,0.100504
694.9155,0.100263
695.1485,0.100194
695.3815,0.100227
695.6144,0.100245
695.8474,0.100150
696.0803,0.099916
696.3133,0.099611
696.5463,0.099350
696.7792,0.099235
697.0122,0.099295
697.2451,0.099470
697.4781,0.099648
697.7111,0.099721
697.9440,0.099646
698.1770,0.099461
698.4099,0.099262
698.6429,0.099142
698.8758,0.099139
699.1088,0.099218
699.3418,0.099295
699.5747,0.099288
699.8077,0.099162
700.0406,0.098948
700.2736,0.098722
700.5066,0.098550
700.7395,0.098453
700.9725,0.098396
701.2054,0.098306
701.4384,0.098126
701.6713,0.097853
701.9043,0.097544
702.1373,0.097288
702.3702,0.097160
702.6032,0.097177
702.8361,0.097291
703.0691,0.097418
703.3021,0.097484
703.5350,0.097470
703.7680,0.097416
704.0009,0.097403
704.2339,0.097494
704.4669,0.097702
704.6998,0.097975
704.9328,0.098219
705.1657,0.098355
705.3987,0.098349
705.6316,0.098242
705.8646,0.098113
706.0976,0.098045
706.3305,0.098075
706.5635,0.098182
706.7964,0.098303
707.0294,0.098376
707.2624,0.098374
707.4953,0.098324
707.7283,0.098285
707.9612,0.098320
708.1942,0.098455
708.4271,0.098675
708.6601,0.098933
708.8931,0.099183
709.1260,0.099408
709.3590,0.099625
709.5919,0.099866
709.8249,0.100155
710.0579,0.100474
710.2908,0.100775
710.5238,0.100995
710.7567,0.101093
710.9897,0.101076
711.2227,0.100993
711.4556,0.100911
711.6886,0.100873
711.9215,0.100877
712.1545,0.100879
712.3874,0.100816
712.6204,0.100655
712.8534,0.100412
713.0863,0.100152
713.3193,0.099956
713.5522,0.099876
713.7852,0.099910
714.0182,0.100000
714.2511,0.100068
714.4841,0.100058
714.7170,0.099967
714.9500,0.099849
715.1829,0.099780
715.4159,0.099822
715.6489,0.099979
715.8818,0.100206
716.1148,0.100426
716.3477,0.100577
716.5807,0.100642
716.8137,0.100655
717.0466,0.100673
717.2796,0.100745
717.5125,0.100875
717.7455,0.101026
717.9785,0.101142
718.2114,0.101188
718.4444,0.101177
718.6773,0.101169
718.9103,0.101240
719.1432,0.101445
719.3762,0.101782
719.6092,0.102195
719.8421,0.102596
720.0751,0.102911
720.3080,0.103117
720.5410,0.103245
720.7740,0.103361
721.0069,0.103530
721.2399,0.103777
721.4728,0.104084
721.7058,0.104408
721.9387,0.104710
722.1717,0.104980
722.4047,0.105242
722.6376,0.105530
722.8706,0.105862
723.1035,0.106224
723.3365,0.106568
723.5695,0.106848
723.8024,0.107046
724.0354,0.107191
724.2683,0.107356
724.5013,0.107615
724.7343,0.108007
724.9672,0.108513
725.2002,0.109059
725.4331,0.109560
725.6661,0.109961
725.8990,0.110271
726.1320,0.110563
726.3650,0.110933
726.5979,0.111456
726.8309,0.112149
727.0638,0.112965
727.2968,0.113826
727.5298,0.114664
727.7627,0.115467
727.9957,0.116275
728.2286,0.117164
728.4616,0.118197
728.6945,0.119389
728.9275,0.120696
729.1605,0.122041
729.3934,0.123356
729.6264,0.124611
729.8593,0.125830
730.0923,0.127064
730.3253,0.128348
730.5582,0.129665
730.7912,0.130941
731.0241,0.132063
731.2571,0.132933
731.4901,0.133500
731.7230,0.133780
731.9560,0.133828
732.1889,0.133700
732.4219,0.133412
732.6548,0.132932
732.8878,0.132202
733.1208,0.131187
733.3537,0.129904
733.5867,0.128432
733.8196,0.126884
734.0526,0.125356
734.2856,0.123899
734.5185,0.122505
734.7515,0.121136
734.9844,0.119760
735.2174,0.118377
735.4503,0.117026
735.6833,0.115754
735.9163,0.114589
736.1492,0.113514
736.3822,0.112473
736.6151,0.111405
736.8481,0.110277
737.0811,0.109113
737.3140,0.107984
737.5470,0.106975
737.7799,0.106138
738.0129,0.105466
738.2459,0.104895
738.4788,0.104335
738.7118,0.103711
738.9447,0.103005
739.1777,0.102253
739.4106,0.101528
739.6436,0.100898
739.8766,0.100394
740.1095,0.100002
740.3425,0.099683
740.5754,0.099402
740.8084,0.099147
741.0414,0.098940
741.2743,0.098811
741.5073,0.098774
741.7402,0.098810
741.9732,0.098870
742.2061,0.098900
742.4391,0.098873
742.6721,0.098809
742.9050,0.098768
743.1380,0.098822
743.3709,0.099014
743.6039,0.099337
743.8369,0.099733
744.0698,0.100121
744.3028,0.100434
744.5357,0.100654
744.7687,0.100815
745.0017,0.100980
745.2346,0.101210
745.4676,0.101527
745.7005,0.101911
745.9335,0.102313
746.1664,0.102685
746.3994,0.103006
746.6324,0.103285
746.8653,0.103549
747.0983,0.103815
747.3312,0.104075
747.5642,0.104291
747.7972,0.104422
748.0301,0.104448
748.2631,0.104395
748.4960,0.104328
748.7290,0.104328
748.9619,0.104456
749.1949,0.104731
749.4279,0.105127
749.6608,0.105593
749.8938,0.106089
750.1267,0.106604
750.3597,0.107161
750.5927,0.107798
750.8256,0.108538
751.0586,0.109363
751.2915,0.110219
751.5245,0.111030
751.7575,0.111734
751.9904,0.112305
752.2234,0.112758
752.4563,0.113128
752.6893,0.113443
752.9222,0.113704
753.1552,0.113880
753.3882,0.113934
753.6211,0.113850
753.8541,0.113654
754.0870,0.113409
754.3200,0.113187
754.5530,0.113037
754.7859,0.112960
755.0189,0.112910
755.2518,0.112826
755.4848,0.112665
755.7177,0.112427
755.9507,0.112161
756.1837,0.111935
756.4166,0.111798
756.6496,0.111759
756.8825,0.111781
757.1155,0.111802
757.3485,0.111777
757.5814,0.111697
757.8144,0.111600
758.0473,0.111546
758.2803,0.111583
758.5132,0.111724
758.7462,0.111939
758.9792,0.112173
759.2121,0.112383
759.4451,0.112555
759.6780,0.112714
759.9110,0.112904
760.1440,0.113161
760.3769,0.113485
760.6099,0.113842
760.8428,0.114182
761.0758,0.114466
761.3088,0.114694
761.5417,0.114908
761.7747,0.115169
762.0076,0.115526
762.2406,0.115993
762.4735,0.116541
762.7065,0.117115
762.9395,0.117665
763.1724,0.118167
