************************************************************************
Output generated by CrystalDiffract 7 for macOS                         
Copyright (c) 1996-2026 CrystalMaker Software Limited (crystalmaker.com)
************************************************************************
This file looks best in a non-proportional font, e.g., Courier

  h   k   l   d(hkl)    2-Theta     Intensity  I/Imax   m     N        Lp

  1   0   0  10.85472    8.1383   1.16628e-02    0.3%   2     1    98.552
  0   1   1   8.55219   10.3346   3.82943e+00  100.0%   4     2    60.895
  1   1   0   8.08608   10.9321   3.27022e-02    0.9%   4     2    54.360
 -1   1   1   8.04335   10.9904   1.00352e+00   26.2%   4     3    53.779
  1   0  -2   6.66017   13.2823   3.30049e-01    8.6%   2     5    36.642
  0   2   0   6.06030   14.6038   1.39484e-01    3.6%   2     4    30.214
  0   0   2   6.03441   14.6668   2.83363e-01    7.4%   2     4    29.950
  1   1   1   5.88621   15.0382   2.80611e-04    0.0%   4     3    28.462
 -1   1   2   5.83700   15.1657   4.39471e-02    1.1%   4     6    27.976
  2   0   0   5.42736   16.3179   3.77518e-02    1.0%   2     4    24.089
  0   2   1   5.41584   16.3528   1.97486e-02    0.5%   4     5    23.983
 -2   1   1   5.40612   16.3825   1.12217e-01    2.9%   4     6    23.895
  0   1   2   5.40195   16.3952   4.28554e-01   11.2%   4     5    23.857
  2   0  -2   5.37601   16.4749   5.84231e-01   15.3%   2     8    23.621
  1   2   0   5.29146   16.7400   5.53450e-01   14.5%   4     5    22.862
 -1   2   1   5.27943   16.7784   6.38562e-01   16.7%   4     6    22.755
  2   1   0   4.95343   17.8914   1.31302e-01    3.4%   4     5    19.945
 -2   1   2   4.91430   18.0350   1.02160e-03    0.0%   4     9    19.620
  1   2   1   4.50455   19.6912   6.45893e-02    1.7%   4     6    16.371
  1   0   2   4.50130   19.7056   1.04228e-01    2.7%   2     5    16.346
 -1   2   2   4.48238   19.7896   2.57041e-02    0.7%   4     9    16.203
 -2   2   1   4.27816   20.7444   6.84698e-01   17.9%   4     9    14.697
  0   2   2   4.27610   20.7546   2.48167e-01    6.5%   4     8    14.683
  1   1   2   4.21971   21.0351   8.18848e-02    2.1%   4     6    14.279
 -1   1   3   4.18943   21.1888   7.13321e-03    0.2%   4    11    14.065
  2   1   1   4.04801   21.9381   9.89504e-02    2.6%   4     6    13.085
  2   2   0   4.04304   21.9654   1.40461e-02    0.4%   4     8    13.051
 -2   2   2   4.02168   22.0835   2.35037e-01    6.1%   4    12    12.906
 -2   1   3   4.00547   22.1740   3.20110e-01    8.4%   4    14    12.797
  3   0  -2   3.96429   22.4073   9.09722e-02    2.4%   2    13    12.521
  0   3   1   3.83122   23.1962   3.60284e-02    0.9%   4    10    11.649
  0   1   3   3.81812   23.2769   1.50165e-04    0.0%   4    10    11.564
  1   3   0   3.78642   23.4745   4.75867e-01   12.4%   4    10    11.362
 -1   3   1   3.78201   23.5023   2.87175e-01    7.5%   4    11    11.334
 -3   1   1   3.78101   23.5086   1.14888e+00   30.0%   4    11    11.327
 -3   1   2   3.76787   23.5918   1.24377e+00   32.5%   4    14    11.244
  3   0   0   3.61824   24.5823   1.56171e-02    0.4%   2     9    10.315
  1   2   2   3.61357   24.6146   2.43547e-02    0.6%   4     9    10.287
 -1   2   3   3.59451   24.7472   1.17673e+00   30.7%   4    14    10.171
  2   2   1   3.50399   25.3971   1.93889e-03    0.1%   4     9     9.631
 -2   2   3   3.47628   25.6029   5.65218e-01   14.8%   4    17     9.469
  3   1   0   3.46705   25.6722   2.40712e-01    6.3%   4    10     9.415
  1   3   1   3.46443   25.6920   3.11458e-02    0.8%   4    11     9.400
 -1   3   2   3.45431   25.7685   9.38383e-02    2.5%   4    14     9.341
 -3   1   3   3.43690   25.9013   1.36372e-01    3.6%   4    19     9.240
  2   0   2   3.36678   26.4505   3.06322e-02    0.8%   2     8     8.840
 -2   3   1   3.35821   26.5192   9.99560e-03    0.3%   4    14     8.791
  0   3   2   3.35721   26.5272   4.22095e-02    1.1%   4    13     8.786
  0   2   3   3.35169   26.5717   4.17659e-01   10.9%   4    13     8.755
  2   0  -4   3.33008   26.7473   8.65288e-03    0.2%   2    20     8.633
 -3   2   1   3.32650   26.7766   8.99542e-01   23.5%   4    14     8.613
 -3   2   2   3.31754   26.8503   9.84283e-02    2.6%   4    17     8.563
  1   0  -4   3.30546   26.9503   1.08059e-02    0.3%   2    17     8.496
  2   1   2   3.24395   27.4712   2.36792e-01    6.2%   4     9     8.158
  2   3   0   3.24083   27.4982   2.11089e-02    0.6%   4    13     8.141
 -2   3   2   3.22980   27.5940   3.96449e-02    1.0%   4    17     8.081
 -2   1   4   3.21109   27.7579   2.38737e-01    6.2%   4    21     7.980
  1   1   3   3.20765   27.7883   1.68769e-03    0.0%   4    11     7.962
 -1   1   4   3.18900   27.9542   5.52953e-02    1.4%   4    18     7.862
  3   2   0   3.10666   28.7107   1.47314e-05    0.0%   4    13     7.427
 -3   2   3   3.08491   28.9175   6.28933e-04    0.0%   4    22     7.314
  3   0  -4   3.07436   29.0190   8.44136e-04    0.0%   2    25     7.260
  0   4   0   3.03015   29.4518   1.07151e-01    2.8%   2    16     7.034
  4   0  -2   3.02011   29.5519   1.71075e-01    4.5%   2    20     6.983
  0   0   4   3.01721   29.5811   2.84257e-02    0.7%   2    16     6.968
  3   1   1   3.01286   29.6247   2.70662e-03    0.1%   4    11     6.946
  1   3   2   3.00670   29.6868   2.25952e-02    0.6%   4    14     6.915
 -1   3   3   2.99569   29.7984   5.17414e-01   13.5%   4    19     6.860
 -3   1   4   2.97999   29.9591   7.74624e-03    0.2%   4    26     6.781
  2   2   2   2.94310   30.3435   5.39083e-05    0.0%   4    12     6.598
  2   3   1   2.94268   30.3480   6.77270e-02    1.8%   4    14     6.596
  0   4   1   2.93893   30.3876   1.51018e-04    0.0%   4    17     6.578
 -4   1   2   2.93051   30.4771   1.94376e-01    5.1%   4    21     6.536
  0   1   4   2.92785   30.5054   6.45839e-02    1.7%   4    17     6.523
 -2   3   3   2.92622   30.5229   3.70709e-02    1.0%   4    22     6.515
  1   4   0   2.91856   30.6049   1.53191e-01    4.0%   4    17     6.478
 -2   2   4   2.91850   30.6056   1.34716e-02    0.4%   4    24     6.478
 -1   4   1   2.91654   30.6266   3.33075e-02    0.9%   4    18     6.468
  1   2   3   2.91591   30.6334   2.45471e-03    0.1%   4    14     6.465
 -1   2   4   2.90188   30.7852   3.98346e-02    1.0%   4    21     6.397
 -4   1   1   2.85531   31.3000   1.61515e-01    4.2%   4    18     6.173
  0   3   3   2.85073   31.3516   2.30160e-04    0.0%   4    18     6.151
 -4   1   3   2.84026   31.4701   1.13150e-03    0.0%   4    26     6.101
 -3   3   1   2.83519   31.5280   3.31936e-06    0.0%   4    19     6.077
 -3   3   2   2.82963   31.5915   3.69548e-03    0.1%   4    22     6.050
  3   2   1   2.76728   32.3226   3.04872e-01    8.0%   4    14     5.759
  1   4   1   2.76325   32.3710   3.34809e-02    0.9%   4    18     5.740
 -1   4   2   2.75811   32.4330   9.13080e-03    0.2%   4    21     5.716
 -3   2   4   2.74174   32.6320   1.34340e-02    0.4%   4    29     5.641
  4   0   0   2.71368   32.9790   1.33950e-01    3.5%   2    16     5.513
 -2   4   1   2.70845   33.0446   3.09582e-02    0.8%   4    21     5.490
  0   4   2   2.70792   33.0512   1.44715e-02    0.4%   4    20     5.487
 -4   2   2   2.70306   33.1123   1.92900e-01    5.0%   4    24     5.465
  0   2   4   2.70097   33.1386   5.72061e-02    1.5%   4    20     5.456
  3   3   0   2.69536   33.2096   2.99836e-02    0.8%   4    18     5.431
  4   0  -4   2.68800   33.3032   6.64475e-03    0.2%   2    32     5.398
