************************************************************************
Output generated by CrystalDiffract 7 for macOS                         
Copyright (c) 1996-2026 CrystalMaker Software Limited (crystalmaker.com)
************************************************************************
This file looks best in a non-proportional font, e.g., Courier

  h   k   l   d(hkl)    2-Theta     Intensity  I/Imax   m     N        Lp

  1   1   0  16.15128    5.4669   3.51998e-03    0.2%   4     2   219.099
  2   0   0  16.15100    5.4670   4.30246e-03    0.2%   2     4   219.091
 -1   1   1  13.41652    6.5824   3.67821e-03    0.2%   4     3   150.953
  1   1   1  13.27831    6.6510   2.12723e-03    0.1%   4     3   147.843
  0   0   2  11.85057    7.4534   1.49136e+00   73.2%   2     4   117.607
  2   0  -2   9.65757    9.1491   5.76733e-06    0.0%   2     8    77.858
 -1   1   2   9.60569    9.1986   9.84367e-03    0.5%   4     6    77.016
  1   1   2   9.50428    9.2970   2.89433e-05    0.0%   4     6    75.383
  2   0   2   9.45471    9.3458   4.45959e-03    0.2%   2     8    74.591
  0   2   0   9.32500    9.4761   2.07966e-03    0.1%   2     4    72.538
  3   1   0   9.32484    9.4763   7.05245e-03    0.3%   4    10    72.535
 -3   1   1   8.73494   10.1179   2.24762e-04    0.0%   4    11    63.558
  0   2   1   8.67753   10.1850   3.46548e-03    0.2%   4     5    62.715
  3   1   1   8.62099   10.2520   2.60244e-02    1.3%   4    11    61.891
  2   2   0   8.07564   10.9463   3.99358e-01   19.6%   4     8    54.218
  4   0   0   8.07550   10.9465   3.65253e-01   17.9%   2    16    54.216
 -2   2   1   7.67019   11.5268   3.58917e-01   17.6%   4     9    48.838
  2   2   1   7.61827   11.6057   2.03804e+00  100.0%   4     9    48.169
 -3   1   2   7.39779   11.9528   5.80530e-02    2.8%   4    14    45.380
  0   2   2   7.32826   12.0666   5.70697e-04    0.0%   4     8    44.517
  3   1   2   7.26050   12.1797   3.55975e-02    1.7%   4    14    43.684
 -1   1   3   7.12822   12.4066   1.41315e-04    0.0%   4    11    42.080
  1   1   3   7.06589   12.5165   4.49440e-03    0.2%   4    11    41.335
  4   0  -2   6.74355   13.1173   5.37449e-01   26.4%   2    20    37.584
 -2   2   2   6.70826   13.1866   1.18710e-02    0.6%   4    12    37.184
  2   2   2   6.63915   13.3245   4.73869e-01   23.3%   4    12    36.407
  4   0   2   6.60532   13.3931   2.15243e-02    1.1%   2    20    36.029
  1   3   0   6.10464   14.4972   9.69469e-04    0.0%   4    10    30.668
  4   2   0   6.10456   14.4974   1.97717e-05    0.0%   4    20    30.667
  5   1   0   6.10452   14.4975   6.15997e-03    0.3%   4    26    30.667
 -3   1   3   6.08593   14.5420   6.42519e-02    3.2%   4    19    30.476
  0   2   3   6.02785   14.6829   3.88167e-05    0.0%   4    13    29.883
  3   1   3   5.97132   14.8226   2.03076e-02    1.0%   4    19    29.312
 -5   1   1   5.94184   14.8966   7.30938e-04    0.0%   4    27    29.016
 -4   2   1   5.93579   14.9119   4.20505e-04    0.0%   4    21    28.955
  0   0   4   5.92528   14.9385   7.67740e-01   37.7%   2    16    28.850
 -1   3   1   5.91771   14.9577   1.65336e-02    0.8%   4    11    28.775
  1   3   1   5.90570   14.9883   1.18757e-02    0.6%   4    11    28.655
  4   2   1   5.88775   15.0342   6.07604e-04    0.0%   4    21    28.477
  5   1   1   5.88179   15.0496   4.33603e-02    2.1%   4    27    28.418
 -2   2   3   5.67903   15.5902   5.98184e-01   29.4%   4    17    26.443
  2   2   3   5.61621   15.7657   4.71814e-02    2.3%   4    17    25.845
  2   0  -4   5.60321   15.8025   7.82384e-06    0.0%   2    20    25.722
 -1   1   4   5.58288   15.8604   1.20493e-06    0.0%   4    18    25.531
  1   1   4   5.54285   15.9757   3.37682e-03    0.2%   4    18    25.156
  2   0   4   5.52315   16.0330   4.94398e-04    0.0%   2    20    24.972
 -5   1   2   5.47388   16.1783   6.12681e-03    0.3%   4    30    24.516
 -4   2   2   5.46440   16.2066   1.97653e-04    0.0%   4    24    24.428
 -1   3   2   5.43622   16.2911   2.07959e-01   10.2%   4    14    24.170
  1   3   2   5.41764   16.3474   1.67889e-02    0.8%   4    14    24.000
  4   2   2   5.39007   16.4316   3.02344e-05    0.0%   4    24    23.749
  3   3   0   5.38376   16.4510   7.30364e-04    0.0%   4    18    23.692
  6   0   0   5.38367   16.4513   2.75681e-04    0.0%   2    36    23.691
  5   1   2   5.38096   16.4596   1.13744e-01    5.6%   4    30    23.666
 -3   3   1   5.26268   16.8322   1.11000e-03    0.1%   4    19    22.606
  3   3   1   5.23745   16.9139   2.37582e-03    0.1%   4    19    22.383
 -3   1   4   5.04525   17.5632   5.09720e-04    0.0%   4    26    20.718
