************************************************************************
Output generated by CrystalDiffract 7 for macOS                         
Copyright (c) 1996-2026 CrystalMaker Software Limited (crystalmaker.com)
************************************************************************
This file looks best in a non-proportional font, e.g., Courier

  h   k   l   d(hkl)    2-Theta     Intensity  I/Imax   m     N        Lp

  1   0  -1   9.71419    9.0957   6.50473e-01   35.5%   2     2    78.782
  0   1   1   9.00623    9.8123   1.30066e+00   71.1%   4     2    67.614
  1   1   0   8.10983   10.9000   8.56605e-01   46.8%   4     2    54.684
 -1   1   1   7.68678   11.5019   1.01047e+00   55.2%   4     3    49.053
  1   0   1   7.22430   12.2409   1.78089e-01    9.7%   2     2    43.242
  0   0   2   6.45422   13.7081   2.98299e-01   16.3%   2     4    34.367
  0   2   0   6.28585   14.0771   1.80080e+00   98.4%   2     4    32.560
  1   1   1   6.26374   14.1270   7.64122e-02    4.2%   4     3    32.326
  0   1   2   5.74175   15.4188   5.04185e-01   27.6%   4     5    27.046
 -1   1   2   5.71226   15.4989   1.61993e-01    8.9%   4     6    26.762
  0   2   1   5.65141   15.6668   2.15437e-01   11.8%   4     5    26.179
  1   2   0   5.40847   16.3753   1.84377e-03    0.1%   4     5    23.916
  2   0   0   5.30672   16.6915   1.02390e-01    5.6%   2     4    22.998
 -1   2   1   5.27736   16.7850   1.77393e-01    9.7%   4     6    22.736
 -2   1   1   5.04594   17.5608   1.50016e-01    8.2%   4     6    20.724
  2   1   0   4.88900   18.1292   4.53557e-01   24.8%   4     5    19.411
  2   0  -2   4.85710   18.2492   1.28520e-01    7.0%   2     8    19.149
  1   2   1   4.74208   18.6958   9.76132e-02    5.3%   4     6    18.220
  1   1   2   4.57515   19.3844   2.12539e-02    1.2%   4     6    16.910
 -2   1   2   4.53071   19.5764   3.54104e-01   19.4%   4     9    16.570
  0   2   2   4.50312   19.6975   4.35327e-01   23.8%   4     8    16.360
 -1   2   2   4.48885   19.7608   2.46807e-01   13.5%   4     9    16.252
  1   0  -3   4.47014   19.8443   1.76387e-01    9.6%   2    10    16.111
 -1   1   3   4.21181   21.0750   4.52099e-01   24.7%   4    11    14.223
  2   1   1   4.21069   21.0806   2.69595e-03    0.1%   4     6    14.215
 -2   2   1   4.14312   21.4284   4.97236e-01   27.2%   4     9    13.741
  0   1   3   4.07097   21.8128   1.75568e-02    1.0%   4    10    13.242
  2   2   0   4.05491   21.9003   7.32953e-02    4.0%   4     8    13.132
  0   3   1   3.98580   22.2849   3.74960e-01   20.5%   4    10    12.665
  1   3   0   3.89775   22.7950   3.29180e-02    1.8%   4    10    12.081
  1   2   2   3.87041   22.9581   1.33323e-01    7.3%   4     9    11.902
 -1   3   1   3.84781   23.0949   8.41727e-02    4.6%   4    11    11.756
 -2   2   2   3.84339   23.1217   4.93402e-01   27.0%   4    12    11.727
 -2   1   3   3.77536   23.5443   4.66200e-01   25.5%   4    14    11.291
  3   0  -1   3.69982   24.0321   2.50243e-04    0.0%   2    10    10.817
 -1   2   3   3.64291   24.4133   2.72021e-01   14.9%   4    14    10.465
  2   2   1   3.64218   24.4182   3.99518e-01   21.8%   4     9    10.461
  1   0   3   3.63372   24.4760   1.41132e-02    0.8%   2    10    10.409
  1   3   1   3.62487   24.5367   2.61413e-02    1.4%   4    11    10.355
  2   0   2   3.61215   24.6244   4.78024e-02    2.6%   2     8    10.278
  0   2   3   3.55063   25.0580   9.31871e-02    5.1%   4    13     9.908
 -3   1   1   3.54930   25.0675   9.64922e-02    5.3%   4    11     9.900
  0   3   2   3.51472   25.3182   1.33621e-02    0.7%   4    13     9.695
 -1   3   2   3.50792   25.3681   1.34707e+00   73.6%   4    14     9.654
  1   1   3   3.49082   25.4944   3.47878e-01   19.0%   4    11     9.554
  2   1   2   3.47169   25.6373   4.38373e-01   24.0%   4     9     9.442
 -3   1   2   3.43930   25.8829   1.24458e-01    6.8%   4    14     9.254
  3   1   0   3.40553   26.1441   1.90935e-03    0.1%   4    10     9.060
 -2   2   3   3.34936   26.5905   1.82995e+00  100.0%   4    17     8.742
 -2   3   1   3.33532   26.7045   9.28022e-03    0.5%   4    14     8.663
  2   3   0   3.28879   27.0895   2.12203e-01   11.6%   4    13     8.404
 -1   1   4   3.25991   27.3341   7.13785e-02    3.9%   4    18     8.245
  3   0  -3   3.23806   27.5221   1.43151e-03    0.1%   2    18     8.126
  0   0   4   3.22711   27.6174   1.09563e-01    6.0%   2    16     8.067
  2   0  -4   3.20621   27.8010   1.52450e-02    0.8%   2    20     7.954
 -3   2   1   3.18850   27.9586   4.14146e-03    0.2%   4    14     7.859
  1   3   2   3.18802   27.9629   4.03964e-02    2.2%   4    14     7.857
