************************************************************************
Output generated by CrystalDiffract 7 for macOS                         
Copyright (c) 1996-2026 CrystalMaker Software Limited (crystalmaker.com)
************************************************************************
This file looks best in a non-proportional font, e.g., Courier

  h   k   l   d(hkl)    2-Theta     Intensity  I/Imax   m     N        Lp

  1   0   0  11.24042    7.8585   8.22114e-01   31.5%   2     1   105.734
  0   1   1   8.28401   10.6702   1.24373e+00   47.7%   4     2    57.091
  0   0   2   8.19193   10.7905   2.60728e+00  100.0%   2     4    55.812
  1   1   0   7.30076   12.1123   1.16551e-01    4.5%   4     2    44.178
  1   0  -2   6.77324   13.0596   2.28034e-01    8.7%   2     5    37.922
 -1   1   1   6.74547   13.1136   1.27129e+00   48.8%   4     3    37.606
  1   1   1   6.59438   13.4154   7.70948e-02    3.0%   4     3    35.908
  1   0   2   6.47731   13.6590   9.45069e-02    3.6%   2     5    34.618
  0   1   2   6.23200   14.1994   1.96003e-03    0.1%   4     5    31.992
  2   0   0   5.62021   15.7544   6.22166e-01   23.9%   2     4    25.883
 -1   1   2   5.53474   15.9992   8.24531e-02    3.2%   4     6    25.080
  1   1   2   5.36972   16.4943   7.17535e-01   27.5%   4     6    23.564
  2   1   0   4.85040   18.2747   1.09448e-02    0.4%   4     5    19.095
  0   2   0   4.80090   18.4647   2.62626e-04    0.0%   2     4    18.692
  0   1   3   4.74714   18.6757   1.34864e-01    5.2%   4    10    18.260
  2   0  -2   4.73923   18.7071   1.49056e-01    5.7%   2     8    18.197
 -2   1   1   4.70297   18.8527   1.42320e-01    5.5%   4     6    17.909
  0   2   1   4.60718   19.2484   1.44177e-02    0.6%   4     5    17.158
  2   1   1   4.60046   19.2767   7.82194e-02    3.0%   4     6    17.106
  2   0   2   4.53621   19.5524   9.95240e-02    3.8%   2     8    16.612
 -1   1   3   4.43846   19.9874   1.49469e-02    0.6%   4    11    15.873
  1   2   0   4.41506   20.0945   3.81878e-01   14.6%   4     5    15.699
  1   1   3   4.31061   20.5866   3.43111e-01   13.2%   4    11    14.932
 -1   2   1   4.28285   20.7215   4.22341e-01   16.2%   4     6    14.731
 -2   1   2   4.24976   20.8847   1.78613e-01    6.9%   4     9    14.494
  1   2   1   4.24339   20.9163   1.60608e-01    6.2%   4     6    14.448
  0   2   2   4.14201   21.4343   2.42164e-01    9.3%   4     8    13.733
  2   1   2   4.10153   21.6484   5.17008e-01   19.8%   4     9    13.452
  0   0   4   4.09596   21.6781   1.51833e-01    5.8%   2    16    13.414
 -1   2   2   3.91678   22.6827   3.78210e-01   14.5%   4     9    12.206
  1   0  -4   3.90782   22.7354   5.50209e-03    0.2%   2    17    12.147
  1   2   2   3.85697   23.0392   2.60707e-01   10.0%   4     9    11.815
  1   0   4   3.79164   23.4418   6.64647e-02    2.5%   2    17    11.395
  0   1   4   3.76749   23.5942   8.81609e-03    0.3%   4    17    11.241
  3   0   0   3.74681   23.7263   4.10260e-01   15.7%   2     9    11.111
 -2   1   3   3.70173   24.0195   6.50398e-02    2.5%   4    14    10.829
  2   2   0   3.65038   24.3626   1.92654e-02    0.7%   4     8    10.511
 -1   1   4   3.61954   24.5734   3.23197e-01   12.4%   4    18    10.323
  0   2   3   3.60575   24.6688   3.06644e-02    1.2%   4    13    10.239
 -2   2   1   3.58628   24.8049   4.11271e-01   15.8%   4     9    10.121
  2   1   3   3.55583   25.0207   4.71571e-02    1.8%   4    14     9.939
  2   2   1   3.54020   25.1330   1.88479e+00   72.3%   4     9     9.846
  1   1   4   3.52663   25.2312   1.07112e-01    4.1%   4    18     9.765
  3   1   0   3.49047   25.4970   5.01941e-01   19.3%   4    10     9.552
  3   0  -2   3.46942   25.6544   8.62818e-05    0.0%   2    13     9.429
 -1   2   3   3.46476   25.6894   1.22678e-03    0.0%   4    14     9.402
 -3   1   1   3.44466   25.8419   3.30160e-01   12.7%   4    11     9.285
  1   2   3   3.40291   26.1646   1.90709e-02    0.7%   4    14     9.045
  2   0  -4   3.38662   26.2927   2.84697e-03    0.1%   2    20     8.952
  3   1   1   3.38386   26.3145   8.42632e-03    0.3%   4    11     8.937
 -2   2   2   3.37273   26.4029   5.22843e-01   20.1%   4    12     8.873
  3   0   2   3.34844   26.5980   1.82530e-01    7.0%   2    13     8.736
  2   2   2   3.29719   27.0192   2.00666e+00   77.0%   4    12     8.450
 -3   1   2   3.26295   27.3082   6.51005e-01   25.0%   4    14     8.262
  2   0   4   3.23866   27.5170   9.72248e-02    3.7%   2    20     8.129
 -2   1   4   3.19378   27.9114   1.26663e-02    0.5%   4    21     7.887
  3   1   2   3.16170   28.2004   5.20025e-03    0.2%   4    14     7.716
  0   3   1   3.14122   28.3881   9.17691e-02    3.5%   4    10     7.608
  0   2   4   3.11600   28.6228   6.42231e-03    0.2%   4    20     7.476
  0   1   5   3.10116   28.7627   1.90180e-02    0.7%   4    26     7.399
 -2   2   3   3.07849   28.9792   1.24101e-02    0.5%   4    17     7.281
  1   3   0   3.07824   28.9815   3.39787e-02    1.3%   4    10     7.280
  2   1   4   3.06879   29.0728   3.50187e-03    0.1%   4    21     7.231
 -1   3   1   3.03239   29.4296   3.88816e-02    1.5%   4    11     7.045
 -1   2   4   3.03072   29.4461   1.43732e-01    5.5%   4    21     7.037
 -1   1   5   3.02408   29.5123   3.93511e-02    1.5%   4    27     7.003
  1   3   1   3.01828   29.5702   8.95607e-03    0.3%   4    11     6.974
 -3   1   3   3.00118   29.7426   8.62791e-03    0.3%   4    19     6.887
  2   2   3   2.99303   29.8255   5.37757e-02    2.1%   4    17     6.846
  0   3   2   2.98114   29.9472   3.89884e-05    0.0%   4    13     6.787
  1   2   4   2.97556   30.0048   7.12093e-02    2.7%   4    21     6.759
  1   1   5   2.95602   30.2077   2.09987e-02    0.8%   4    27     6.662
  3   2   0   2.95374   30.2317   1.37877e-01    5.3%   4    13     6.651
 -3   2   1   2.92582   30.5271   4.41250e-02    1.7%   4    14     6.514
 -1   3   2   2.89379   30.8734   5.22168e-04    0.0%   4    14     6.358
  3   2   1   2.88829   30.9336   7.68375e-02    2.9%   4    14     6.331
  3   1   3   2.88446   30.9758   2.13262e-01    8.2%   4    19     6.312
  1   3   2   2.86942   31.1423   2.49013e-02    1.0%   4    14     6.240
  3   0  -4   2.83153   31.5698   2.50260e-02    1.0%   2    25     6.059
 -3   2   2   2.81200   31.7947   5.92206e-02    2.3%   4    17     5.967
  4   0   0   2.81010   31.8168   6.97123e-02    2.7%   2    16     5.958
  2   3   0   2.78123   32.1560   5.11867e-02    2.0%   4    13     5.823
 -2   1   5   2.76769   32.3176   7.27580e-05    0.0%   4    30     5.761
 -2   2   4   2.76737   32.3215   2.81204e-03    0.1%   4    24     5.759
  0   3   3   2.76134   32.3940   2.39035e-02    0.9%   4    18     5.731
