************************************************************************
Output generated by CrystalDiffract 7 for macOS                         
Copyright (c) 1996-2026 CrystalMaker Software Limited (crystalmaker.com)
************************************************************************
This file looks best in a non-proportional font, e.g., Courier

  h   k   l   d(hkl)    2-Theta     Intensity  I/Imax   m     N        Lp

  1   0   0  18.03042    4.8968   1.17132e-03    0.0%   2     1   273.231
  1   1   0   9.69934    9.1096   3.79096e-02    1.2%   4     2    78.539
  2   0   0   9.01521    9.8025   3.38724e-01   11.1%   2     4    67.750
  0   1   1   8.96177    9.8611   3.85072e-01   12.7%   4     2    66.940
 -1   1   1   8.76897   10.0785   1.20509e-01    4.0%   4     3    64.060
  1   0  -2   7.53312   11.7373   4.00621e-04    0.0%   2     5    47.082
  1   1   1   7.44329   11.8795   8.55771e-02    2.8%   4     3    45.949
  0   0   2   7.14455   12.3781   7.05525e-01   23.2%   2     4    42.277
 -2   1   1   7.12283   12.4160   4.11809e-01   13.5%   4     6    42.016
  2   1   0   7.09638   12.4625   5.31354e-01   17.5%   4     5    41.699
  2   0  -2   6.77209   13.0618   1.01151e+00   33.3%   2     8    37.909
 -1   1   2   6.30249   14.0397   1.33448e-02    0.4%   4     6    32.736
  0   1   2   6.06961   14.5813   8.71886e-01   28.7%   4     5    30.309
  3   0   0   6.01014   14.7264   3.48015e-05    0.0%   2     9    29.704
  1   0   2   6.00716   14.7337   9.74423e-04    0.0%   2     5    29.673
 -2   1   2   5.83624   15.1677   8.51086e-01   28.0%   4     9    27.968
  2   1   1   5.79283   15.2821   2.58100e-06    0.0%   4     6    27.543
  0   2   0   5.75300   15.3885   7.35667e-03    0.2%   2     4    27.155
  3   0  -2   5.57797   15.8744   7.31338e-03    0.2%   2    13    25.485
 -3   1   1   5.54121   15.9804   3.03759e-03    0.1%   4    11    25.141
  1   2   0   5.48077   16.1578   2.51774e-02    0.8%   4     5    24.579
  0   2   1   5.33670   16.5971   1.43493e-01    4.7%   4     5    23.267
  3   1   0   5.32717   16.6270   1.84078e-02    0.6%   4    10    23.181
  1   1   2   5.32509   16.6335   5.50963e-02    1.8%   4     6    23.162
 -1   2   1   5.29512   16.7283   3.13985e-02    1.0%   4     6    22.894
 -3   1   2   5.01926   17.6549   1.27945e-03    0.0%   4    14    20.498
  1   2   1   4.95619   17.8814   6.41942e-05    0.0%   4     6    19.968
  2   0   2   4.88040   18.1614   1.62253e-02    0.5%   2     8    19.341
 -2   2   1   4.85809   18.2455   9.39734e-03    0.3%   4     9    19.158
  2   2   0   4.84967   18.2774   2.00060e-01    6.6%   4     8    19.089
 -1   1   3   4.60574   19.2544   4.90717e-03    0.2%   4    11    17.147
  3   1   1   4.57856   19.3698   2.94768e-01    9.7%   4    11    16.937
 -1   2   2   4.57217   19.3971   1.30958e-03    0.0%   4     9    16.888
  4   0  -2   4.53482   19.5585   2.08445e-02    0.7%   2    20    16.601
 -2   1   3   4.52670   19.5939   1.50586e-02    0.5%   4    14    16.539
  4   0   0   4.50761   19.6777   1.39017e-01    4.6%   2    16    16.394
  2   1   2   4.49294   19.7426   2.63217e-02    0.9%   4     9    16.283
  0   2   2   4.48089   19.7962   6.33455e-02    2.1%   4     8    16.192
 -4   1   1   4.40321   20.1491   5.01560e-02    1.6%   4    18    15.611
  0   1   3   4.40086   20.1599   3.86890e-02    1.3%   4    10    15.594
 -2   2   2   4.38448   20.2360   1.60008e-01    5.3%   4    12    15.473
  2   2   1   4.36599   20.3227   1.02771e+00   33.8%   4     9    15.336
 -3   2   1   4.25518   20.8577   7.75355e-04    0.0%   4    14    14.532
 -4   1   2   4.21897   21.0388   1.37767e-02    0.5%   4    21    14.274
 -3   1   3   4.20277   21.1208   5.97504e-05    0.0%   4    19    14.159
  4   1   0   4.19702   21.1501   3.09894e-01   10.2%   4    17    14.119
  3   2   0   4.15592   21.3617   3.04351e-02    1.0%   4    13    13.830
  1   2   2   4.15493   21.3668   1.14306e-04    0.0%   4     9    13.823
  1   1   3   4.00719   22.1644   1.25282e-01    4.1%   4    11    12.809
 -3   2   2   4.00467   22.1785   5.98500e-03    0.2%   4    17    12.792
  3   0   2   4.00290   22.1885   2.36359e-02    0.8%   2    13    12.780
 -1   2   3   3.78500   23.4835   4.05177e-03    0.1%   4    14    11.353
  3   1   2   3.78064   23.5109   1.85996e-01    6.1%   4    14    11.325
  3   2   1   3.76987   23.5791   8.59305e-04    0.0%   4    14    11.257
  2   0  -4   3.76656   23.6001   3.79238e-01   12.5%   2    20    11.236
 -4   1   3   3.76410   23.6158   1.23519e-01    4.1%   4    26    11.220
  1   3   0   3.75140   23.6968   5.40071e-01   17.8%   4    10    11.140
  5   0  -2   3.74591   23.7321   1.90911e-04    0.0%   2    29    11.105
  1   0  -4   3.74374   23.7460   2.44061e-02    0.8%   2    17    11.091
 -2   2   3   3.74077   23.7652   2.96107e-01    9.7%   4    17    11.073
  4   1   1   3.73308   23.8149   2.11847e-02    0.7%   4    18    11.024
  2   2   2   3.72165   23.8891   9.88161e-02    3.3%   4    12    10.953
  0   3   1   3.70422   24.0031   2.32481e-02    0.8%   4    10    10.844
 -1   3   1   3.69023   24.0955   7.49779e-03    0.2%   4    11    10.757
 -4   2   1   3.67017   24.2292   2.49680e-03    0.1%   4    21    10.633
  0   2   3   3.66881   24.2383   1.47627e-01    4.9%   4    13    10.625
  3   0  -4   3.63270   24.4829   1.02014e-04    0.0%   2    25    10.403
 -5   1   1   3.60987   24.6402   1.30382e-01    4.3%   4    27    10.264
  5   0   0   3.60608   24.6665   8.43751e-04    0.0%   2    25    10.241
 -2   1   4   3.57964   24.8516   8.33197e-04    0.0%   4    21    10.081
  0   0   4   3.57227   24.9037   3.04007e+00  100.0%   2    16    10.037
  1   3   1   3.56965   24.9223   1.21697e-03    0.0%   4    11    10.021
 -5   1   2   3.56190   24.9774   9.53606e-05    0.0%   4    30     9.975
