************************************************************************
Output generated by CrystalDiffract 7 for macOS                         
Copyright (c) 1996-2026 CrystalMaker Software Limited (crystalmaker.com)
************************************************************************
This file looks best in a non-proportional font, e.g., Courier

  h   k   l   d(hkl)    2-Theta     Intensity  I/Imax   m     N        Lp

  1   0  -1  13.17002    6.7057   2.92696e-01   12.2%   2     2   145.429
  1   0   1   9.21958    9.5847   2.40167e+00  100.0%   2     2    70.890
  0   0   2   8.10850   10.9018   1.04863e-03    0.0%   2     4    54.666
  2   0   0   7.09768   12.4602   1.26524e-02    0.5%   2     4    41.714
  0   1   1   6.60361   13.3965   7.18821e-01   29.9%   4     2    36.010
  2   0  -2   6.58501   13.4346   4.54979e-01   18.9%   2     8    35.804
  1   1   0   6.44265   13.7328   1.88034e-02    0.8%   4     2    34.241
 -1   1   1   6.33792   13.9609   1.26252e+00   52.6%   4     3    33.113
  1   0  -3   5.75574   15.3811   1.71754e-01    7.2%   2    10    27.182
  1   1   1   5.68936   15.5617   1.85487e-01    7.7%   4     3    26.542
 -1   1   2   5.47978   16.1608   1.16450e-01    4.8%   4     6    24.570
  0   1   2   5.39643   16.4121   1.00228e-01    4.2%   4     5    23.807
 -2   1   1   5.21408   16.9902   7.22618e-01   30.1%   4     6    22.177
  2   1   0   5.06502   17.4941   3.33250e-02    1.4%   4     5    20.887
  3   0  -1   5.03367   17.6039   1.32872e-01    5.5%   2    10    20.620
 -2   1   2   4.86846   18.2063   9.94612e-02    4.1%   4     9    19.242
  1   1   2   4.69837   18.8713   7.38957e-01   30.8%   4     6    17.872
  2   0   2   4.60979   19.2373   4.92426e-01   20.5%   2     8    17.178
  1   0   3   4.55567   19.4681   1.17290e-01    4.9%   2    10    16.761
  2   1   1   4.52766   19.5897   1.08780e-01    4.5%   4     6    16.547
 -1   1   3   4.50310   19.6976   1.55950e-01    6.5%   4    11    16.360
  3   0  -3   4.39001   20.2103   3.58081e-04    0.0%   2    18    15.513
  0   1   3   4.32941   20.4962   1.72063e-02    0.7%   4    10    15.069
 -2   1   3   4.25614   20.8530   2.80568e-02    1.2%   4    14    14.539
  2   0  -4   4.19990   21.1354   1.84700e+00   76.9%   2    20    14.139
  3   0   1   4.17158   21.2806   5.24782e-01   21.9%   2    10    13.940
 -3   1   1   4.13110   21.4915   6.16514e-01   25.7%   4    11    13.657
  0   0   4   4.05425   21.9039   1.90708e-02    0.8%   2    16    13.128
 -3   1   2   4.04873   21.9341   2.23845e-01    9.3%   4    14    13.090
  3   1   0   3.95927   22.4361   8.60112e-02    3.6%   4    10    12.487
  2   1   2   3.88697   22.8590   3.85093e-02    1.6%   4     9    12.010
  1   1   3   3.85436   23.0550   3.81056e-01   15.9%   4    11    11.798
  4   0  -2   3.76318   23.6216   2.94565e-01   12.3%   2    20    11.214
 -3   1   3   3.75247   23.6900   1.48884e-02    0.6%   4    19    11.146
 -1   1   4   3.70289   24.0119   1.59037e-01    6.6%   4    18    10.836
 -2   1   4   3.63165   24.4901   1.80555e-01    7.5%   4    21    10.397
  0   2   0   3.61510   24.6040   2.44998e-01   10.2%   2     4    10.296
  3   1   1   3.61329   24.6165   2.56056e-01   10.7%   4    11    10.285
  4   0   0   3.54884   25.0708   4.82000e-01   20.1%   2    16     9.897
  0   1   4   3.53624   25.1616   7.16218e-02    3.0%   4    17     9.822
  0   2   1   3.52849   25.2178   2.03406e-01    8.5%   4     5     9.776
  1   2   0   3.50328   25.4022   7.89266e-04    0.0%   4     5     9.627
 -1   2   1   3.48615   25.5292   1.33750e-01    5.6%   4     6     9.527
  1   0  -5   3.42947   25.9584   1.95406e-03    0.1%   2    26     9.197
  1   2   1   3.36561   26.4598   7.78423e-02    3.2%   4     6     8.833
 -3   1   4   3.35889   26.5137   6.44304e-01   26.8%   4    26     8.795
 -4   1   2   3.33810   26.6819   3.11012e-03    0.1%   4    21     8.678
 -4   1   1   3.32716   26.7713   2.77640e-01   11.6%   4    18     8.617
 -1   2   2   3.32062   26.8249   2.82057e-01   11.7%   4     9     8.581
  2   1   3   3.31135   26.9015   3.17137e-02    1.3%   4    14     8.529
  0   2   2   3.30181   26.9807   3.54816e-03    0.1%   4     8     8.476
  4   0  -4   3.29250   27.0583   3.86658e-01   16.1%   2    32     8.425
 -2   2   1   3.25868   27.3446   5.18418e-02    2.2%   4     9     8.239
  3   0  -5   3.24906   27.4272   1.82536e-01    7.6%   2    34     8.186
  2   2   0   3.22133   27.6680   8.39863e-03    0.3%   4     8     8.036
 -4   1   3   3.21484   27.7249   3.82643e-03    0.2%   4    26     8.001
  1   1   4   3.21198   27.7501   8.64324e-03    0.4%   4    18     7.985
  3   1   2   3.21081   27.7604   4.45104e-01   18.5%   4    14     7.979
  4   1   0   3.18577   27.9830   6.90273e-02    2.9%   4    17     7.845
 -2   2   2   3.16896   28.1345   1.15535e-03    0.0%   4    12     7.755
  1   2   2   3.12060   28.5797   1.24398e-01    5.2%   4     9     7.500
 -2   1   5   3.10022   28.7717   2.34279e-01    9.8%   4    30     7.394
 -1   1   5   3.09857   28.7873   1.77768e-01    7.4%   4    27     7.385
  2   0   4   3.09069   28.8622   6.63084e-07    0.0%   2    20     7.344
  3   0   3   3.07319   29.0302   4.04578e-02    1.7%   2    18     7.254
  2   2   1   3.06903   29.0705   3.06534e-02    1.3%   4     9     7.232
 -1   2   3   3.06135   29.1450   6.10461e-02    2.5%   4    14     7.193
  0   2   3   3.00504   29.7036   3.01291e-02    1.3%   4    13     6.907
 -4   1   4   2.99644   29.7908   3.55799e-02    1.5%   4    33     6.864
 -2   2   3   2.98021   29.9568   2.45391e-02    1.0%   4    17     6.782
  5   0  -1   2.97655   29.9945   5.03796e-02    2.1%   2    26     6.764
  5   0  -3   2.97099   30.0520   1.74621e-02    0.7%   2    34     6.736
