************************************************************************
Output generated by CrystalDiffract 7 for macOS                         
Copyright (c) 1996-2026 CrystalMaker Software Limited (crystalmaker.com)
************************************************************************
This file looks best in a non-proportional font, e.g., Courier

  h   k   l   d(hkl)    2-Theta     Intensity  I/Imax   m     N        Lp

  1   0   0  10.91232    8.0952   9.67752e-01   66.8%   2     1    99.609
  0   1   1   8.45439   10.4545   1.10785e+00   76.5%   4     2    59.494
  1   1   0   7.49186   11.8022   1.00299e+00   69.2%   4     2    46.560
  0   0   2   7.39470   11.9578   1.44864e+00  100.0%   2     4    45.341
 -1   1   1   6.78783   13.0314   1.94407e-01   13.4%   4     3    38.089
  1   1   1   6.58339   13.4379   3.31701e-02    2.3%   4     3    35.786
  1   0  -2   6.28488   14.0793   1.02561e-05    0.0%   2     5    32.549
  0   1   2   6.00773   14.7323   5.88652e-01   40.6%   4     5    29.679
  1   0   2   5.97035   14.8251   2.65746e-01   18.3%   2     5    29.302
  2   0   0   5.45616   16.2312   7.32645e-01   50.6%   2     4    24.353
 -1   1   2   5.36555   16.5072   1.58473e-02    1.1%   4     6    23.527
  1   1   2   5.16584   17.1501   4.71380e-01   32.5%   4     6    21.755
  0   2   0   5.15200   17.1965   3.29353e-02    2.3%   2     4    21.635
  0   2   1   4.86524   18.2184   3.14833e-04    0.0%   4     5    19.216
  2   1   0   4.82187   18.3837   2.08421e-01   14.4%   4     5    18.862
  1   2   0   4.65886   19.0328   6.29201e-02    4.3%   4     5    17.561
 -2   1   1   4.65177   19.0621   2.32676e-01   16.1%   4     6    17.506
  2   1   1   4.51982   19.6240   6.44852e-01   44.5%   4     6    16.487
  2   0  -2   4.51104   19.6626   1.85698e-01   12.8%   2     8    16.420
 -1   2   1   4.47393   19.8273   9.08185e-01   62.7%   4     6    16.139
  0   1   3   4.44704   19.9485   3.17403e-02    2.2%   4    10    15.938
  1   2   1   4.41387   20.0999   1.71707e-01   11.9%   4     6    15.690
  2   0   2   4.27895   20.7406   9.32972e-02    6.4%   2     8    14.703
  0   2   2   4.22720   20.9974   4.19129e-02    2.9%   4     8    14.333
 -1   1   3   4.19183   21.1766   2.26119e-01   15.6%   4    11    14.082
 -2   1   2   4.13238   21.4848   1.13393e-01    7.8%   4     9    13.666
  1   1   3   4.04831   21.9364   5.62652e-01   38.8%   4    11    13.087
 -1   2   2   3.98437   22.2929   7.09580e-02    4.9%   4     9    12.655
  2   1   2   3.95176   22.4793   4.06843e-01   28.1%   4     9    12.437
  1   2   2   3.90051   22.7786   7.90631e-01   54.6%   4     9    12.099
  2   2   0   3.74593   23.7320   2.71447e-02    1.9%   4     8    11.105
  0   0   4   3.69735   24.0484   6.88187e-02    4.8%   2    16    10.801
 -2   2   1   3.66448   24.2674   2.51009e-01   17.3%   4     9    10.598
  3   0   0   3.63744   24.4506   2.87054e-01   19.8%   2     9    10.432
  2   2   1   3.59893   24.7163   1.00155e+00   69.1%   4     9    10.198
  1   0  -4   3.56211   24.9759   8.87908e-02    6.1%   2    17     9.976
  0   2   3   3.56186   24.9777   3.26999e-01   22.6%   4    13     9.975
 -2   1   3   3.53442   25.1748   7.67331e-02    5.3%   4    14     9.811
  0   1   4   3.48009   25.5744   1.85277e-02    1.3%   4    17     9.491
  1   0   4   3.44446   25.8435   2.00793e-01   13.9%   2    17     9.284
  3   1   0   3.42999   25.9544   4.68062e-01   32.3%   4    10     9.200
 -1   2   3   3.42662   25.9804   1.02439e-01    7.1%   4    14     9.181
 -2   2   2   3.39391   26.2352   1.27869e-04    0.0%   4    12     8.994
 -3   1   1   3.38028   26.3429   2.25673e-02    1.6%   4    11     8.916
 -1   1   4   3.36661   26.4518   4.95010e-02    3.4%   4    18     8.839
  2   1   3   3.36596   26.4570   2.91128e-01   20.1%   4    14     8.835
  1   2   3   3.34688   26.6106   1.92186e-01   13.3%   4    14     8.728
  0   3   1   3.34563   26.6207   1.06951e-01    7.4%   4    10     8.721
  3   0  -2   3.33776   26.6846   1.29692e-02    0.9%   2    13     8.676
  3   1   1   3.30366   26.9653   6.72299e-02    4.6%   4    11     8.486
  2   2   2   3.29170   27.0651   6.60017e-01   45.6%   4    12     8.420
  1   3   0   3.27621   27.1955   4.84274e-04    0.0%   4    10     8.335
  1   1   4   3.26677   27.2756   9.31287e-03    0.6%   4    18     8.283
 -1   3   1   3.20993   27.7682   1.73393e-03    0.1%   4    11     7.974
  3   0   2   3.19480   27.9024   1.08510e-01    7.5%   2    13     7.893
  1   3   1   3.18753   27.9673   8.35705e-02    5.8%   4    11     7.854
