************************************************************************
Output generated by CrystalDiffract 7 for macOS                         
Copyright (c) 1996-2026 CrystalMaker Software Limited (crystalmaker.com)
************************************************************************
This file looks best in a non-proportional font, e.g., Courier

  h   k   l   d(hkl)    2-Theta     Intensity  I/Imax   m     N        Lp

  0   0   1  12.36927    7.1404   5.22239e-03    0.4%   2     1   128.195
  0   1   0  12.09726    7.3011   2.14370e-02    1.5%   2     1   122.586
  0   1   1  11.83360    7.4641   7.76844e-01   55.8%   2     2   117.269
  1   0   0   9.66418    9.1428   3.38619e-01   24.3%   2     1    77.966
  1   1   1   8.26550   10.6941   9.05473e-01   65.1%   2     3    56.832
  1   0   1   8.13630   10.8645   9.89402e-01   71.1%   2     2    55.047
  1   1   0   7.79288   11.3448   4.30183e-01   30.9%   2     2    50.437
  1  -1   0   7.32960   12.0644   8.51374e-03    0.6%   2     2    44.534
  1   0  -1   7.18324   12.3112   2.95681e-01   21.2%   2     2    42.744
  0   1  -1   7.14334   12.3802   7.38288e-01   53.0%   2     2    42.262
  0   1   2   6.98073   12.6698   4.35465e-03    0.3%   2     5    40.327
 -1   1   1   6.89098   12.8355   3.89575e-01   28.0%   2     3    39.278
  0   2   1   6.83383   12.9433   2.68726e-03    0.2%   2     5    38.617
  1   1   2   6.21609   14.2359   3.92406e-02    2.8%   2     6    31.825
  0   0   2   6.18464   14.3087   1.00715e-01    7.2%   2     4    31.496
  0   2   0   6.04863   14.6321   1.20153e-02    0.9%   2     4    30.095
  1   2   1   5.99380   14.7667   1.17839e-01    8.5%   2     6    29.538
  0   2   2   5.91680   14.9600   3.54182e-01   25.4%   2     8    28.766
  1  -1   1   5.84796   15.1371   9.07235e-02    6.5%   2     3    28.083
  1   1  -1   5.64621   15.6813   3.35887e-01   24.1%   2     3    26.130
  1   0   2   5.54047   15.9826   1.42161e-02    1.0%   2     5    25.134
  1   2   2   5.51739   16.0499   1.35000e-02    1.0%   2     9    24.919
  1   2   0   5.27834   16.7819   6.69298e-02    4.8%   2     5    22.745
 -1   2   1   5.24112   16.9019   2.27153e-01   16.3%   2     6    22.415
 -1   1   2   5.22879   16.9421   4.73940e-01   34.0%   2     6    22.306
  1  -2   0   4.98833   17.7652   1.62674e-01   11.7%   2     5    20.237
  1   0  -2   4.93111   17.9730   2.31736e-02    1.7%   2     5    19.760
  2   0   0   4.83209   18.3445   2.05628e-01   14.8%   2     4    18.945
  2   1   1   4.79201   18.4993   1.80898e-01   13.0%   2     6    18.621
  2   0   1   4.70934   18.8269   2.60442e-04    0.0%   2     5    17.959
  0   1  -2   4.69151   18.8992   4.37866e-03    0.3%   2     5    17.818
 -1   2   2   4.67815   18.9536   1.95390e-04    0.0%   2     9    17.713
  0   2  -1   4.64613   19.0854   3.86526e-03    0.3%   2     5    17.462
  0   1   3   4.61399   19.2197   2.53869e-01   18.2%   2    10    17.211
  2   1   0   4.58763   19.3311   3.20354e-03    0.2%   2     5    17.007
  0   2   3   4.52733   19.5911   3.45252e-03    0.2%   2    13    16.544
  0   3   1   4.50146   19.7049   5.04695e-01   36.3%   2    10    16.347
  1   1   3   4.46345   19.8743   2.46974e-02    1.8%   2    11    16.061
  0   3   2   4.45991   19.8903   1.28310e-03    0.1%   2    13    16.034
  1   2   3   4.43084   20.0221   5.56351e-01   40.0%   2    14    15.816
  2  -1   0   4.39337   20.1947   1.00282e-01    7.2%   2     5    15.538
  2   1   2   4.35800   20.3603   1.98693e-02    1.4%   2     9    15.278
  1  -1   2   4.34619   20.4162   1.85511e-02    1.3%   2     6    15.191
  1   3   2   4.32394   20.5224   4.18030e-02    3.0%   2    14    15.029
  2   0  -1   4.31779   20.5520   4.35671e-03    0.3%   2     5    14.984
  1   3   1   4.27571   20.7565   4.40265e-03    0.3%   2    11    14.680
  2   2   1   4.23820   20.9422   1.12441e-02    0.8%   2     9    14.411
 -2   1   1   4.21109   21.0786   1.85960e-01   13.4%   2     6    14.218
  1   2  -1   4.18773   21.1975   3.36945e-03    0.2%   2     6    14.053
  1  -2   1   4.18698   21.2014   5.56991e-03    0.4%   2     6    14.048
  2   2   2   4.13275   21.4829   2.24045e-01   16.1%   2    12    13.668
  0   0   3   4.12309   21.5338   9.91976e-05    0.0%   2     9    13.601
  1   1  -2   4.10508   21.6294   1.49154e-01   10.7%   2     6    13.477
  2  -1   1   4.07236   21.8053   6.32459e-04    0.0%   2     6    13.251
  2   0   2   4.06815   21.8282   5.12440e-01   36.8%   2     8    13.223
  0   3   0   4.03242   22.0240   6.00894e-04    0.0%   2     9    12.979
  1   0   3   3.98032   22.3159   2.62152e-03    0.2%   2    10    12.628
  0   3   3   3.94453   22.5210   2.45645e-01   17.6%   2    18    12.390
  2   1  -1   3.93589   22.5711   3.56542e-01   25.6%   2     6    12.332
 -1   1   3   3.91735   22.6794   6.74046e-02    4.8%   2    11    12.210
  1   3   3   3.91197   22.7110   2.77539e-02    2.0%   2    19    12.174
 -1   3   1   3.90983   22.7236   5.49647e-03    0.4%   2    11    12.160
  2   2   0   3.89644   22.8027   1.97823e-03    0.1%   2     8    12.072
 -1   2   3   3.83330   23.1835   1.09775e-01    7.9%   2    14    11.662
 -1   3   2   3.82145   23.2564   4.65669e-03    0.3%   2    14    11.586
  1   3   0   3.80735   23.3437   1.59257e-03    0.1%   2    10    11.495
 -2   2   1   3.70599   23.9915   1.71789e-01   12.3%   2     9    10.855
 -2   1   2   3.67495   24.1972   1.39195e+00  100.0%   2     9    10.663
  2  -2   0   3.66480   24.2652   3.39585e-03    0.2%   2     8    10.600
  2   2   3   3.66375   24.2723   1.18544e+00   85.2%   2    17    10.593
  2   1   3   3.65561   24.3272   3.07391e-04    0.0%   2    14    10.543
  1  -3   0   3.64113   24.4254   1.20188e-02    0.9%   2    10    10.455
  1   0  -3   3.62875   24.5100   5.40250e-02    3.9%   2    10    10.379
  2   0  -2   3.59162   24.7674   3.09508e-02    2.2%   2     8    10.154
  2   3   2   3.57801   24.8631   1.32608e-01    9.5%   2    17    10.072
  0   2  -2   3.57167   24.9079   1.26611e-02    0.9%   2     8    10.034
  2   3   1   3.50365   25.3995   3.75172e-02    2.7%   2    14     9.629
  2  -1   2   3.49513   25.4625   3.09169e-01   22.2%   2     9     9.579
  0   2   4   3.49036   25.4978   8.37953e-02    6.0%   2    20     9.551
