************************************************************************
Output generated by CrystalDiffract 7 for macOS                         
Copyright (c) 1996-2026 CrystalMaker Software Limited (crystalmaker.com)
************************************************************************
This file looks best in a non-proportional font, e.g., Courier

  h   k   l   d(hkl)    2-Theta     Intensity  I/Imax   m     N        Lp

  1   0   0  10.85078    8.1412   1.40379e-02    0.4%   2     1    98.480
  0   1   1   8.53120   10.3601   3.76785e+00  100.0%   4     2    60.593
  1   1   0   8.07147   10.9520   2.62733e-02    0.7%   4     2    54.161
 -1   1   1   8.03267   11.0051   9.98046e-01   26.5%   4     3    53.635
  1   0  -2   6.65811   13.2864   3.64557e-01    9.7%   2     5    36.619
  0   2   0   6.03850   14.6568   1.55922e-01    4.1%   2     4    29.991
  0   0   2   6.02646   14.6863   2.91249e-01    7.7%   2     4    29.869
  1   1   1   5.87544   15.0659   1.26955e-04    0.0%   4     3    28.355
 -1   1   2   5.83073   15.1821   4.55928e-02    1.2%   4     6    27.914
  2   0   0   5.42539   16.3239   3.76598e-02    1.0%   2     4    24.071
 -2   1   1   5.40396   16.3890   9.82320e-02    2.6%   4     6    23.875
  0   2   1   5.39884   16.4047   2.44417e-02    0.6%   4     5    23.829
  0   1   2   5.39238   16.4245   4.67457e-01   12.4%   4     5    23.770
  2   0  -2   5.37852   16.4671   6.27430e-01   16.7%   2     8    23.644
  1   2   0   5.27647   16.7879   5.65174e-01   15.0%   4     5    22.728
 -1   2   1   5.26559   16.8228   7.20746e-01   19.1%   4     6    22.632
  2   1   0   4.94895   17.9077   1.31060e-01    3.5%   4     5    19.908
 -2   1   2   4.91330   18.0387   7.51581e-04    0.0%   4     9    19.612
  1   0   2   4.49478   19.7345   1.07721e-01    2.9%   2     5    16.297
  1   2   1   4.49301   19.7423   6.90351e-02    1.8%   4     6    16.283
 -1   2   2   4.47292   19.8319   2.94543e-02    0.8%   4     9    16.132
 -2   2   1   4.27133   20.7780   7.72306e-01   20.5%   4     9    14.648
  0   2   2   4.26560   20.8062   2.73373e-01    7.3%   4     8    14.607
  1   1   2   4.21249   21.0715   9.53903e-02    2.5%   4     6    14.228
 -1   1   3   4.18498   21.2116   9.51834e-03    0.3%   4    11    14.034
  2   1   1   4.04282   21.9666   1.10727e-01    2.9%   4     6    13.050
  2   2   0   4.03574   22.0057   1.71199e-02    0.5%   4     8    13.002
 -2   2   2   4.01633   22.1133   2.79187e-01    7.4%   4    12    12.870
 -2   1   3   4.00409   22.1817   3.54391e-01    9.4%   4    14    12.788
  3   0  -2   3.96636   22.3955   1.08156e-01    2.9%   2    13    12.535
  0   3   1   3.81832   23.2757   4.57542e-02    1.2%   4    10    11.566
  0   1   3   3.81223   23.3134   1.67480e-05    0.0%   4    10    11.527
 -3   1   1   3.78032   23.5130   1.28699e+00   34.2%   4    11    11.323
  1   3   0   3.77429   23.5511   5.33163e-01   14.2%   4    10    11.285
 -1   3   1   3.77030   23.5764   2.99820e-01    8.0%   4    11    11.259
 -3   1   2   3.76833   23.5889   1.38393e+00   36.7%   4    14    11.247
