************************************************************************
Output generated by CrystalDiffract 7 for macOS                         
Copyright (c) 1996-2026 CrystalMaker Software Limited (crystalmaker.com)
************************************************************************
This file looks best in a non-proportional font, e.g., Courier

  h   k   l   d(hkl)    2-Theta     Intensity  I/Imax   m     N        Lp

  0   0   1  11.96921    7.3794   1.39889e-02    0.5%   2     1   119.989
  0   1   0  11.87018    7.4410   1.51122e-02    0.5%   2     1   117.999
  1   0   0  11.40522    7.7448   6.20108e-02    2.2%   2     1   108.879
  0   1   1   9.71808    9.0920   2.02587e-01    7.3%   2     2    78.846
  1   1   0   8.60740   10.2682   6.73076e-02    2.4%   2     2    61.694
  1   0  -1   8.28314   10.6713   1.90073e-01    6.9%   2     2    57.078
  1   0   1   8.23090   10.7392   9.89026e-02    3.6%   2     2    56.351
  1  -1   0   7.88796   11.2076   3.61514e-02    1.3%   2     2    51.693
  1   1   1   7.65126   11.5555   5.66163e-01   20.5%   2     3    48.594
  0   1  -1   7.54504   11.7187   3.18119e-01   11.5%   2     2    47.234
 -1   1   1   7.16654   12.3400   7.11372e-01   25.7%   2     3    42.542
  1   1  -1   6.47202   13.6702   7.75875e-01   28.1%   2     3    34.561
  1  -1   1   6.12750   14.4428   7.24490e-01   26.2%   2     3    30.904
  0   0   2   5.98461   14.7896   8.60068e-01   31.1%   2     4    29.446
  0   1   2   5.97183   14.8214   4.19735e-03    0.2%   2     5    29.317
  0   2   0   5.93509   14.9136   2.55349e-01    9.2%   2     4    28.948
  0   2   1   5.93481   14.9144   1.16350e-04    0.0%   2     5    28.946
  2   0   0   5.70261   15.5253   2.16548e-01    7.8%   2     4    26.669
  1   2   0   5.46343   16.2094   2.85665e-03    0.1%   2     5    24.420
  1   2   1   5.45566   16.2327   9.06281e-02    3.3%   2     6    24.348
  1   1   2   5.37398   16.4811   6.53954e-02    2.4%   2     6    23.603
  2   1   0   5.32448   16.6354   8.58814e-02    3.1%   2     5    23.157
  1   0  -2   5.31322   16.6709   2.02157e-01    7.3%   2     5    23.056
  1   0   2   5.28560   16.7587   1.34171e-01    4.9%   2     5    22.810
 -1   1   2   5.21076   17.0011   2.48226e-02    0.9%   2     6    22.148
  2   0  -1   5.16087   17.1667   2.31865e-02    0.8%   2     5    21.712
  2   0   1   5.13555   17.2520   4.98061e-06    0.0%   2     5    21.493
 -1   2   1   5.09246   17.3991   1.13370e-01    4.1%   2     6    21.121
  1  -2   0   5.08652   17.4196   3.77361e-03    0.1%   2     5    21.071
  2   1   1   5.06693   17.4875   6.78674e-02    2.5%   2     6    20.903
  2  -1   0   4.97382   17.8174   1.35157e-03    0.0%   2     5    20.116
  0   1  -2   4.87976   18.1638   2.17895e-03    0.1%   2     5    19.335
  0   2  -1   4.85950   18.2401   5.18936e-04    0.0%   2     5    19.169
  0   2   2   4.85904   18.2419   1.51852e-02    0.5%   2     8    19.165
 -2   1   1   4.78212   18.5379   2.35001e-01    8.5%   2     6    18.541
