************************************************************************
Output generated by CrystalDiffract 7 for macOS                         
Copyright (c) 1996-2026 CrystalMaker Software Limited (crystalmaker.com)
************************************************************************
This file looks best in a non-proportional font, e.g., Courier

  h   k   l   d(hkl)    2-Theta     Intensity  I/Imax   m     N        Lp

  0   0   1  10.16698    8.6898   1.57094e+00   83.0%   2     1    86.368
  0   1   0  10.15002    8.7043   1.89241e+00  100.0%   2     1    86.078
  0   1  -1   8.86786    9.9658   7.99414e-01   42.2%   2     2    65.529
  1   0  -1   8.58572   10.2942   1.82825e-01    9.7%   2     2    61.380
  1  -1   0   8.20115   10.7783   1.78957e+00   94.6%   2     2    55.940
  1   0   0   8.14461   10.8533   3.59902e-02    1.9%   2     1    55.161
 -1   1   1   7.06698   12.5145   8.20666e-04    0.0%   2     3    41.348
  0   1   1   6.19635   14.2815   2.58072e-01   13.6%   2     2    31.618
  1   1  -1   6.14044   14.4122   1.87518e-01    9.9%   2     3    31.037
  1  -1   1   5.86602   15.0903   3.40394e-02    1.8%   2     3    28.262
  1   0  -2   5.64287   15.6907   4.09473e-02    2.2%   2     5    26.098
  1  -2   0   5.41737   16.3482   3.98766e-01   21.1%   2     5    23.997
  1   1   0   5.36864   16.4976   9.55241e-02    5.0%   2     2    23.555
  0   1  -2   5.33954   16.5882   1.02166e-01    5.4%   2     5    23.292
  0   2  -1   5.33217   16.6113   2.09893e-01   11.1%   2     5    23.226
  1   0   1   5.27539   16.7913   4.62404e-01   24.4%   2     2    22.719
  1   1  -2   5.15050   17.2015   2.79001e-01   14.7%   2     6    21.622
  0   0   2   5.08349   17.4300   5.96081e-03    0.3%   2     4    21.045
  0   2   0   5.07501   17.4594   2.03690e-01   10.8%   2     4    20.972
  1  -2   1   4.90274   18.0779   5.28746e-02    2.8%   2     6    19.525
 -2   1   1   4.75914   18.6282   7.71414e-02    4.1%   2     6    18.356
 -1   1   2   4.73903   18.7080   5.43465e-02    2.9%   2     6    18.195
 -1   2   1   4.66792   18.9955   3.58565e-01   18.9%   2     6    17.632
  2   0  -1   4.58313   19.3503   5.48041e-03    0.3%   2     5    16.972
  2  -1   0   4.46413   19.8713   7.42488e-01   39.2%   2     5    16.066
  0   2  -2   4.43393   20.0080   7.15832e-02    3.8%   2     8    15.840
  2   0  -2   4.29286   20.6726   1.04333e-01    5.5%   2     8    14.803
 -2   1   2   4.17132   21.2819   3.76437e-01   19.9%   2     9    13.938
  1   2  -1   4.12075   21.5461   3.65398e-02    1.9%   2     6    13.585
  2  -2   0   4.10058   21.6535   2.41059e-02    1.3%   2     8    13.445
 -2   2   1   4.07881   21.7704   1.67841e-01    8.9%   2     9    13.296
  2   0   0   4.07231   21.8056   2.11536e-01   11.2%   2     4    13.251
  0   1   2   4.02479   22.0662   2.63565e-03    0.1%   2     5    12.927
  0   2   1   4.02163   22.0838   7.63541e-01   40.3%   2     5    12.906
  1   1   1   4.00907   22.1539   9.37747e-03    0.5%   2     3    12.821
  1  -1   2   3.99672   22.2232   7.91754e-02    4.2%   2     6    12.738
  1   2  -2   3.97148   22.3663   2.47316e-02    1.3%   2     9    12.569
  1   1  -3   3.82865   23.2120   4.54303e-02    2.4%   2    11    11.632
  1  -2   2   3.82136   23.2569   9.25647e-02    4.9%   2     9    11.585
  1   0  -3   3.81822   23.2763   8.17911e-03    0.4%   2    10    11.565
  2   1  -2   3.76706   23.5969   8.47726e-02    4.5%   2     9    11.239
  2   1  -1   3.76683   23.5984   1.81145e+00   95.7%   2     6    11.237
  1  -3   0   3.70897   23.9719   5.56569e-02    2.9%   2    10    10.874
  1  -3   1   3.68712   24.1162   2.92579e-03    0.2%   2    11    10.738
  1   2   0   3.68283   24.1447   5.79180e-01   30.6%   2     5    10.711
  2  -1   1   3.63802   24.4466   9.57349e-04    0.1%   2     6    10.436
  1   0   2   3.62407   24.5422   1.63291e-01    8.6%   2     5    10.350
  0   1  -3   3.60888   24.6471   2.75383e-01   14.6%   2    10    10.258
  0   3  -1   3.60281   24.6893   1.87218e-02    1.0%   2    10    10.221
 -1   2   2   3.60230   24.6928   6.45554e-03    0.3%   2     9    10.218
  2  -2   1   3.57636   24.8748   1.90191e-02    1.0%   2     9    10.062
 -2   2   2   3.53349   25.1815   5.36737e-01   28.4%   2    12     9.806
  2   0  -3   3.52964   25.2094   2.33267e-03    0.1%   2    13     9.783
  0   2  -3   3.41181   26.0952   4.31497e-03    0.2%   2    13     9.096
  0   3  -2   3.40860   26.1202   8.17191e-03    0.4%   2    13     9.078
  0   0   3   3.38899   26.2740   3.19194e-02    1.7%   2     9     8.966
  1   2  -3   3.38527   26.3034   2.07891e-02    1.1%   2    14     8.944
  0   3   0   3.38334   26.3187   6.72915e-02    3.6%   2     9     8.934
  2  -3   0   3.36761   26.4438   3.66991e-02    1.9%   2    13     8.844
 -1   1   3   3.36376   26.4746   9.89546e-02    5.2%   2    11     8.823
  2   1  -3   3.33689   26.6917   4.03239e-02    2.1%   2    14     8.672
  2   1   0   3.33641   26.6957   3.29793e-01   17.4%   2     5     8.669
 -2   1   3   3.33074   26.7419   2.52522e-04    0.0%   2    14     8.637
 -1   3   1   3.31174   26.8982   6.87131e-02    3.6%   2    11     8.531
  2   0   1   3.29080   27.0726   2.49289e-03    0.1%   2     5     8.415
  1  -3   2   3.26564   27.2853   1.09426e-04    0.0%   2    14     8.277
 -2   3   1   3.23630   27.5375   8.26710e-01   43.7%   2    14     8.117
 -3   1   1   3.18741   27.9684   5.85430e-03    0.3%   2    11     7.853
  2  -3   1   3.15873   28.2276   1.90240e-01   10.1%   2    14     7.701
 -3   1   2   3.15336   28.2766   3.31146e-02    1.7%   2    14     7.672
  0   2   2   3.09817   28.7911   5.69934e-02    3.0%   2     8     7.383
 -3   2   1   3.09385   28.8322   1.79353e-02    0.9%   2    14     7.361
  2   2  -2   3.07022   29.0589   3.03796e-01   16.1%   2    12     7.239
  3   0  -2   3.05321   29.2244   3.45247e-01   18.2%   2    13     7.151
  1   2   1   3.04410   29.3139   9.38369e-03    0.5%   2     6     7.105
  1   3  -2   3.03562   29.3975   7.30179e-02    3.9%   2    14     7.062
  1   1   2   3.02769   29.4763   3.91092e-02    2.1%   2     6     7.021
  1   3  -1   3.00593   29.6945   3.05463e-01   16.1%   2    11     6.911
  3   0  -1   2.99075   29.8488   8.84096e-05    0.0%   2    10     6.835
  2   2  -1   2.97799   29.9797   5.70965e-02    3.0%   2     9     6.771
 -3   2   2   2.97123   30.0495   2.73773e-02    1.4%   2    17     6.738
  0   3  -3   2.95595   30.2085   2.95004e-02    1.6%   2    18     6.662
  1  -2   3   2.95262   30.2434   1.27762e-01    6.8%   2    14     6.645
  3  -2   0   2.94859   30.2857   2.71786e-02    1.4%   2    13     6.625
  1  -1   3   2.94254   30.3495   1.69810e-02    0.9%   2    11     6.596
