************************************************************************
Output generated by CrystalDiffract 7 for macOS                         
Copyright (c) 1996-2026 CrystalMaker Software Limited (crystalmaker.com)
************************************************************************
This file looks best in a non-proportional font, e.g., Courier

  h   k   l   d(hkl)    2-Theta     Intensity  I/Imax   m     N        Lp

  0   0   1  23.70587    3.7240   1.14093e-06    0.0%   2     1   472.858
  0   1   0  16.14764    5.4681   1.99711e-03    0.1%   2     1   218.999
  1   1   0  15.39505    5.7357   2.45110e-04    0.0%   2     2   198.994
  1   0   0  15.34492    5.7544   1.39382e-03    0.1%   2     1   197.695
  1   0   1  15.23037    5.7977   2.08465e-03    0.1%   2     2   194.743
  1   1   1  15.18417    5.8154   3.26991e-03    0.2%   2     3   193.559
  0   1  -1  13.41018    6.5855   2.92044e-03    0.2%   2     2   150.809
  0   1   1  13.28208    6.6491   8.72689e-04    0.1%   2     2   147.928
  0   0   2  11.85293    7.4519   1.51520e+00  100.0%   2     4   117.655
  1   1  -1  11.42564    7.7310   3.54338e-05    0.0%   2     3   109.272
  1   0  -1  11.36534    7.7720   1.52614e-03    0.1%   2     2   108.114
  1   0   2  11.22670    7.8682   1.28042e-03    0.1%   2     5   105.474
  1   1   2  11.17042    7.9079   1.36033e-03    0.1%   2     6   104.412
  0   1  -2   9.60242    9.2017   6.02493e-03    0.4%   2     5    76.963
  0   1   2   9.50840    9.2929   6.30370e-06    0.0%   2     5    75.449
  2   1   1   9.32511    9.4760   3.52303e-03    0.2%   2     6    72.540
  1   2   0   9.18167    9.6244   1.33817e-03    0.1%   2     5    70.303
  1  -1   0   9.14978    9.6580   8.49020e-05    0.0%   2     2    69.810
  1  -1   1   9.14586    9.6622   2.14739e-03    0.1%   2     3    69.749
  1   2   1   9.11586    9.6940   9.00972e-03    0.6%   2     6    69.288
  2   1   0   8.73798   10.1143   2.09438e-05    0.0%   2     5    63.602
  2   1   2   8.61894   10.2544   1.58463e-02    1.0%   2     9    61.861
  1   1  -2   8.25910   10.7024   2.57259e-05    0.0%   2     6    56.743
  1   0  -2   8.22123   10.7519   1.23086e-03    0.1%   2     5    56.217
  1   0   3   8.13357   10.8681   2.42167e-04    0.0%   2    10    55.009
  1   2  -1   8.09804   10.9160   7.35789e-03    0.5%   2     6    54.523
  1   1   3   8.09774   10.9163   1.59207e-03    0.1%   2    11    54.519
  2   2   1   8.07564   10.9463   3.66478e-01   24.2%   2     9    54.218
  2   0   1   8.07494   10.9473   2.06425e-01   13.6%   2     5    54.208
  0   2   0   8.07382   10.9488   1.85752e-01   12.3%   2     4    54.193
 -1   1   1   8.03388   11.0034   1.36225e-04    0.0%   2     3    53.651
  1  -1   2   8.02593   11.0143   5.77566e-04    0.0%   2     6    53.544
  1   2   2   7.96448   11.0996   1.61329e-02    1.1%   2     9    52.716
  0   0   3   7.90196   11.1877   2.18737e-04    0.0%   2     9    51.880
  2   2   0   7.69753   11.4858   6.02749e-04    0.0%   2     8    49.192
  2   0   0   7.67246   11.5234   1.93446e-01   12.8%   2     4    48.868
  0   2  -1   7.66688   11.5318   1.76138e-01   11.6%   2     5    48.796
  0   2   1   7.61877   11.6049   9.90836e-01   65.4%   2     5    48.176
  2   0   2   7.61518   11.6104   1.03513e+00   68.3%   2     8    48.130
  2   2   2   7.59208   11.6459   4.19406e-05    0.0%   2    12    47.834
  2   1  -1   7.40164   11.9466   3.31921e-02    2.2%   2     6    45.428
  2   1   3   7.25821   12.1835   1.90606e-02    1.3%   2    14    43.656
  0   1  -3   7.12676   12.4091   1.88759e-04    0.0%   2    10    42.063
  0   1   3   7.06896   12.5110   2.24215e-03    0.1%   2    10    41.371
  2   2  -1   6.74515   13.1142   5.34628e-01   35.3%   2     9    37.602
  1   2  -2   6.71233   13.1786   4.12880e-02    2.7%   2     9    37.230
  2   0  -1   6.71191   13.1794   4.90269e-03    0.3%   2     5    37.225
  0   2  -2   6.70509   13.1929   5.64889e-03    0.4%   2     8    37.148
 -1   1   2   6.65174   13.2992   3.21321e-04    0.0%   2     6    36.548
  1  -1   3   6.64422   13.3143   3.68012e-05    0.0%   2    11    36.464
  0   2   2   6.64104   13.3207   2.36967e-01   15.6%   2     8    36.428
  2   0   3   6.63567   13.3315   2.47492e-01   16.3%   2    13    36.368
  2   2   3   6.60479   13.3941   2.02528e-02    1.3%   2    17    36.024
  1   2   3   6.58602   13.4325   1.54070e-02    1.0%   2    14    35.815
  1   1  -3   6.29706   14.0519   8.84020e-06    0.0%   2    11    32.679
  1   0  -3   6.27357   14.1048   6.19470e-06    0.0%   2    10    32.430
  1   0   4   6.21887   14.2295   2.40026e-03    0.2%   2    17    31.854
  1   1   4   6.19639   14.2814   2.66021e-04    0.0%   2    18    31.619
  2   3   1   6.10417   14.4983   3.28393e-03    0.2%   2    14    30.663
  2  -1   1   6.10356   14.4997   6.74620e-04    0.0%   2     6    30.657
  2   1  -2   6.08935   14.5338   3.24037e-02    2.1%   2     9    30.511
  3   2   1   6.07152   14.5767   8.13608e-05    0.0%   2    14    30.328
  3   1   1   6.06828   14.5845   5.99139e-06    0.0%   2    11    30.295
  1   3   0   6.06619   14.5896   1.50766e-04    0.0%   2    10    30.274
  1  -2   1   6.05568   14.6150   2.53117e-04    0.0%   2     6    30.166
  1  -2   0   6.05083   14.6268   3.07685e-03    0.2%   2     5    30.117
  1   3   1   6.04114   14.6504   9.21799e-05    0.0%   2    11    30.018
  3   1   2   6.04095   14.6509   5.28809e-07    0.0%   2    14    30.016
  3   2   2   6.03820   14.6576   8.34718e-03    0.6%   2    17    29.988
  2   1   4   5.96960   14.8269   7.96766e-03    0.5%   2    21    29.294
  2   3   0   5.94152   14.8974   2.69265e-05    0.0%   2    13    29.013
  0   0   4   5.92647   14.9355   7.70972e-01   50.9%   2    16    28.862
