************************************************************************
Output generated by CrystalDiffract 7 for macOS                         
Copyright (c) 1996-2026 CrystalMaker Software Limited (crystalmaker.com)
************************************************************************
This file looks best in a non-proportional font, e.g., Courier

  h   k   l   d(hkl)    2-Theta     Intensity  I/Imax   m     N        Lp

  1   0  -1   9.71619    9.0938   7.86167e-01   41.0%   2     2    78.815
  0   1   1   9.00451    9.8142   1.17846e+00   61.4%   4     2    67.588
  1   1   0   8.11501   10.8930   7.25994e-01   37.9%   4     2    54.755
 -1   1   1   7.68711   11.5014   1.12271e+00   58.5%   4     3    49.057
  1   0   1   7.23123   12.2292   1.80355e-01    9.4%   2     2    43.327
  0   0   2   6.45326   13.7101   3.43185e-01   17.9%   2     4    34.356
  0   2   0   6.28440   14.0804   1.62481e+00   84.7%   2     4    32.544
  1   1   1   6.26790   14.1176   5.58357e-02    2.9%   4     3    32.370
  0   1   2   5.74079   15.4214   5.48417e-01   28.6%   4     5    27.037
 -1   1   2   5.71039   15.5040   1.95115e-01   10.2%   4     6    26.744
  0   2   1   5.65020   15.6702   2.21649e-01   11.6%   4     5    26.168
  1   2   0   5.40931   16.3727   7.06597e-04    0.0%   4     5    23.924
  2   0   0   5.31340   16.6703   1.16166e-01    6.1%   2     4    23.058
 -1   2   1   5.27683   16.7867   1.73716e-01    9.1%   4     6    22.731
 -2   1   1   5.04930   17.5490   1.86299e-01    9.7%   4     6    20.753
  2   1   0   4.89405   18.1103   4.30129e-01   22.4%   4     5    19.453
  2   0  -2   4.85810   18.2455   1.31582e-01    6.9%   2     8    19.158
  1   2   1   4.74342   18.6905   1.13639e-01    5.9%   4     6    18.231
  1   1   2   4.57729   19.3752   2.54535e-02    1.3%   4     6    16.927
 -2   1   2   4.53138   19.5735   4.25427e-01   22.2%   4     9    16.575
  0   2   2   4.50226   19.7013   5.21445e-01   27.2%   4     8    16.353
 -1   2   2   4.48755   19.7666   3.29636e-01   17.2%   4     9    16.242
  1   0  -3   4.46825   19.8528   2.06354e-01   10.8%   2    10    16.097
  2   1   1   4.21506   21.0585   4.05271e-03    0.2%   4     6    14.246
 -1   1   3   4.21012   21.0835   4.04419e-01   21.1%   4    11    14.211
 -2   2   1   4.14467   21.4203   5.58584e-01   29.1%   4     9    13.751
  0   1   3   4.07033   21.8163   7.90467e-03    0.4%   4    10    13.238
  2   2   0   4.05751   21.8861   4.88981e-02    2.5%   4     8    13.150
  0   3   1   3.98491   22.2899   4.11644e-01   21.5%   4    10    12.659
  1   3   0   3.89763   22.7957   2.00825e-02    1.0%   4    10    12.080
  1   2   2   3.87145   22.9519   1.52426e-01    7.9%   4     9    11.909
 -1   3   1   3.84718   23.0987   1.33647e-01    7.0%   4    11    11.752
 -2   2   2   3.84356   23.1207   6.11137e-01   31.9%   4    12    11.728
 -2   1   3   3.77464   23.5489   4.40505e-01   23.0%   4    14    11.287
  3   0  -1   3.70364   24.0070   1.13348e-03    0.1%   2    10    10.840
  2   2   1   3.64480   24.4004   4.16793e-01   21.7%   4     9    10.477
 -1   2   3   3.64160   24.4222   3.02047e-01   15.7%   4    14    10.457
  1   0   3   3.63503   24.4670   1.42209e-02    0.7%   2    10    10.417
  1   3   1   3.62512   24.5350   1.91907e-02    1.0%   4    11    10.357
  2   0   2   3.61562   24.6005   4.77426e-02    2.5%   2     8    10.299
 -3   1   1   3.55261   25.0437   1.02497e-01    5.3%   4    11     9.920
  0   2   3   3.55001   25.0624   7.91952e-02    4.1%   4    13     9.904
  0   3   2   3.51399   25.3235   6.54233e-03    0.3%   4    13     9.690
 -1   3   2   3.50698   25.3750   1.28197e+00   66.8%   4    14     9.649
  1   1   3   3.49193   25.4862   3.23764e-01   16.9%   4    11     9.560
  2   1   2   3.47470   25.6147   4.54943e-01   23.7%   4     9     9.460
 -3   1   2   3.44121   25.8683   1.54979e-01    8.1%   4    14     9.265
  3   1   0   3.40945   26.1135   3.75397e-03    0.2%   4    10     9.082
 -2   2   3   3.34869   26.5959   1.91807e+00  100.0%   4    17     8.738
 -2   3   1   3.33586   26.7001   2.25480e-02    1.2%   4    14     8.666
  2   3   0   3.28991   27.0801   2.23363e-01   11.6%   4    13     8.410
 -1   1   4   3.25863   27.3451   7.64729e-02    4.0%   4    18     8.238
  3   0  -3   3.23873   27.5164   3.01007e-03    0.2%   2    18     8.130
  0   0   4   3.22663   27.6216   1.21980e-01    6.4%   2    16     8.064
  2   0  -4   3.20508   27.8110   1.71643e-02    0.9%   2    20     7.948
 -3   2   1   3.19075   27.9384   8.42587e-03    0.4%   4    14     7.871
  1   3   2   3.18837   27.9598   5.67454e-02    3.0%   4    14     7.858
  3   0   1   3.18633   27.9780   8.92068e-03    0.5%   2    10     7.848
 -2   3   2   3.17273   28.1004   4.52781e-01   23.6%   4    17     7.775
  1   2   3   3.14657   28.3389   6.60729e-03    0.3%   4    14     7.636
  0   4   0   3.14220   28.3791   6.60470e-03    0.3%   2    16     7.613
 -3   1   3   3.13628   28.4338   1.44725e-02    0.8%   4    19     7.582
  2   2   2   3.13395   28.4554   3.08615e-02    1.6%   4    12     7.570
  0   1   4   3.12529   28.5359   4.61173e-02    2.4%   4    17     7.525
 -3   2   2   3.10931   28.6857   2.89495e-02    1.5%   4    17     7.441
 -2   1   4   3.10570   28.7198   8.98194e-03    0.5%   4    21     7.422
  3   1   1   3.08863   28.8820   8.82386e-02    4.6%   4    11     7.334
  3   2   0   3.08582   28.9088   1.10705e-01    5.8%   4    13     7.319
  2   3   1   3.05815   29.1762   1.25546e-02    0.7%   4    14     7.177
 -1   3   3   3.05626   29.1946   2.51292e-02    1.3%   4    19     7.167
  0   4   1   3.05302   29.2262   1.81371e-02    0.9%   4    17     7.150
  1   4   0   3.01324   29.6209   1.38422e-01    7.2%   4    17     6.948
  0   3   3   3.00150   29.7393   6.48223e-04    0.0%   4    18     6.889
 -1   4   1   2.98974   29.8591   1.03704e-01    5.4%   4    18     6.830
 -1   2   4   2.97266   30.0347   1.50570e-02    0.8%   4    21     6.745
  1   4   1   2.88188   31.0042   3.59885e-02    1.9%   4    18     6.300
 -3   2   3   2.87890   31.0370   2.82464e-02    1.5%   4    22     6.286
 -2   3   3   2.87686   31.0597   1.93282e-02    1.0%   4    22     6.276
  0   2   4   2.87040   31.1313   7.92714e-02    4.1%   4    20     6.245
  2   1   3   2.87038   31.1315   3.66489e-02    1.9%   4    14     6.245
 -2   2   4   2.85519   31.3013   4.00749e-02    2.1%   4    24     6.172
  3   2   1   2.84191   31.4514   1.56031e-02    0.8%   4    14     6.109
  0   4   2   2.82510   31.6435   5.49596e-02    2.9%   4    20     6.029
 -1   4   2   2.82145   31.6854   1.20898e-06    0.0%   4    21     6.012
  1   1   4   2.79183   32.0306   2.28912e-02    1.2%   4    18     5.873
 -3   3   1   2.77485   32.2320   3.22666e-03    0.2%   4    19     5.794
 -3   1   4   2.76405   32.3613   3.79465e-04    0.0%   4    26     5.744
