************************************************************************
Output generated by CrystalDiffract 7 for macOS                         
Copyright (c) 1996-2026 CrystalMaker Software Limited (crystalmaker.com)
************************************************************************
This file looks best in a non-proportional font, e.g., Courier

  h   k   l   d(hkl)    2-Theta     Intensity  I/Imax   m     N        Lp

  1   0  -1   9.89617    8.9281   1.42020e-01    4.4%   2     2    81.790
  0   1   1   8.13815   10.8620   3.26027e+00  100.0%   4     2    55.072
  1   1   0   7.87669   11.2237   1.37534e+00   42.2%   4     2    51.544
  1   0   1   7.33131   12.0616   6.48672e-01   19.9%   2     2    44.555
 -1   1   1   7.32932   12.0649   1.68887e-02    0.5%   4     3    44.530
  0   0   2   6.11096   14.4821   1.52691e-01    4.7%   2     4    30.733
  1   1   1   6.08471   14.5449   4.94912e-02    1.5%   4     3    30.463
  2   0   0   5.69301   15.5516   5.07305e-02    1.6%   2     4    26.577
  0   2   0   5.45400   16.2377   3.82440e-02    1.2%   2     4    24.333
 -1   1   2   5.38367   16.4512   2.22306e-02    0.7%   4     6    23.691
  0   1   2   5.33133   16.6139   3.13506e-01    9.6%   4     5    23.218
 -2   1   1   5.15992   17.1699   4.85194e-01   14.9%   4     6    21.704
  2   1   0   5.04698   17.5571   4.72114e-03    0.1%   4     5    20.733
  0   2   1   4.98059   17.7930   2.97125e-04    0.0%   4     5    20.172
  2   0  -2   4.94808   17.9109   9.93029e-04    0.0%   2     8    19.901
  1   2   0   4.91881   18.0184   2.63898e-02    0.8%   4     5    19.657
 -1   2   1   4.77662   18.5594   9.02847e-01   27.7%   4     6    18.497
 -2   1   2   4.50614   19.6842   2.03847e-01    6.3%   4     9    16.383
  1   1   2   4.41551   20.0923   2.71160e-02    0.8%   4     6    15.702
  1   2   1   4.37591   20.2761   3.96333e-02    1.2%   4     6    15.409
  2   1   1   4.28953   20.6889   2.97187e-01    9.1%   4     6    14.779
  1   0  -3   4.24963   20.8853   1.33737e-01    4.1%   2    10    14.493
 -1   2   2   4.09221   21.6983   1.42973e-02    0.4%   4     9    13.388
  0   2   2   4.06908   21.8231   3.40795e-01   10.5%   4     8    13.229
 -2   2   1   3.99131   22.2537   2.36055e-01    7.2%   4     9    12.702
  3   0  -1   3.96759   22.3884   2.75290e-01    8.4%   2    10    12.543
 -1   1   3   3.95974   22.4334   2.85291e-01    8.8%   4    11    12.491
  2   2   0   3.93835   22.5569   5.53024e-01   17.0%   4     8    12.348
  0   1   3   3.81648   23.2871   9.55481e-03    0.3%   4    10    11.554
 -3   1   1   3.72860   23.8439   3.13590e+00   96.2%   4    11    10.996
 -2   1   3   3.66799   24.2438   1.80557e-02    0.6%   4    14    10.620
  2   0   2   3.66566   24.2595   4.17439e-01   12.8%   2     8    10.605
 -2   2   2   3.66466   24.2662   4.88604e-01   15.0%   4    12    10.599
  1   2   2   3.61541   24.6018   2.85315e-01    8.8%   4     9    10.298
  3   1   0   3.58456   24.8170   1.48872e-01    4.6%   4    10    10.111
 -3   1   2   3.54838   25.0741   2.69108e-01    8.3%   4    14     9.894
  2   2   1   3.54527   25.0964   1.59525e-03    0.0%   4     9     9.876
  1   0   3   3.52331   25.2554   1.75488e-02    0.5%   2    10     9.745
  0   3   1   3.48505   25.5374   1.65037e-02    0.5%   4    10     9.520
  2   1   2   3.47470   25.6147   6.55951e-02    2.0%   4     9     9.460
  1   3   0   3.46368   25.6976   2.11216e-01    6.5%   4    10     9.395
 -1   3   1   3.41293   26.0864   1.12676e-02    0.3%   4    11     9.102
  3   0   1   3.35751   26.5248   1.39257e-01    4.3%   2    10     8.787
  1   1   3   3.35275   26.5631   4.30799e-03    0.1%   4    11     8.761
 -1   2   3   3.35218   26.5677   1.03802e-02    0.3%   4    14     8.757
  3   0  -3   3.29872   27.0064   2.11503e-03    0.1%   2    18     8.459
  0   2   3   3.26392   27.2999   3.80104e-01   11.7%   4    13     8.267
  1   3   1   3.25739   27.3557   4.92452e-01   15.1%   4    11     8.232
  3   1   1   3.20894   27.7769   4.12463e-02    1.3%   4    11     7.969
 -3   2   1   3.20844   27.7813   2.72073e-01    8.3%   4    14     7.966
 -2   2   3   3.16958   28.1289   2.98098e-01    9.1%   4    17     7.758
 -3   1   3   3.15750   28.2388   1.43317e-02    0.4%   4    19     7.694
 -1   3   2   3.13516   28.4442   2.51203e-03    0.1%   4    14     7.576
  0   3   2   3.12472   28.5412   1.44790e-01    4.4%   4    13     7.522
  3   2   0   3.11528   28.6296   4.22393e-03    0.1%   4    13     7.472
  2   0  -4   3.09508   28.8205   3.87645e-05    0.0%   2    20     7.367
 -3   2   2   3.09144   28.8551   1.15430e-01    3.5%   4    17     7.348
 -2   3   1   3.08909   28.8775   1.74172e-01    5.3%   4    14     7.336
 -1   1   4   3.06509   29.1086   2.58136e-03    0.1%   4    18     7.212
  2   3   0   3.06434   29.1159   1.69520e-01    5.2%   4    13     7.208
  0   0   4   3.05548   29.2022   3.25640e-02    1.0%   2    16     7.163
  2   2   2   3.04235   29.3310   4.05374e-02    1.2%   4    12     7.096
 -2   1   4   2.97754   29.9843   3.97992e-02    1.2%   4    21     6.769
  1   2   3   2.95949   30.1715   4.74117e-02    1.5%   4    14     6.679
  0   1   4   2.94223   30.3527   6.14427e-02    1.9%   4    17     6.594
 -2   3   2   2.93000   30.4826   1.74430e-03    0.1%   4    17     6.534
  4   0  -2   2.92831   30.5005   8.20238e-03    0.3%   2    20     6.526
  1   3   2   2.90464   30.7552   3.77804e-01   11.6%   4    14     6.410
  2   3   1   2.86789   31.1592   3.52942e-02    1.1%   4    14     6.233
 -4   1   1   2.86619   31.1782   4.30786e-02    1.3%   4    18     6.225
  3   2   1   2.85917   31.2567   3.14029e-03    0.1%   4    14     6.191
  4   0   0   2.84651   31.3993   6.08959e-02    1.9%   2    16     6.131
  2   1   3   2.83191   31.5654   2.33506e-03    0.1%   4    14     6.061
 -4   1   2   2.82817   31.6082   2.69016e-01    8.3%   4    21     6.044
 -3   2   3   2.82260   31.6722   3.82434e-03    0.1%   4    22     6.017
  3   1   2   2.77577   32.2210   7.41843e-03    0.2%   4    14     5.798
 -1   3   3   2.76276   32.3769   5.26531e-02    1.6%   4    19     5.738
 -1   2   4   2.75601   32.4584   5.34602e-03    0.2%   4    21     5.707
