************************************************************************
Output generated by CrystalDiffract 7 for macOS                         
Copyright (c) 1996-2026 CrystalMaker Software Limited (crystalmaker.com)
************************************************************************
This file looks best in a non-proportional font, e.g., Courier

  h   k   l   d(hkl)    2-Theta     Intensity  I/Imax   m     N        Lp

  1   1   0  16.20543    5.4486   3.96740e-03    0.2%   4     2   220.575
  2   0   0  16.19353    5.4526   4.59877e-03    0.2%   2     4   220.250
 -1   1   1  13.43327    6.5742   6.45414e-03    0.3%   4     3   151.332
  1   1   1  13.32441    6.6279   2.21888e-03    0.1%   4     3   148.877
  0   0   2  11.85369    7.4514   1.48104e+00   73.9%   2     4   117.670
  2   0  -2   9.64552    9.1605   2.37248e-05    0.0%   2     8    77.662
 -1   1   2   9.60746    9.1969   1.16645e-02    0.6%   4     6    77.044
  1   1   2   9.52783    9.2739   4.38057e-04    0.0%   4     6    75.760
  2   0   2   9.48637    9.3146   4.96928e-03    0.2%   2     8    75.096
  0   2   0   9.35850    9.4421   2.39861e-03    0.1%   2     4    73.065
  3   1   0   9.35163    9.4491   9.19580e-03    0.5%   4    10    72.957
 -3   1   1   8.74453   10.1067   4.08922e-06    0.0%   4    11    63.699
  0   2   1   8.70482   10.1530   1.98930e-03    0.1%   4     5    63.115
  3   1   1   8.65474   10.2119   2.68892e-02    1.3%   4    11    62.382
  2   2   0   8.10271   10.9096   3.94251e-01   19.7%   4     8    54.587
  4   0   0   8.09677   10.9177   3.76077e-01   18.8%   2    16    54.506
 -2   2   1   7.68783   11.5003   3.66380e-01   18.3%   4     9    49.067
  2   2   1   7.64685   11.5622   2.00536e+00  100.0%   4     9    48.537
 -3   1   2   7.39648   11.9549   5.93261e-02    3.0%   4    14    45.363
  0   2   2   7.34523   12.0387   3.48792e-04    0.0%   4     8    44.727
  3   1   2   7.28852   12.1327   3.71221e-02    1.9%   4    14    44.028
 -1   1   3   7.12750   12.4078   2.74172e-04    0.0%   4    11    42.072
  1   1   3   7.07863   12.4938   3.35831e-03    0.2%   4    11    41.487
  4   0  -2   6.74093   13.1224   5.42428e-01   27.0%   2    20    37.554
 -2   2   2   6.71664   13.1701   1.06657e-02    0.5%   4    12    37.279
  2   2   2   6.66221   13.2782   4.72159e-01   23.5%   4    12    36.665
  4   0   2   6.63222   13.3385   1.81462e-02    0.9%   2    20    36.329
  1   3   0   6.12636   14.4455   1.70436e-03    0.1%   4    10    30.892
  4   2   0   6.12315   14.4531   2.09103e-06    0.0%   4    20    30.859
  5   1   0   6.12122   14.4577   8.36302e-03    0.4%   4    26    30.839
 -3   1   3   6.08145   14.5527   6.64735e-02    3.3%   4    19    30.430
  0   2   3   6.03780   14.6585   2.78939e-05    0.0%   4    13    29.984
  3   1   3   5.99147   14.7725   1.91761e-02    1.0%   4    19    29.515
 -5   1   1   5.95065   14.8744   1.11330e-03    0.1%   4    27    29.104
 -4   2   1   5.94763   14.8820   2.07498e-04    0.0%   4    21    29.074
 -1   3   1   5.93626   14.9107   1.96353e-02    1.0%   4    11    28.960
  0   0   4   5.92685   14.9345   7.68868e-01   38.3%   2    16    28.866
  1   3   1   5.92678   14.9347   1.14804e-02    0.6%   4    11    28.865
  4   2   1   5.90974   14.9780   3.27841e-04    0.0%   4    21    28.695
  5   1   1   5.90333   14.9943   4.87824e-02    2.4%   4    27    28.632
 -2   2   3   5.68221   15.5814   5.99968e-01   29.9%   4    17    26.474
  2   2   3   5.63282   15.7189   4.48768e-02    2.2%   4    17    26.003
  2   0  -4   5.59739   15.8190   4.58334e-05    0.0%   2    20    25.668
 -1   1   4   5.58200   15.8629   6.17468e-05    0.0%   4    18    25.523
  1   1   4   5.55064   15.9531   4.00571e-03    0.2%   4    18    25.229
  2   0   4   5.53468   15.9994   6.85076e-04    0.0%   2    20    25.080
 -5   1   2   5.47579   16.1726   6.44547e-03    0.3%   4    30    24.533
 -4   2   2   5.46972   16.1907   9.80505e-05    0.0%   4    24    24.477
 -1   3   2   5.44980   16.2503   2.20891e-01   11.0%   4    14    24.294
  1   3   2   5.43514   16.2944   1.38039e-02    0.7%   4    14    24.160
  4   2   2   5.41116   16.3671   4.87636e-05    0.0%   4    24    23.941
  5   1   2   5.40264   16.3931   1.12029e-01    5.6%   4    30    23.863
  3   3   0   5.40181   16.3956   6.17781e-04    0.0%   4    18    23.856
  6   0   0   5.39784   16.4077   7.65454e-05    0.0%   2    36    23.820
 -3   3   1   5.27681   16.7868   1.13989e-03    0.1%   4    19    22.731
  3   3   1   5.25689   16.8509   2.27781e-03    0.1%   4    19    22.555
 -3   1   4   5.04068   17.5792   4.19434e-04    0.0%   4    26    20.680
  0   2   4   5.00716   17.6979   1.70350e-03    0.1%   4    20    20.396
  3   1   4   4.97224   17.8232   9.21033e-03    0.5%   4    26    20.102
  6   0  -2   4.94514   17.9216   2.08896e-04    0.0%   2    40    19.876
 -3   3   2   4.93175   17.9707   2.68871e-04    0.0%   4    22    19.765
  3   3   2   4.89936   18.0905   6.06288e-09    0.0%   4    22    19.497
  6   0   2   4.88047   18.1611   5.19475e-07    0.0%   2    40    19.341
 -5   1   3   4.87836   18.1690   1.14489e-03    0.1%   4    35    19.324
 -4   2   3   4.87143   18.1951   3.95721e-04    0.0%   4    29    19.267
 -1   3   3   4.84955   18.2779   3.04198e-01   15.2%   4    19    19.088
  1   3   3   4.83407   18.3369   5.33234e-04    0.0%   4    19    18.962
  4   0  -4   4.82276   18.3803   1.00679e-01    5.0%   2    32    18.870
  4   2   3   4.80957   18.4312   9.82840e-04    0.0%   4    29    18.763
 -2   2   4   4.80373   18.4537   8.82319e-03    0.4%   4    24    18.715
  5   1   3   4.80107   18.4641   2.29180e-01   11.4%   4    35    18.694
  2   2   4   4.76392   18.6093   2.56489e-01   12.8%   4    24    18.395
  4   0   4   4.74318   18.6914   1.07403e-02    0.5%   2    32    18.229
  0   4   0   4.67925   18.9491   4.06740e-02    2.0%   2    16    17.722
  6   2   0   4.67581   18.9632   6.74913e-02    3.4%   4    40    17.694
 -6   2   1   4.60066   19.2759   4.85775e-02    2.4%   4    41    17.108
