************************************************************************
Output generated by CrystalDiffract 7 for macOS                         
Copyright (c) 1996-2026 CrystalMaker Software Limited (crystalmaker.com)
************************************************************************
This file looks best in a non-proportional font, e.g., Courier

  h   k   l   d(hkl)    2-Theta     Intensity  I/Imax   m     N        Lp

  0   0   1  12.67496    6.9680   8.00113e-02    5.1%   2     1   134.647
  0   1   0  12.51940    7.0546   2.32200e-02    1.5%   2     1   131.344
  0   1   1  12.10107    7.2988   6.66066e-01   42.9%   2     2   122.664
  1   0   0   9.53421    9.2677   6.09608e-01   39.2%   2     1    75.863
  1   1   1   8.24580   10.7198   1.55386e+00  100.0%   2     3    56.558
  1   0   1   8.07449   10.9479   6.85270e-01   44.1%   2     2    54.202
  1   1   0   7.86986   11.2334   1.14794e-01    7.4%   2     2    51.453
  0   1  -1   7.37601   11.9882   7.61925e-01   49.0%   2     2    45.109
  1  -1   0   7.32915   12.0652   1.27102e-02    0.8%   2     2    44.528
  1   0  -1   7.23330   12.2257   3.07053e-01   19.8%   2     2    43.352
  0   1   2   7.11988   12.4212   8.40042e-04    0.1%   2     5    41.980
  0   2   1   7.03707   12.5679   2.07855e-03    0.1%   2     5    40.992
 -1   1   1   6.90848   12.8028   5.44285e-01   35.0%   2     3    39.481
  0   0   2   6.33748   13.9618   1.64903e-01   10.6%   2     4    33.109
  0   2   0   6.25970   14.1362   6.66043e-03    0.4%   2     4    32.283
  1   1   2   6.23568   14.1909   3.49405e-02    2.2%   2     6    32.030
  1   2   1   6.10426   14.4981   4.58519e-02    3.0%   2     6    30.664
  0   2   2   6.05053   14.6275   7.00194e-02    4.5%   2     8    30.114
  1  -1   1   5.89982   15.0033   2.72896e-01   17.6%   2     3    28.597
  1   1  -1   5.77025   15.3422   4.63869e-01   29.9%   2     3    27.323
  1   2   2   5.58393   15.8574   1.96257e-04    0.0%   2     9    25.541
  1   0   2   5.57935   15.8705   5.38572e-02    3.5%   2     5    25.498
  1   2   0   5.41916   16.3428   1.24225e-02    0.8%   2     5    24.014
 -1   2   1   5.30354   16.7016   1.76525e-01   11.4%   2     6    22.970
 -1   1   2   5.28977   16.7454   1.49685e-01    9.6%   2     6    22.847
  1  -2   0   5.06422   17.4969   2.64881e-03    0.2%   2     5    20.880
  1   0  -2   5.02050   17.6504   4.64783e-04    0.0%   2     5    20.509
  0   1  -2   4.83200   18.3449   3.20998e-04    0.0%   2     5    18.945
  0   2  -1   4.80587   18.4455   6.04689e-05    0.0%   2     5    18.733
  2   0   0   4.76710   18.5968   3.37157e-01   21.7%   2     4    18.420
 -1   2   2   4.73717   18.7154   3.44047e-03    0.2%   2     9    18.181
  2   1   1   4.73579   18.7208   2.83229e-01   18.2%   2     6    18.170
  0   1   3   4.71019   18.8235   8.61444e-01   55.4%   2    10    17.966
  0   3   1   4.64645   19.0841   3.61594e-01   23.3%   2    10    17.464
  2   0   1   4.63971   19.1121   1.56313e-04    0.0%   2     5    17.411
  0   2   3   4.61822   19.2019   4.68305e-03    0.3%   2    13    17.244
  0   3   2   4.58036   19.3621   9.25727e-03    0.6%   2    13    16.951
  2   1   0   4.56846   19.4131   3.96113e-02    2.5%   2     5    16.859
  1   1   3   4.50940   19.6698   1.20475e-01    7.8%   2    11    16.408
  1   2   3   4.48312   19.7863   4.04215e-01   26.0%   2    14    16.209
  1   3   2   4.42003   20.0716   3.17401e-02    2.0%   2    14    15.736
  1  -1   2   4.41549   20.0924   1.38041e-02    0.9%   2     6    15.702
  1   3   1   4.39685   20.1785   6.06676e-02    3.9%   2    11    15.564
  2  -1   0   4.34971   20.3995   1.28396e-01    8.3%   2     5    15.217
  2   1   2   4.31489   20.5659   3.58218e-02    2.3%   2     9    14.963
  1   2  -1   4.31471   20.5668   6.28308e-02    4.0%   2     6    14.962
  2   0  -1   4.30319   20.6225   2.03340e-04    0.0%   2     5    14.878
  1  -2   1   4.26865   20.7912   1.02349e-01    6.6%   2     6    14.629
  2   2   1   4.24544   20.9061   3.15843e-02    2.0%   2     9    14.463
  0   0   3   4.22499   21.0085   1.32234e-02    0.9%   2     9    14.317
  1   1  -2   4.21186   21.0747   9.57699e-02    6.2%   2     6    14.224
 -2   1   1   4.18568   21.2080   2.24635e-01   14.5%   2     6    14.039
  0   3   0   4.17313   21.2725   3.69711e-04    0.0%   2     9    13.951
  2   2   2   4.12290   21.5348   3.51219e-01   22.6%   2    12    13.600
  2  -1   1   4.04624   21.9478   2.54859e-02    1.6%   2     6    13.073
  2   0   2   4.03724   21.9973   5.71412e-02    3.7%   2     8    13.012
  1   0   3   4.03701   21.9986   5.14290e-03    0.3%   2    10    13.010
  0   3   3   4.03369   22.0170   2.72115e-01   17.5%   2    18    12.988
 -1   3   1   3.98686   22.2788   1.76749e-01   11.4%   2    11    12.672
 -1   1   3   3.98498   22.2895   1.28229e-01    8.3%   2    11    12.659
  1   3   3   3.98114   22.3113   2.51994e-03    0.2%   2    19    12.634
  2   1  -1   3.96249   22.4177   3.40455e-02    2.2%   2     6    12.509
  2   2   0   3.93493   22.5767   5.95282e-04    0.0%   2     8    12.326
  1   3   0   3.93088   22.6003   2.87855e-02    1.9%   2    10    12.299
 -1   2   3   3.89190   22.8297   1.69404e-01   10.9%   2    14    12.043
 -1   3   2   3.88819   22.8517   1.28541e-02    0.8%   2    14    12.018
  1  -3   0   3.72347   23.8772   7.09232e-03    0.5%   2    10    10.964
  1   0  -3   3.70920   23.9704   5.38614e-02    3.5%   2    10    10.875
 -2   2   1   3.70338   24.0087   3.31813e-01   21.4%   2     9    10.839
  0   2  -2   3.68800   24.1103   1.42092e-04    0.0%   2     8    10.743
 -2   1   2   3.68228   24.1483   6.52605e-01   42.0%   2     9    10.708
  2  -2   0   3.66458   24.2667   2.93097e-02    1.9%   2     8    10.599
  2   2   3   3.66063   24.2933   7.82229e-01   50.3%   2    17    10.574
  2   1   3   3.64462   24.4016   2.33998e-01   15.1%   2    14    10.476
  2   0  -2   3.61665   24.5933   1.63985e-01   10.6%   2     8    10.305
  2   3   2   3.61059   24.6352   1.85580e-01   11.9%   2    17    10.268
  0   2   4   3.55994   24.9914   5.18999e-02    3.3%   2    20     9.963
  2   3   1   3.55476   25.0284   1.01659e-03    0.1%   2    14     9.932
  0   1  -3   3.54155   25.1232   4.69939e-03    0.3%   2    10     9.854
  1   2   4   3.53801   25.1488   3.67210e-02    2.4%   2    21     9.833
  0   4   2   3.51854   25.2903   1.35278e-05    0.0%   2    20     9.717
  0   3  -1   3.51422   25.3219   1.68861e-01   10.9%   2    10     9.692
  2  -1   2   3.49740   25.4457   2.02303e-01   13.0%   2     9     9.593
 -1   3   3   3.49580   25.4575   2.57885e-03    0.2%   2    19     9.583
  0   1   4   3.47378   25.6216   2.06114e-02    1.3%   2    17     9.454
  1   4   2   3.46979   25.6516   1.55945e-02    1.0%   2    21     9.431
  1  -2   2   3.46649   25.6764   1.96631e-03    0.1%   2     9     9.412
 -2   2   2   3.45424   25.7690   2.01129e-01   12.9%   2    12     9.341
  1   1   4   3.42825   25.9678   1.42727e-04    0.0%   2    18     9.190
  0   4   1   3.42586   25.9863   1.07747e-02    0.7%   2    17     9.177
  1   2  -2   3.41339   26.0828   5.00919e-02    3.2%   2     9     9.105
  2   2  -1   3.40730   26.1303   1.29017e-01    8.3%   2     9     9.070
  1  -1   3   3.40400   26.1561   6.29651e-02    4.1%   2    11     9.051
  2   3   3   3.39561   26.2218   1.24065e-01    8.0%   2    22     9.003
  1   3   4   3.38157   26.3327   4.78820e-02    3.1%   2    26     8.923
  0   3   4   3.37667   26.3716   2.37559e-04    0.0%   2    25     8.896
  2  -2   1   3.36210   26.4879   2.00308e-03    0.1%   2     9     8.813
  2   0   3   3.35767   26.5235   1.43474e-01    9.2%   2    13     8.788
  0   4   3   3.35589   26.5379   2.23739e-03    0.1%   2    25     8.778
  1   4   3   3.34839   26.5984   1.67983e-02    1.1%   2    26     8.736
  1   4   1   3.34492   26.6265   1.59464e-05    0.0%   2    18     8.717
  1   3  -1   3.33044   26.7444   8.91906e-04    0.1%   2    11     8.635
  2   1  -2   3.29846   27.0086   5.46199e-02    3.5%   2     9     8.457
  1  -3   1   3.26525   27.2886   9.04475e-06    0.0%   2    11     8.275
  2   3   0   3.26138   27.3215   1.76850e-03    0.1%   2    13     8.253
  1   1  -3   3.24176   27.4902   2.81036e-02    1.8%   2    11     8.146
  3   1   1   3.21962   27.6830   1.94021e-04    0.0%   2    11     8.026
  3   0   0   3.17807   28.0522   2.23252e-03    0.1%   2     9     7.803
  3   0   1   3.16908   28.1334   4.74661e-03    0.3%   2    10     7.756
  0   0   4   3.16874   28.1365   2.57365e-02    1.7%   2    16     7.754
 -1   2   4   3.16342   28.1848   6.81826e-02    4.4%   2    21     7.726
 -1   4   2   3.15454   28.2658   4.05281e-03    0.3%   2    21     7.679
 -2   3   1   3.13870   28.4115   1.90826e-03    0.1%   2    14     7.595
  3   1   0   3.13599   28.4365   1.47420e-03    0.1%   2    10     7.581
  0   4   0   3.12985   28.4935   1.64042e-01   10.6%   2    16     7.548
 -1   1   4   3.12111   28.5749   2.83460e-02    1.8%   2    18     7.503
  2   2   4   3.11784   28.6056   4.20873e-03    0.3%   2    24     7.486
 -2   1   3   3.11782   28.6058   1.29127e-02    0.8%   2    14     7.485
 -1   4   1   3.11538   28.6286   1.27683e-04    0.0%   2    18     7.473
  1   0   4   3.11522   28.6301   1.07379e-01    6.9%   2    17     7.472
  3   1   2   3.10527   28.7238   1.41079e-02    0.9%   2    14     7.420
  3   2   1   3.06960   29.0649   4.36385e-02    2.8%   2    14     7.235
 -2   3   2   3.06240   29.1348   1.18307e-01    7.6%   2    17     7.198
 -2   2   3   3.05487   29.2082   7.37634e-03    0.5%   2    17     7.160
  2   4   2   3.05213   29.2350   1.79558e-02    1.2%   2    24     7.146
  3   2   2   3.04871   29.2685   5.40006e-03    0.3%   2    17     7.128
  1   4   4   3.04610   29.2942   5.43913e-04    0.0%   2    33     7.115
  1   4   0   3.04088   29.3455   3.34771e-02    2.2%   2    17     7.088
  2  -3   0   3.03119   29.4415   7.89134e-04    0.1%   2    13     7.039
  3  -1   0   3.02761   29.4771   6.78810e-02    4.4%   2    10     7.021
  2   3   4   3.02616   29.4915   4.24679e-04    0.0%   2    29     7.014
  0   4   4   3.02527   29.5004   5.04976e-04    0.0%   2    32     7.009
  2   1   4   3.02470   29.5061   1.28199e-02    0.8%   2    21     7.006
 -1   3   4   3.01565   29.5966   6.71855e-02    4.3%   2    26     6.960
 -1   4   3   3.00967   29.6568   8.59724e-04    0.1%   2    26     6.930
  3   0  -1   3.00292   29.7251   2.45684e-03    0.2%   2    10     6.896
  2   0  -3   2.99679   29.7872   7.06506e-04    0.0%   2    13     6.865
  2   4   3   2.99352   29.8205   6.19362e-02    4.0%   2    29     6.849
  3   0   2   2.98034   29.9555   7.25151e-03    0.5%   2    13     6.783
  2  -1   3   2.95041   30.2666   5.04164e-02    3.2%   2    14     6.634
  2  -2   2   2.94991   30.2718   1.16556e-03    0.1%   2    12     6.632
 -3   1   1   2.94621   30.3107   2.66041e-02    1.7%   2    11     6.614
  3  -1   1   2.94331   30.3413   2.25665e-02    1.5%   2    11     6.599
  2   4   1   2.94178   30.3575   4.77824e-03    0.3%   2    21     6.592
  0   2  -3   2.93362   30.4440   1.79373e-03    0.1%   2    13     6.552
  0   3  -2   2.92385   30.5482   1.06444e-03    0.1%   2    13     6.504
  3   2   0   2.92204   30.5675   5.29998e-03    0.3%   2    13     6.495
  1  -4   0   2.91081   30.6884   7.05310e-02    4.5%   2    17     6.440
  1   0  -4   2.90935   30.7042   2.72062e-02    1.8%   2    17     6.433
  3   1  -1   2.89465   30.8640   2.60112e-03    0.2%   2    11     6.362
  2   2  -2   2.88513   30.9684   2.33516e-02    1.5%   2    12     6.316
  2   3  -1   2.87075   31.1274   9.60844e-04    0.1%   2    14     6.246
  3   2   3   2.86890   31.1480   5.12469e-03    0.3%   2    22     6.238
  1   2   5   2.85750   31.2755   2.50086e-04    0.0%   2    30     6.183
  0   2   5   2.84698   31.3940   2.70112e-05    0.0%   2    29     6.133
  3   1   3   2.84682   31.3958   3.36051e-05    0.0%   2    19     6.132
  1  -2   3   2.83975   31.4760   1.87356e-07    0.0%   2    14     6.098
 -2   3   3   2.83753   31.5013   3.54127e-02    2.3%   2    22     6.088
  3   3   2   2.83714   31.5056   1.30654e-03    0.1%   2    22     6.086
  1   3   5   2.83688   31.5087   1.91970e-02    1.2%   2    35     6.085
  0   3   5   2.81274   31.7862   5.46360e-03    0.4%   2    34     5.971
  0   5   2   2.81000   31.8180   2.08587e-07    0.0%   2    29     5.958
  1   5   2   2.79842   31.9532   4.74411e-04    0.0%   2    30     5.904
  1  -3   2   2.79611   31.9803   9.50082e-05    0.0%   2    14     5.893
  1   3  -2   2.79459   31.9981   3.30727e-04    0.0%   2    14     5.886
  1   5   3   2.79452   31.9990   2.13148e-03    0.1%   2    35     5.885
  2   4   4   2.79196   32.0291   5.39081e-02    3.5%   2    36     5.873
  2   0   4   2.78968   32.0560   1.36007e-02    0.9%   2    20     5.863
  3   3   1   2.78911   32.0627   2.14570e-03    0.1%   2    19     5.860
  2  -3   1   2.78841   32.0709   6.52944e-04    0.0%   2    14     5.857
  0   5   3   2.78543   32.1062   7.96792e-04    0.1%   2    34     5.843
  0   1  -4   2.78341   32.1301   9.55374e-04    0.1%   2    17     5.834
  1   2  -3   2.76936   32.2976   7.48464e-03    0.5%   2    14     5.768
  0   4  -1   2.75857   32.4273   1.09490e-03    0.1%   2    17     5.719
  3  -2   0   2.75303   32.4944   1.67333e-02    1.1%   2    13     5.693
 -3   2   1   2.74954   32.5368   1.38614e-02    0.9%   2    14     5.677
  3   3   3   2.74860   32.5483   2.27366e-03    0.1%   2    27     5.673
  2   1  -3   2.74631   32.5761   3.70542e-03    0.2%   2    14     5.662
 -1   4   4   2.74458   32.5973   1.55674e-03    0.1%   2    33     5.654
  0   1   5   2.74086   32.6427   3.91321e-04    0.0%   2    26     5.637
  1   1   5   2.73749   32.6841   8.58793e-04    0.1%   2    27     5.622
  1  -1   4   2.73422   32.7243   6.98026e-04    0.0%   2    18     5.607
 -3   1   2   2.73419   32.7247   9.69242e-04    0.1%   2    14     5.607
  3  -1   2   2.72956   32.7817   1.62810e-02    1.0%   2    14     5.586
  3   0  -2   2.71933   32.9086   1.54289e-03    0.1%   2    13     5.539
  2   4   0   2.70958   33.0303   1.18571e-03    0.1%   2    20     5.495
