DATATYPE	 IR Spectrum
XYUNITS	 Wavenumber;Absorbance
DECIMALSYMBOL	 .
649.954535365105000	 0.152726419696835
650.187493979931000	 0.154053199713982
650.420452594757000	 0.155768446815484
650.653411209583000	 0.157838429024076
650.886369824409000	 0.160074104947003
651.119328439236000	 0.162210205043391
651.352287054062000	 0.164040666470516
651.585245668888000	 0.165539150762119
651.818204283714000	 0.166889382417742
652.051162898541000	 0.168400260147711
652.284121513367000	 0.170354345735562
652.517080128193000	 0.172875124458961
652.750038743019000	 0.175879262771720
652.982997357845000	 0.179133590234799
653.215955972672000	 0.182387947459794
653.448914587498000	 0.185514164340704
653.681873202324000	 0.188569918399450
653.914831817150000	 0.191747351170573
654.147790431976000	 0.195239302742502
654.380749046803000	 0.199103940595317
654.613707661629000	 0.203202644967611
654.846666276455000	 0.207244134348769
655.079624891281000	 0.210914261860009
655.312583506107000	 0.214021636507600
655.545542120934000	 0.216572124019945
655.778500735760000	 0.218726474644203
656.011459350586000	 0.220672704014105
656.244417965412000	 0.222496818779636
656.477376580238000	 0.224128187853054
656.710335195065000	 0.225386683466977
656.943293809891000	 0.226099233049411
657.176252424717000	 0.226209951909064
657.409211039543000	 0.225808665221944
657.642169654369000	 0.225057267157923
657.875128269196000	 0.224064725149272
658.108086884022000	 0.222794050710125
658.341045498848000	 0.221061334537398
658.574004113674000	 0.218631714846956
658.806962728500000	 0.215359579168106
659.039921343327000	 0.211288319036625
659.272879958153000	 0.206645370765984
659.505838572979000	 0.201736430073840
659.738797187805000	 0.196807303504072
659.971755802631000	 0.191953886037924
660.204714417458000	 0.187122754656910
660.437673032284000	 0.182191878525833
660.670631647110000	 0.177080439552510
660.903590261936000	 0.171824132817332
661.136548876762000	 0.166576131193283
661.369507491589000	 0.161541899681213
661.602466106415000	 0.156893716446328
661.835424721241000	 0.152713413858794
662.068383336067000	 0.148986872772159
662.301341950893000	 0.145643472871752
662.534300565720000	 0.142612463623812
662.767259180546000	 0.139862417921329
663.000217795372000	 0.137402744525709
663.233176410198000	 0.135251590623925
663.466135025024000	 0.133395287092406
663.699093639851000	 0.131767098865269
663.932052254677000	 0.130258805906493
664.165010869503000	 0.128758241642359
664.397969484329000	 0.127190036927444
664.630928099155000	 0.125534167292424
664.863886713982000	 0.123811116553217
665.096845328808000	 0.122045532900660
665.329803943634000	 0.120235483360773
665.562762558460000	 0.118350728876310
665.795721173286000	 0.116364145305154
666.028679788113000	 0.114299100912382
666.261638402939000	 0.112266893047639
666.494597017765000	 0.110477721860932
666.727555632591000	 0.109225792868700
666.960514247417000	 0.108854255942912
667.193472862244000	 0.109685195095732
667.426431477070000	 0.111861366034067
667.659390091896000	 0.115057997779926
667.892348706722000	 0.118251983198810
668.125307321548000	 0.120088239385478
668.358265936375000	 0.119883534734743
668.591224551201000	 0.118077412701768
668.824183166027000	 0.115595488877552
669.057141780853000	 0.113138153788492
669.290100395679000	 0.111009532946456
669.523059010506000	 0.109250219891910
669.756017625332000	 0.107797152928677
669.988976240158000	 0.106588833158934
670.221934854984000	 0.105613944966356
670.454893469810000	 0.104911016099111
670.687852084637000	 0.104531655408178
670.920810699463000	 0.104491330444466
671.153769314289000	 0.104735991871094
671.386727929115000	 0.105143161601122
671.619686543942000	 0.105558971042379
671.852645158768000	 0.105855634362660
672.085603773594000	 0.105981259331648
672.318562388420000	 0.105973682663237
672.551521003246000	 0.105928970253140
672.784479618072000	 0.105943440397704
673.017438232899000	 0.106063216942558
673.250396847725000	 0.106267575806754
673.483355462551000	 0.106491856678009
673.716314077377000	 0.106675619638271
673.949272692204000	 0.106808705444948
674.182231307030000	 0.106947812035205
674.415189921856000	 0.107193023645872
674.648148536682000	 0.107638445675711
674.881107151508000	 0.108325313928946
675.114065766335000	 0.109221332200674
675.347024381161000	 0.110234355794496
675.579982995987000	 0.111252231683368
675.812941610813000	 0.112188426428306
676.045900225639000	 0.113009550733995
676.278858840466000	 0.113731131201067
676.511817455292000	 0.114388100635391
676.744776070118000	 0.115001950948805
676.977734684944000	 0.115566267287723
677.210693299770000	 0.116058758563398
677.443651914597000	 0.116470645165545
677.676610529423000	 0.116832584981655
677.909569144249000	 0.117217260552150
678.142527759075000	 0.117713530926446
678.375486373901000	 0.118386126007879
678.608444988728000	 0.119244163053693
678.841403603554000	 0.120236207505238
679.074362218380000	 0.121275176132120
679.307320833206000	 0.122281026271191
679.540279448032000	 0.123218795194236
679.773238062859000	 0.124110333903174
680.006196677685000	 0.125012809870364
680.239155292511000	 0.125977613876379
680.472113907337000	 0.127014974068028
680.705072522163000	 0.128085224443762
680.938031136990000	 0.129122131420136
681.170989751816000	 0.130075776851775
681.403948366642000	 0.130950219587697
681.636906981468000	 0.131812193627017
681.869865596294000	 0.132763785457560
682.102824211121000	 0.133894300111439
682.335782825947000	 0.135238395180291
682.568741440773000	 0.136762552805274
682.801700055599000	 0.138386157773529
683.034658670426000	 0.140025739041347
683.267617285252000	 0.141638172432167
683.500575900078000	 0.143237868413500
683.733534514904000	 0.144877755801845
683.966493129730000	 0.146606319200131
684.199451744556000	 0.148427435583565
684.432410359383000	 0.150287491092662
684.665368974209000	 0.152098722092080
684.898327589035000	 0.153787484578103
685.131286203861000	 0.155340337458508
685.364244818687000	 0.156819443427085
685.597203433514000	 0.158336262114659
685.830162048340000	 0.159998439434356
686.063120663166000	 0.161860429360885
686.296079277992000	 0.163904668476722
686.529037892818000	 0.166062748386807
686.761996507645000	 0.168265086592093
686.994955122471000	 0.170491606646489
687.227913737297000	 0.172793656112681
