Created as New Dataset,Sample 129 By YargerLab Date Wednesday, June 05 2024
cm-1,A
3685.00,0.0087
3684.00,0.0087
3683.00,0.0087
3682.00,0.0087
3681.00,0.0087
3680.00,0.0086
3679.00,0.0087
3678.00,0.0088
3677.00,0.0089
3676.00,0.0090
3675.00,0.0090
3674.00,0.0090
3673.00,0.0091
3672.00,0.0092
3671.00,0.0092
3670.00,0.0091
3669.00,0.0089
3668.00,0.0088
3667.00,0.0088
3666.00,0.0088
3665.00,0.0088
3664.00,0.0087
3663.00,0.0087
3662.00,0.0086
3661.00,0.0086
3660.00,0.0086
3659.00,0.0087
3658.00,0.0088
3657.00,0.0088
3656.00,0.0089
3655.00,0.0090
3654.00,0.0091
3653.00,0.0092
3652.00,0.0094
3651.00,0.0095
3650.00,0.0096
3649.00,0.0097
3648.00,0.0097
3647.00,0.0097
3646.00,0.0095
3645.00,0.0094
3644.00,0.0093
3643.00,0.0092
3642.00,0.0091
3641.00,0.0090
3640.00,0.0090
3639.00,0.0090
3638.00,0.0090
3637.00,0.0091
3636.00,0.0091
3635.00,0.0092
3634.00,0.0092
3633.00,0.0093
3632.00,0.0094
3631.00,0.0096
3630.00,0.0097
3629.00,0.0097
3628.00,0.0098
3627.00,0.0098
3626.00,0.0098
3625.00,0.0098
3624.00,0.0098
3623.00,0.0097
3622.00,0.0097
3621.00,0.0097
3620.00,0.0097
3619.00,0.0097
3618.00,0.0098
3617.00,0.0100
3616.00,0.0101
3615.00,0.0102
3614.00,0.0102
3613.00,0.0103
3612.00,0.0103
3611.00,0.0104
3610.00,0.0105
3609.00,0.0105
3608.00,0.0104
3607.00,0.0103
3606.00,0.0102
3605.00,0.0102
3604.00,0.0102
3603.00,0.0102
3602.00,0.0102
3601.00,0.0102
3600.00,0.0103
3599.00,0.0103
3598.00,0.0104
3597.00,0.0104
3596.00,0.0104
3595.00,0.0104
3594.00,0.0105
3593.00,0.0106
3592.00,0.0107
3591.00,0.0108
3590.00,0.0109
3589.00,0.0109
3588.00,0.0109
3587.00,0.0109
3586.00,0.0109
3585.00,0.0109
3584.00,0.0110
3583.00,0.0110
3582.00,0.0109
3581.00,0.0109
3580.00,0.0109
3579.00,0.0109
3578.00,0.0109
3577.00,0.0110
3576.00,0.0110
3575.00,0.0111
3574.00,0.0111
3573.00,0.0112
3572.00,0.0113
3571.00,0.0115
3570.00,0.0116
3569.00,0.0118
3568.00,0.0118
3567.00,0.0118
3566.00,0.0118
3565.00,0.0119
3564.00,0.0119
3563.00,0.0119
3562.00,0.0119
3561.00,0.0119
3560.00,0.0119
3559.00,0.0119
3558.00,0.0119
3557.00,0.0120
3556.00,0.0120
3555.00,0.0121
3554.00,0.0121
3553.00,0.0122
3552.00,0.0122
3551.00,0.0123
3550.00,0.0124
3549.00,0.0126
3548.00,0.0127
3547.00,0.0127
3546.00,0.0128
3545.00,0.0128
3544.00,0.0128
3543.00,0.0128
3542.00,0.0128
3541.00,0.0128
3540.00,0.0128
3539.00,0.0128
3538.00,0.0129
3537.00,0.0129
3536.00,0.0130
3535.00,0.0130
3534.00,0.0131
3533.00,0.0131
3532.00,0.0132
3531.00,0.0133
3530.00,0.0133
3529.00,0.0134
3528.00,0.0135
3527.00,0.0136
3526.00,0.0137
3525.00,0.0137
3524.00,0.0138
3523.00,0.0138
3522.00,0.0138
3521.00,0.0138
3520.00,0.0138
3519.00,0.0138
3518.00,0.0139
3517.00,0.0139
3516.00,0.0140
3515.00,0.0140
3514.00,0.0141
3513.00,0.0141
3512.00,0.0141
3511.00,0.0142
3510.00,0.0142
3509.00,0.0143
3508.00,0.0143
3507.00,0.0144
3506.00,0.0145
3505.00,0.0146
3504.00,0.0146
3503.00,0.0146
3502.00,0.0147
3501.00,0.0147
3500.00,0.0148
3499.00,0.0148
3498.00,0.0148
3497.00,0.0149
3496.00,0.0149
3495.00,0.0149
3494.00,0.0150
3493.00,0.0150
3492.00,0.0151
3491.00,0.0151
3490.00,0.0152
3489.00,0.0152
3488.00,0.0153
3487.00,0.0153
3486.00,0.0154
3485.00,0.0154
3484.00,0.0154
3483.00,0.0155
3482.00,0.0155
3481.00,0.0156
3480.00,0.0156
3479.00,0.0157
3478.00,0.0157
3477.00,0.0158
3476.00,0.0158
3475.00,0.0158
3474.00,0.0158
3473.00,0.0159
3472.00,0.0160
3471.00,0.0160
3470.00,0.0161
3469.00,0.0162
3468.00,0.0162
3467.00,0.0162
3466.00,0.0163
3465.00,0.0163
3464.00,0.0164
3463.00,0.0164
3462.00,0.0165
3461.00,0.0165
3460.00,0.0165
3459.00,0.0166
3458.00,0.0166
3457.00,0.0166
3456.00,0.0167
3455.00,0.0167
3454.00,0.0168
3453.00,0.0168
3452.00,0.0168
3451.00,0.0169
3450.00,0.0169
3449.00,0.0170
3448.00,0.0170
3447.00,0.0171
3446.00,0.0172
3445.00,0.0172
3444.00,0.0173
3443.00,0.0173
3442.00,0.0174
3441.00,0.0174
3440.00,0.0174
3439.00,0.0175
3438.00,0.0176
3437.00,0.0176
3436.00,0.0177
3435.00,0.0177
3434.00,0.0178
3433.00,0.0178
3432.00,0.0179
3431.00,0.0179
3430.00,0.0180
3429.00,0.0180
3428.00,0.0180
3427.00,0.0181
3426.00,0.0181
3425.00,0.0182
3424.00,0.0182
3423.00,0.0183
3422.00,0.0183
3421.00,0.0184
3420.00,0.0184
3419.00,0.0185
3418.00,0.0186
3417.00,0.0186
3416.00,0.0187
3415.00,0.0188
3414.00,0.0188
3413.00,0.0189
3412.00,0.0189
3411.00,0.0190
3410.00,0.0191
3409.00,0.0191
3408.00,0.0192
3407.00,0.0192
3406.00,0.0192
