Name; Comment; 
10_10_2023_0_vd_00047-00048_sub.dat; SilkFilm_MeOH - SilkFilm_MeOH_SAXS_HI_1200s; 
10_10_2023_0_vd_00049-00050.dat; ICG_silk_unlasered - ICG_silk_unlasered_SAXS_HI_1200s; 
10_10_2023_0_vd_00049-00050_azimAvg.dat; ICG_silk_unlasered - ICG_silk_unlasered_SAXS_HI_1200s; 
10_10_2023_0_vd_00049-00050_azimAvg_20degree_horizontal.dat; ICG_silk_unlasered - ICG_silk_unlasered_SAXS_HI_1200s; 
10_10_2023_0_vd_00049-00050_azimAvg_20degree_horizontal_sub.dat; ICG_silk_unlasered - ICG_silk_unlasered_SAXS_HI_1200s; 
10_10_2023_0_vd_00049-00050_azimAvg_20degree_vertical.dat; ICG_silk_unlasered - ICG_silk_unlasered_SAXS_HI_1200s; 
10_10_2023_0_vd_00049-00050_azimAvg_20degree_vertical_sub.dat; ICG_silk_unlasered - ICG_silk_unlasered_SAXS_HI_1200s; 
10_10_2023_0_vd_00049-00050_azimAvg_sub.dat; ICG_silk_unlasered - ICG_silk_unlasered_SAXS_HI_1200s; 
10_10_2023_0_vd_00049-00050_sub.dat; ICG_silk_unlasered - ICG_silk_unlasered_SAXS_HI_1200s; 
10_10_2023_0_vd_00051-00052.dat; alpha_3X - alpha_3X_SAXS_HI_1200s; 
10_10_2023_0_vd_00051-00052_azimAvg.dat; alpha_3X - alpha_3X_SAXS_HI_1200s; 
10_10_2023_0_vd_00051-00052_azimAvg_20degree_horizontal.dat; alpha_3X - alpha_3X_SAXS_HI_1200s; 
10_10_2023_0_vd_00051-00052_azimAvg_20degree_horizontal_sub.dat; alpha_3X - alpha_3X_SAXS_HI_1200s; 
10_10_2023_0_vd_00051-00052_azimAvg_20degree_vertical.dat; alpha_3X - alpha_3X_SAXS_HI_1200s; 
10_10_2023_0_vd_00051-00052_azimAvg_20degree_vertical_sub.dat; alpha_3X - alpha_3X_SAXS_HI_1200s; 
10_10_2023_0_vd_00051-00052_azimAvg_sub.dat; alpha_3X - alpha_3X_SAXS_HI_1200s; 
10_10_2023_0_vd_00051-00052_sub.dat; alpha_3X - alpha_3X_SAXS_HI_1200s; 
