Name; Comment; 
10_10_2023_0_vd_00037-00038_azimAvg_20degree_horizontal.dat; gamma_2X - gamma_2X_SAXS_HI_1200s; 
10_10_2023_0_vd_00037-00038_azimAvg_20degree_horizontal_sub.dat; gamma_2X - gamma_2X_SAXS_HI_1200s; 
10_10_2023_0_vd_00037-00038_azimAvg_20degree_vertical.dat; gamma_2X - gamma_2X_SAXS_HI_1200s; 
10_10_2023_0_vd_00037-00038_azimAvg_20degree_vertical_sub.dat; gamma_2X - gamma_2X_SAXS_HI_1200s; 
10_10_2023_0_vd_00037-00038_azimAvg_sub.dat; gamma_2X - gamma_2X_SAXS_HI_1200s; 
10_10_2023_0_vd_00037-00038_sub.dat; gamma_2X - gamma_2X_SAXS_HI_1200s; 
10_10_2023_0_vd_00039-00040.dat; gamma_1X - gamma_1X_SAXS_HI_1200s; 
10_10_2023_0_vd_00039-00040_azimAvg.dat; gamma_1X - gamma_1X_SAXS_HI_1200s; 
10_10_2023_0_vd_00039-00040_azimAvg_20degree_horizontal.dat; gamma_1X - gamma_1X_SAXS_HI_1200s; 
10_10_2023_0_vd_00039-00040_azimAvg_20degree_horizontal_sub.dat; gamma_1X - gamma_1X_SAXS_HI_1200s; 
10_10_2023_0_vd_00039-00040_azimAvg_20degree_vertical.dat; gamma_1X - gamma_1X_SAXS_HI_1200s; 
10_10_2023_0_vd_00039-00040_azimAvg_20degree_vertical_sub.dat; gamma_1X - gamma_1X_SAXS_HI_1200s; 
10_10_2023_0_vd_00039-00040_azimAvg_sub.dat; gamma_1X - gamma_1X_SAXS_HI_1200s; 
10_10_2023_0_vd_00039-00040_sub.dat; gamma_1X - gamma_1X_SAXS_HI_1200s; 
10_10_2023_0_vd_00041-00042.dat; alpha_0X - alpha_0X_SAXS_HI_1200s; 
10_10_2023_0_vd_00041-00042_azimAvg.dat; alpha_0X - alpha_0X_SAXS_HI_1200s; 
10_10_2023_0_vd_00041-00042_azimAvg_20degree_horizontal.dat; alpha_0X - alpha_0X_SAXS_HI_1200s; 
10_10_2023_0_vd_00041-00042_azimAvg_20degree_horizontal_sub.dat; alpha_0X - alpha_0X_SAXS_HI_1200s; 
10_10_2023_0_vd_00041-00042_azimAvg_20degree_vertical.dat; alpha_0X - alpha_0X_SAXS_HI_1200s; 
10_10_2023_0_vd_00041-00042_azimAvg_20degree_vertical_sub.dat; alpha_0X - alpha_0X_SAXS_HI_1200s; 
10_10_2023_0_vd_00041-00042_azimAvg_sub.dat; alpha_0X - alpha_0X_SAXS_HI_1200s; 
10_10_2023_0_vd_00041-00042_sub.dat; alpha_0X - alpha_0X_SAXS_HI_1200s; 
10_10_2023_0_vd_00043-00044.dat; gamma_3X - gamma_3X_SAXS_HI_1200s; 
10_10_2023_0_vd_00043-00044_azimAvg.dat; gamma_3X - gamma_3X_SAXS_HI_1200s; 
10_10_2023_0_vd_00043-00044_azimAvg_20degree_horizontal.dat; gamma_3X - gamma_3X_SAXS_HI_1200s; 
10_10_2023_0_vd_00043-00044_azimAvg_20degree_horizontal_sub.dat; gamma_3X - gamma_3X_SAXS_HI_1200s; 
10_10_2023_0_vd_00043-00044_azimAvg_20degree_vertical.dat; gamma_3X - gamma_3X_SAXS_HI_1200s; 
10_10_2023_0_vd_00043-00044_azimAvg_20degree_vertical_sub.dat; gamma_3X - gamma_3X_SAXS_HI_1200s; 
10_10_2023_0_vd_00043-00044_azimAvg_sub.dat; gamma_3X - gamma_3X_SAXS_HI_1200s; 
10_10_2023_0_vd_00043-00044_sub.dat; gamma_3X - gamma_3X_SAXS_HI_1200s; 
10_10_2023_0_vd_00045-00046.dat; alpha_2X - alpha_2X_SAXS_HI_1200s; 
10_10_2023_0_vd_00045-00046_azimAvg.dat; alpha_2X - alpha_2X_SAXS_HI_1200s; 
10_10_2023_0_vd_00045-00046_azimAvg_20degree_horizontal.dat; alpha_2X - alpha_2X_SAXS_HI_1200s; 
10_10_2023_0_vd_00045-00046_azimAvg_20degree_horizontal_sub.dat; alpha_2X - alpha_2X_SAXS_HI_1200s; 
10_10_2023_0_vd_00045-00046_azimAvg_20degree_vertical.dat; alpha_2X - alpha_2X_SAXS_HI_1200s; 
10_10_2023_0_vd_00045-00046_azimAvg_20degree_vertical_sub.dat; alpha_2X - alpha_2X_SAXS_HI_1200s; 
10_10_2023_0_vd_00045-00046_azimAvg_sub.dat; alpha_2X - alpha_2X_SAXS_HI_1200s; 
10_10_2023_0_vd_00045-00046_sub.dat; alpha_2X - alpha_2X_SAXS_HI_1200s; 
10_10_2023_0_vd_00047-00048.dat; SilkFilm_MeOH - SilkFilm_MeOH_SAXS_HI_1200s; 
10_10_2023_0_vd_00047-00048_azimAvg.dat; SilkFilm_MeOH - SilkFilm_MeOH_SAXS_HI_1200s; 
10_10_2023_0_vd_00047-00048_azimAvg_20degree_horizontal.dat; SilkFilm_MeOH - SilkFilm_MeOH_SAXS_HI_1200s; 
10_10_2023_0_vd_00047-00048_azimAvg_20degree_horizontal_sub.dat; SilkFilm_MeOH - SilkFilm_MeOH_SAXS_HI_1200s; 
10_10_2023_0_vd_00047-00048_azimAvg_20degree_vertical.dat; SilkFilm_MeOH - SilkFilm_MeOH_SAXS_HI_1200s; 
10_10_2023_0_vd_00047-00048_azimAvg_20degree_vertical_sub.dat; SilkFilm_MeOH - SilkFilm_MeOH_SAXS_HI_1200s; 
10_10_2023_0_vd_00047-00048_azimAvg_sub.dat; SilkFilm_MeOH - SilkFilm_MeOH_SAXS_HI_1200s; 
