################################################################################
# EDF_DataBlockID                 0.Image.Psd
# EDF_BinarySize                  4366944
# EDF_HeaderSize                  3072
# ByteOrder                       LowByteFirst
# DataType                        FloatValue
# Dim_1                           1028
# Dim_2                           1062
# Image                           0
# HeaderID                        EH:000000:000000:000000
# Size                            4366944
# BIO_SYSTEM_CONF_TXT             WAXSRES
# Center_1                        596.9810
# Center_2                        596.0160
# Comment                         GL_major - GL_major_WAXS_HI_600s
# DDummy                          0.6
# Date                            2023-10-10T18:37:53
# Delta                           0
# Detector                        0
# Dummy                           -1.5
# ExposureTime                    600
# Force                           9.91088
# Gamma                           0
# Intensity1                      1.08569e-07
# JawsDistance                    4.54563
# JawsVelocity                    0.358589
# Monitor                         0
# PSize_1                         7.5e-05
# PSize_2                         7.5e-05
# Pil_Roi0                        6.51433e+10
# Pressure                        0.104749
# SampleDistance                  0.0500003
# SampleEnvKind                   saxs
# SampleEnvPN                     Solids
# SampleEnvSN                     1012
# Strain                          0
# Stress                          0
# SumForIntensity1                6.51415e+10
# Thickness                       0
# TransmittedFlux                 1.08569e+08
# WaveLength                      1.541891e-10
# Wavelength                      1.54189e-10
# anaB                            0
# anaB_dial                       -0.0012015
# anaPark                         -175.125
# anaPark_dial                    175.169
# anaXi                           0
# anaXi_dial                      0
# anaZ                            -9.13123e-08
# anaZ_dial                       6.2299
# aux                             0
# aux_dial                        -0.000125
# b2c                             0
# b2c_dial                        0
# beamx                           593.619
# beamx_dial                      593.619
# beamz                           598.016
# beamz_dial                      598.016
# bioZ                            -2.90461e-08
# bioZ_dial                       -0.546695
# det                             0
# det0x                           0.750094
# det0x_dial                      5.30622
# det0xvd                         0.75
# det0xvd_dial                    0.75
# det0y                           50.0003
# det0y_dial                      893.512
# det0z                           -4.125
# det0z_dial                      10.4608
# det0zvd                         -4.125
# det0zvd_dial                    -4.125
# distana                         93.4
# distana_dial                    93.4
# mag                             1.091
# mag_dial                        1.091
# mon                             0
# mono1B                          1.00136e-08
# mono1B_dial                     -0.277
# mono2B                          1.75476e-07
# mono2B_dial                     -4.366
# mono2X                          -1
# mono2X_dial                     3.96031
# mono2Xi                         0
# mono2Xi_dial                    0
# monoZ                           -11
# monoZ_dial                      -10.6609
# om                              1.30741e-08
# om_dial                         -0.939898
# phi                             -4.9295e-08
# phi_dial                        -7.01716
# pilai0                          6.51415e+10
# pilai1                          0
# pilct0                          6.51444e+10
# pilct1                          0
# pilroi0                         6.51433e+10
# pilroi1                         0
# qana                            0
# qana_dial                       0
# ry                              0
# ry_dial                         0.00149998
# s1bot                           1.45
# s1bot_dial                      -2.02906
# s1hl                            0.55
# s1hl_dial                       -0.47125
# s1hr                            1.95
# s1hr_dial                       2.31625
# s1top                           1.05
# s1top_dial                      1.23391
# s2bot                           1.2
# s2bot_dial                      -2.09531
# s2hl                            0.6
# s2hl_dial                       -1.365
# s2hr                            0.8
# s2hr_dial                       -0.0153125
# s2top                           0.2
# s2top_dial                      -1.18281
# sec                             0.099
# title                           10_10_2023_0_00008.edf
# ttdeg                           0
# ttdeg_dial                      0
# usaxs0                          0
# wind                            72.0045
# wind_dial                       72.0233
# x                               39.9
# x_dial                          40.6097
# z                               -13.5
# z_dial                          5.60906
# CountCutoff                     15302352
# DetectorModel                   Dectris EIGER2 Si 1M, S/N E-02-0357
# ThresholdSetting                4023.88989258
# Saturation                      0
# FlatField                       Corrected
# BackgroundReductionExtra        0.02
################################################################################
q(A-1)                    I(q)                      Sig(q)                    
0.0030562210859526916     1903.655845837132         0.05698327322522216       
0.009168663257858074      1909.9847805484212        0.040360319459913106      
0.015281105429763455      1867.0124422680126        0.02523750791247498       
0.02139354760166884       1777.57208646194          0.024625846221403947      
0.027505989773574224      1677.7985664629405        0.020220371901319117      
0.0336184319454796        1552.7759250713614        0.01819636165832646       
0.03973087411738499       1351.0418811513246        0.014475119217576266      
0.04584331628929037       1074.6266787932493        0.01187550936230316       
0.05195575846119575       746.5433791344884         0.010302528242735295      
0.058068200633101134      546.1755882270505         0.00788206707411555       
0.0641806428050065        353.0715922285661         0.005997334307161517      
0.07029308497691189       248.4725694863506         0.004994188252909572      
0.07640552714881728       153.76729353762647        0.00345373278528289       
0.08251796932072265       82.12597690810439         0.002698438030104979      
0.08863041149262804       48.366273981253705        0.0018356768396457562     
0.09474285366453342       18.160657767608257        0.0011248984628219533     
0.1008552958364388        8.704730635154222         0.0007788402369662701     
0.1069677380083442        1.743069708579277         0.00032897942768957524    
0.11308018018024958       0.3645928603455545        0.0001547462811565521     
0.11919262235215496       0.0959631348496294        6.747340919445604e-05     
0.12530506452406032       0.006329298519276127      1.8453087830086575e-05    
0.13141750669596572       0.001281399549634992      8.114096505136531e-06     
0.1375299488678711        0.000384151250055898      4.361808861083756e-06     
0.14364239103977647       0.00027197523691735665    3.6183322123708887e-06    
0.14975483321168187       0.00023001552395516143    3.06862544900663e-06      
0.15586727538358724       0.00020017401345059457    2.991018568064444e-06     
0.16197971755549262       0.00019133464620052864    2.824704421636093e-06     
0.168092159727398         0.00017626416591174       2.5881152418797864e-06    
0.1742046018993034        0.00017002393065501764    2.5563769521145574e-06    
0.18031704407120877       0.00015917610418517516    2.4264692062525186e-06    
0.18642948624311415       0.0001553769276682781     2.372072257013226e-06     
0.19254192841501955       0.0001494954310049446     2.228906597723688e-06     
0.19865437058692492       0.0001484169526545928     2.22109557890445e-06      
0.2047668127588303        0.00013856223118484325    2.1157419003646514e-06    
0.2108792549307357        0.0001395062091722334     2.1644020895423093e-06    
0.21699169710264107       0.00013762757592929875    2.06567855689332e-06      
0.22310413927454648       0.00013316174761967254    1.930041514415996e-06     
0.22921658144645185       0.00013211159861835315    1.971550662618786e-06     
0.23532902361835722       0.00012858987030974793    1.8971063566340389e-06    
0.2414414657902626        0.00012992813977544482    1.9033219954206983e-06    
0.24755390796216797       0.00012922574409851272    1.8466095172217873e-06    
0.25366635013407335       0.00012566790927140433    1.8212636636631032e-06    
0.2597787923059788        0.0001265557668297403     1.8350116940522675e-06    
0.26589123447788415       0.00012363907597058514    1.7229229201041545e-06    
0.2720036766497895        0.00012521155708369796    1.7588791433440483e-06    
0.2781161188216949        0.00012236577633098332    1.6968410662436864e-06    
0.2842285609936003        0.00012404522603071667    1.7736764197887204e-06    
0.29034100316550565       0.00012364323855621243    1.7645791526026658e-06    
0.2964534453374111        0.00012458616322589468    1.7071448589404067e-06    
0.30256588750931646       0.00012178084893547461    1.7714001290428068e-06    
0.30867832968122183       0.00012693269370840033    1.7887937264598735e-06    
0.3147907718531272        0.00012103128406559455    1.7406498630732392e-06    
0.3209032140250326        0.00012134464231415555    1.7123559270069658e-06    
0.32701565619693795       0.00012574045347345236    1.7526582054541461e-06    
0.33312809836884333       0.00012408502977135884    1.7731201978868133e-06    
0.33924054054074876       0.00012408704851096775    1.694333349732454e-06     
0.34535298271265413       0.00012407877053358877    1.726773895885626e-06     
0.3514654248845595        0.000122981502465137      1.7105376699289829e-06    
