Created as New Dataset,Sample 636 By YargerLab Date Saturday, June 07 2025
cm-1,A
3685.00,0.0109
3684.00,0.0109
3683.00,0.0109
3682.00,0.0109
3681.00,0.0109
3680.00,0.0109
3679.00,0.0109
3678.00,0.0108
3677.00,0.0107
3676.00,0.0106
3675.00,0.0106
3674.00,0.0106
3673.00,0.0106
3672.00,0.0105
3671.00,0.0104
3670.00,0.0105
3669.00,0.0107
3668.00,0.0107
3667.00,0.0108
3666.00,0.0108
3665.00,0.0109
3664.00,0.0110
3663.00,0.0110
3662.00,0.0111
3661.00,0.0111
3660.00,0.0110
3659.00,0.0110
3658.00,0.0109
3657.00,0.0109
3656.00,0.0108
3655.00,0.0108
3654.00,0.0107
3653.00,0.0105
3652.00,0.0103
3651.00,0.0101
3650.00,0.0101
3649.00,0.0100
3648.00,0.0099
3647.00,0.0100
3646.00,0.0101
3645.00,0.0103
3644.00,0.0104
3643.00,0.0106
3642.00,0.0107
3641.00,0.0108
3640.00,0.0108
3639.00,0.0108
3638.00,0.0108
3637.00,0.0108
3636.00,0.0107
3635.00,0.0106
3634.00,0.0106
3633.00,0.0106
3632.00,0.0106
3631.00,0.0105
3630.00,0.0104
3629.00,0.0104
3628.00,0.0103
3627.00,0.0103
3626.00,0.0102
3625.00,0.0102
3624.00,0.0103
3623.00,0.0103
3622.00,0.0104
3621.00,0.0105
3620.00,0.0105
3619.00,0.0104
3618.00,0.0103
3617.00,0.0102
3616.00,0.0100
3615.00,0.0100
3614.00,0.0100
3613.00,0.0100
3612.00,0.0100
3611.00,0.0100
3610.00,0.0099
3609.00,0.0099
3608.00,0.0100
3607.00,0.0101
3606.00,0.0102
3605.00,0.0103
3604.00,0.0104
3603.00,0.0104
3602.00,0.0104
3601.00,0.0104
3600.00,0.0104
3599.00,0.0104
3598.00,0.0104
3597.00,0.0103
3596.00,0.0103
3595.00,0.0103
3594.00,0.0103
3593.00,0.0103
3592.00,0.0102
3591.00,0.0101
3590.00,0.0100
3589.00,0.0100
3588.00,0.0101
3587.00,0.0102
3586.00,0.0102
3585.00,0.0102
3584.00,0.0102
3583.00,0.0103
3582.00,0.0103
3581.00,0.0104
3580.00,0.0105
3579.00,0.0106
3578.00,0.0106
3577.00,0.0106
3576.00,0.0106
3575.00,0.0106
3574.00,0.0106
3573.00,0.0105
3572.00,0.0104
3571.00,0.0103
3570.00,0.0101
3569.00,0.0100
3568.00,0.0099
3567.00,0.0099
3566.00,0.0100
3565.00,0.0100
3564.00,0.0101
3563.00,0.0101
3562.00,0.0102
3561.00,0.0103
3560.00,0.0104
3559.00,0.0105
3558.00,0.0105
3557.00,0.0106
3556.00,0.0105
3555.00,0.0105
3554.00,0.0105
3553.00,0.0105
3552.00,0.0105
3551.00,0.0105
3550.00,0.0104
3549.00,0.0103
3548.00,0.0102
3547.00,0.0101
3546.00,0.0102
3545.00,0.0102
3544.00,0.0103
3543.00,0.0103
3542.00,0.0104
3541.00,0.0104
3540.00,0.0105
3539.00,0.0105
3538.00,0.0105
3537.00,0.0105
3536.00,0.0105
3535.00,0.0105
3534.00,0.0105
3533.00,0.0105
3532.00,0.0104
3531.00,0.0104
3530.00,0.0104
3529.00,0.0104
3528.00,0.0103
3527.00,0.0103
3526.00,0.0103
3525.00,0.0103
3524.00,0.0103
3523.00,0.0103
3522.00,0.0104
3521.00,0.0104
3520.00,0.0104
3519.00,0.0105
3518.00,0.0105
3517.00,0.0105
3516.00,0.0104
3515.00,0.0104
3514.00,0.0104
3513.00,0.0104
3512.00,0.0104
3511.00,0.0104
3510.00,0.0104
3509.00,0.0104
3508.00,0.0104
3507.00,0.0103
3506.00,0.0103
3505.00,0.0103
3504.00,0.0103
3503.00,0.0103
3502.00,0.0103
3501.00,0.0103
3500.00,0.0103
3499.00,0.0103
3498.00,0.0103
3497.00,0.0103
3496.00,0.0104
3495.00,0.0104
3494.00,0.0104
3493.00,0.0104
3492.00,0.0104
3491.00,0.0104
3490.00,0.0103
3489.00,0.0103
3488.00,0.0103
3487.00,0.0103
3486.00,0.0103
3485.00,0.0102
3484.00,0.0102
3483.00,0.0102
3482.00,0.0102
3481.00,0.0102
3480.00,0.0103
3479.00,0.0103
3478.00,0.0103
3477.00,0.0103
3476.00,0.0104
3475.00,0.0104
3474.00,0.0104
3473.00,0.0103
3472.00,0.0103
3471.00,0.0103
3470.00,0.0103
3469.00,0.0103
3468.00,0.0103
3467.00,0.0103
3466.00,0.0103
3465.00,0.0103
3464.00,0.0103
3463.00,0.0103
3462.00,0.0102
3461.00,0.0102
3460.00,0.0102
3459.00,0.0102
3458.00,0.0102
3457.00,0.0102
3456.00,0.0103
3455.00,0.0103
3454.00,0.0103
3453.00,0.0103
3452.00,0.0103
3451.00,0.0103
3450.00,0.0102
3449.00,0.0102
3448.00,0.0102
3447.00,0.0102
3446.00,0.0102
3445.00,0.0102
3444.00,0.0103
3443.00,0.0103
3442.00,0.0103
3441.00,0.0103
3440.00,0.0103
3439.00,0.0103
3438.00,0.0103
3437.00,0.0103
3436.00,0.0103
3435.00,0.0104
3434.00,0.0104
3433.00,0.0104
3432.00,0.0104
3431.00,0.0105
3430.00,0.0105
3429.00,0.0106
3428.00,0.0107
3427.00,0.0107
3426.00,0.0108
3425.00,0.0108
3424.00,0.0108
3423.00,0.0108
3422.00,0.0109
3421.00,0.0110
3420.00,0.0110
3419.00,0.0111
3418.00,0.0112
3417.00,0.0113
3416.00,0.0114
3415.00,0.0114
3414.00,0.0115
3413.00,0.0116
3412.00,0.0118
3411.00,0.0120
3410.00,0.0121
3409.00,0.0124
3408.00,0.0126
3407.00,0.0128
3406.00,0.0131
3405.00,0.0133
3404.00,0.0135
3403.00,0.0137
3402.00,0.0139
3401.00,0.0142
3400.00,0.0146
3399.00,0.0151
3398.00,0.0157
3397.00,0.0163
3396.00,0.0168
3395.00,0.0174
3394.00,0.0180
3393.00,0.0187
3392.00,0.0195
3391.00,0.0205
3390.00,0.0217
3389.00,0.0229
3388.00,0.0243
3387.00,0.0259
3386.00,0.0276
3385.00,0.0295
3384.00,0.0315
3383.00,0.0338
3382.00,0.0362
3381.00,0.0389
3380.00,0.0417
3379.00,0.0446
3378.00,0.0475
3377.00,0.0503
3376.00,0.0531
3375.00,0.0555
3374.00,0.0576
3373.00,0.0592
3372.00,0.0604
3371.00,0.0610
3370.00,0.0613
3369.00,0.0611
3368.00,0.0607
3367.00,0.0600
3366.00,0.0591
3365.00,0.0579
3364.00,0.0566
3363.00,0.0551
