f / Hz,T=324.99K,T=319.99K,T=314.99K,T=309.99K,T=304.99K,T=299.99K,T=294.99K,T=290.01K,T=284.99K,T=280K,T=277.49K,T=275K,T=272.5K,T=269.99K,T=267.5K,T=265K,T=262.5K,T=260K,T=257.5K,T=255K,T=252.5K,T=250K
178000,4.77862,4.81853,4.72407,4.30736,3.72529,3.33132,3.10328,3.00294,2.96168,2.92056,2.90512,2.89151,2.87933,2.86844,2.85914,2.85129,2.8446,2.83904,2.83435,2.83089,2.82832,2.82675
133000,4.78729,4.84912,4.82529,4.52636,3.91898,3.43222,3.15415,3.02996,2.97655,2.92952,2.91246,2.89757,2.88459,2.87294,2.8631,2.85472,2.84785,2.84196,2.83697,2.83329,2.83075,2.82883
100000,4.79249,4.86682,4.88955,4.70599,4.13871,3.55563,3.21466,3.06052,2.99256,2.93906,2.91986,2.90369,2.8896,2.87742,2.86699,2.85825,2.85096,2.84473,2.83955,2.83585,2.83304,2.83131
75000,4.79524,4.87695,4.92902,4.84106,4.3734,3.7092,3.28803,3.09635,3.01062,2.9486,2.9278,2.90998,2.89486,2.88175,2.87113,2.86169,2.8541,2.84784,2.84224,2.83836,2.83546,2.83327
56200,4.79702,4.88332,4.95275,4.93314,4.59687,3.89688,3.37892,3.13983,3.03215,2.96028,2.93634,2.91668,2.90048,2.88657,2.87519,2.86554,2.85747,2.85085,2.84527,2.84093,2.83804,2.83589
42200,4.79823,4.88698,4.96693,4.992,4.7838,4.1161,3.49098,3.1915,3.05645,2.97225,2.94522,2.92361,2.90598,2.89123,2.87917,2.86908,2.86048,2.85385,2.84789,2.84368,2.84052,2.8383
31600,4.79868,4.88933,4.97526,5.02774,4.92548,4.35731,3.63117,3.2546,3.08511,2.98605,2.9551,2.93076,2.91164,2.89554,2.88291,2.87232,2.86348,2.85615,2.85043,2.84584,2.84266,2.84038
23700,4.79957,4.89077,4.9803,5.04988,5.02197,4.59534,3.80204,3.33136,3.11894,3.00158,2.96588,2.93875,2.91759,2.90017,2.88668,2.87553,2.8666,2.85899,2.85292,2.84828,2.84502,2.84274
17800,4.79933,4.89111,4.98281,5.06236,5.08329,4.80348,4.00468,3.42479,3.15878,3.01887,2.97775,2.94703,2.92326,2.90502,2.89009,2.87843,2.86901,2.86132,2.85486,2.85016,2.84676,2.84447
13300,4.7993,4.89149,4.9843,5.06931,5.12162,4.96939,4.24052,3.542,3.20741,3.03939,2.99125,2.95625,2.92972,2.90974,2.89395,2.88177,2.87164,2.86382,2.85734,2.85204,2.84869,2.84633
10000,4.79952,4.89113,4.98472,5.07302,5.14373,5.08452,4.48566,3.68201,3.26475,3.0625,3.00629,2.96619,2.93674,2.91446,2.89767,2.88443,2.87404,2.86576,2.85867,2.85398,2.85055,2.84796
7500,4.79976,4.89211,4.98626,5.0763,5.15736,5.16219,4.7251,3.85533,3.33592,3.09107,3.02413,2.97778,2.9448,2.9201,2.90182,2.88765,2.87689,2.86838,2.86115,2.85591,2.85251,2.85022
5620,4.79974,4.89276,4.98656,5.07775,5.16525,5.21056,4.93175,4.06101,3.4223,3.12384,3.0449,2.991,2.95366,2.92624,2.90634,2.89109,2.87965,2.87054,2.86284,2.85752,2.85377,2.85145
4220,4.80021,4.89281,4.98705,5.07926,5.1706,5.24042,5.09081,4.29527,3.52701,3.16373,3.06969,3.0066,2.9634,2.93275,2.91088,2.89457,2.88226,2.87267,2.86515,2.85955,2.85575,2.85339
3160,4.79996,4.89254,4.98739,5.07949,5.17307,5.25748,5.20358,4.54958,3.65604,3.21125,3.09874,3.02456,2.97437,2.93974,2.91533,2.89805,2.88457,2.87448,2.86666,2.86127,2.85712,2.85452
2370,4.79992,4.8925,4.98748,5.07986,5.17446,5.2677,5.27759,4.80084,3.81176,3.26837,3.13252,3.04493,2.98745,2.94763,2.92057,2.9013,2.88746,2.87655,2.8684,2.86242,2.85849,2.85632
1780,4.80051,4.89279,4.98832,5.08088,5.17643,5.27392,5.32446,5.02568,3.9972,3.33748,3.17352,3.06944,3.0022,2.95713,2.92689,2.90562,2.89031,2.8791,2.87041,2.86431,2.86029,2.85759
1330,4.79989,4.89279,4.9878,5.08041,5.17652,5.27737,5.35217,5.20906,4.21736,3.42162,3.22268,3.09821,3.01902,2.96714,2.93297,2.90941,2.89286,2.88085,2.87179,2.86536,2.86126,2.8585
1000,4.79983,4.89252,4.98756,5.08092,5.17676,5.27924,5.36862,5.34042,4.46017,3.52223,3.28103,3.13192,3.03893,2.97902,2.9402,2.91411,2.8961,2.88308,2.87365,2.86691,2.86252,2.85992
