f / Hz,T=324.99K,T=319.99K,T=314.99K,T=309.99K,T=304.99K,T=299.99K,T=294.99K,T=290.01K,T=284.99K,T=280K,T=277.49K,T=275K,T=272.5K,T=269.99K,T=267.5K,T=265K,T=262.5K,T=260K,T=257.5K,T=255K,T=252.5K,T=250K
3160000,0.661718,0.530323,0.395307,0.289366,0.198765,0.131698,0.0860772,0.0573289,0.0306154,0.0194931,0.015074,0.020069,0.0173985,0.00769113,0.0136459,0.00481825,0.0114393,0.010702,0.00975684,0.0093885,0.00890798,0.00867815
2370000,0.719197,0.606278,0.456758,0.331253,0.226515,0.149068,0.0961812,0.063085,0.0360022,0.0233713,0.0186143,0.0211636,0.0180512,0.0101982,0.0142438,0.00716349,0.01177,0.0109041,0.0100079,0.00964356,0.00915448,0.00894697
1780000,0.745576,0.682561,0.527178,0.380686,0.259104,0.16898,0.107528,0.0692926,0.0410899,0.0268397,0.0217994,0.0224313,0.0150562,0.0125224,0.0148804,0.00905397,0.0122161,0.0112776,0.0104278,0.0098199,0.00945949,0.00915209
1330000,0.726629,0.748582,0.607155,0.440358,0.298959,0.193779,0.121734,0.0773289,0.0468711,0.0309813,0.0253012,0.0244871,0.017953,0.0152085,0.016401,0.0114372,0.0133658,0.0123518,0.0114159,0.0107388,0.0103153,0.0100999
1000000,0.663725,0.783791,0.688196,0.508372,0.345111,0.222048,0.13792,0.0860131,0.0524033,0.0344865,0.0283533,0.0262167,0.0202057,0.0173114,0.0174196,0.0131951,0.0140867,0.0130224,0.0120735,0.0113318,0.0109286,0.0105915
750000,0.570896,0.774548,0.763109,0.585877,0.3998,0.256351,0.157149,0.0961689,0.0584621,0.038163,0.0312252,0.0281318,0.022396,0.0192523,0.0186246,0.0149125,0.0150675,0.0138844,0.0127643,0.0120595,0.0115649,0.0113184
562000,0.468183,0.717003,0.81493,0.670104,0.463879,0.296757,0.180092,0.108086,0.0647252,0.0414191,0.0339139,0.0298655,0.0242202,0.0209814,0.0197449,0.0163789,0.0160612,0.0145645,0.0135452,0.0126691,0.0122113,0.0118576
422000,0.371587,0.624278,0.825385,0.753055,0.536831,0.344186,0.207078,0.121855,0.0716518,0.044701,0.0363706,0.031419,0.0257583,0.0222238,0.0205754,0.017443,0.0165612,0.0152628,0.0141598,0.013214,0.0125624,0.0122284
316000,0.288087,0.516508,0.785118,0.823602,0.619052,0.400249,0.239315,0.138442,0.0793207,0.0481505,0.0387231,0.0327387,0.02699,0.0233206,0.0210371,0.0181139,0.0170238,0.0155219,0.0144342,0.013369,0.0128754,0.0123839
237000,0.220825,0.412649,0.70096,0.863036,0.706205,0.465151,0.277601,0.158034,0.088343,0.0518409,0.0409942,0.0338506,0.0277657,0.023664,0.0212406,0.0184463,0.0171754,0.0155779,0.0142922,0.0133343,0.0127345,0.0123149
