Created as New Dataset,Sample 445 By YargerLab Date Thursday, February 27 2025
cm-1,%T
4000.00,96.82
3999.00,96.83
3998.00,96.83
3997.00,96.83
3996.00,96.83
3995.00,96.83
3994.00,96.84
3993.00,96.84
3992.00,96.84
3991.00,96.84
3990.00,96.84
3989.00,96.83
3988.00,96.83
3987.00,96.83
3986.00,96.83
3985.00,96.83
3984.00,96.83
3983.00,96.83
3982.00,96.83
3981.00,96.83
3980.00,96.84
3979.00,96.85
3978.00,96.85
3977.00,96.85
3976.00,96.85
3975.00,96.84
3974.00,96.83
3973.00,96.83
3972.00,96.83
3971.00,96.83
3970.00,96.83
3969.00,96.83
3968.00,96.82
3967.00,96.82
3966.00,96.83
3965.00,96.84
3964.00,96.84
3963.00,96.85
3962.00,96.85
3961.00,96.85
3960.00,96.85
3959.00,96.85
3958.00,96.85
3957.00,96.86
3956.00,96.86
3955.00,96.86
3954.00,96.86
3953.00,96.86
3952.00,96.87
3951.00,96.89
3950.00,96.91
3949.00,96.93
3948.00,96.96
3947.00,96.97
3946.00,96.98
3945.00,96.96
3944.00,96.94
3943.00,96.91
3942.00,96.89
3941.00,96.88
3940.00,96.90
3939.00,96.91
3938.00,96.91
3937.00,96.91
3936.00,96.92
3935.00,96.96
3934.00,97.00
3933.00,97.02
3932.00,97.01
3931.00,96.99
3930.00,96.97
3929.00,96.96
3928.00,96.94
3927.00,96.93
3926.00,96.91
3925.00,96.89
3924.00,96.90
3923.00,96.93
3922.00,96.99
3921.00,97.04
3920.00,97.07
3919.00,97.09
3918.00,97.09
3917.00,97.07
3916.00,97.03
3915.00,96.99
3914.00,96.96
3913.00,96.93
3912.00,96.91
3911.00,96.89
3910.00,96.88
3909.00,96.89
3908.00,96.90
3907.00,96.93
3906.00,96.98
3905.00,97.06
3904.00,97.18
3903.00,97.30
3902.00,97.40
3901.00,97.42
3900.00,97.37
3899.00,97.28
3898.00,97.19
3897.00,97.15
3896.00,97.12
3895.00,97.09
3894.00,97.03
3893.00,96.98
3892.00,96.95
3891.00,96.96
3890.00,97.01
3889.00,97.09
3888.00,97.19
3887.00,97.26
3886.00,97.25
3885.00,97.20
3884.00,97.17
3883.00,97.20
3882.00,97.22
3881.00,97.20
3880.00,97.16
3879.00,97.13
3878.00,97.14
3877.00,97.17
3876.00,97.18
3875.00,97.15
3874.00,97.10
3873.00,97.09
3872.00,97.17
