Created as New Dataset,Sample 448 By YargerLab Date Thursday, February 27 2025
cm-1,%T
4000.00,97.25
3999.00,97.26
3998.00,97.26
3997.00,97.26
3996.00,97.26
3995.00,97.26
3994.00,97.26
3993.00,97.27
3992.00,97.27
3991.00,97.27
3990.00,97.26
3989.00,97.26
3988.00,97.26
3987.00,97.27
3986.00,97.27
3985.00,97.27
3984.00,97.27
3983.00,97.27
3982.00,97.27
3981.00,97.27
3980.00,97.27
3979.00,97.28
3978.00,97.28
3977.00,97.28
3976.00,97.28
3975.00,97.28
3974.00,97.29
3973.00,97.29
3972.00,97.29
3971.00,97.30
3970.00,97.29
3969.00,97.29
3968.00,97.28
3967.00,97.28
3966.00,97.28
3965.00,97.29
3964.00,97.29
3963.00,97.30
3962.00,97.30
3961.00,97.29
3960.00,97.29
3959.00,97.29
3958.00,97.28
3957.00,97.28
3956.00,97.28
3955.00,97.28
3954.00,97.29
3953.00,97.30
3952.00,97.31
3951.00,97.32
3950.00,97.35
3949.00,97.37
3948.00,97.40
3947.00,97.41
3946.00,97.41
3945.00,97.41
3944.00,97.39
3943.00,97.36
3942.00,97.34
3941.00,97.33
3940.00,97.33
3939.00,97.33
3938.00,97.33
3937.00,97.33
3936.00,97.35
3935.00,97.39
3934.00,97.43
3933.00,97.44
3932.00,97.43
3931.00,97.41
3930.00,97.39
3929.00,97.38
3928.00,97.37
3927.00,97.36
3926.00,97.34
3925.00,97.33
3924.00,97.34
3923.00,97.37
3922.00,97.42
3921.00,97.47
3920.00,97.50
3919.00,97.51
3918.00,97.52
3917.00,97.50
3916.00,97.46
3915.00,97.41
3914.00,97.37
3913.00,97.35
3912.00,97.32
3911.00,97.30
3910.00,97.30
3909.00,97.31
3908.00,97.32
3907.00,97.35
3906.00,97.40
3905.00,97.48
3904.00,97.60
3903.00,97.72
3902.00,97.81
3901.00,97.84
3900.00,97.78
3899.00,97.69
3898.00,97.60
3897.00,97.54
3896.00,97.52
3895.00,97.49
3894.00,97.44
3893.00,97.39
3892.00,97.37
3891.00,97.38
3890.00,97.42
3889.00,97.50
3888.00,97.61
3887.00,97.68
3886.00,97.67
3885.00,97.61
3884.00,97.59
3883.00,97.62
3882.00,97.66
3881.00,97.64
3880.00,97.58
3879.00,97.54
3878.00,97.54
3877.00,97.58
3876.00,97.60
3875.00,97.57
3874.00,97.52
3873.00,97.51
3872.00,97.59
3871.00,97.69
3870.00,97.72
3869.00,97.69
3868.00,97.67
3867.00,97.71
3866.00,97.76
3865.00,97.73
3864.00,97.67
3863.00,97.64
3862.00,97.67
3861.00,97.70
3860.00,97.68
3859.00,97.61
3858.00,97.50
3857.00,97.39
3856.00,97.33
3855.00,97.35
3854.00,97.43
